AABB;ABBA,BABA
EINV;NEVI,VEIN,VINE
EINW;WINE
EINX;NIXE
EINZ;ZEIN,ZINE
EIOU;EUOI
EIOW;OWIE
EIPP;PIPE
EIPR;PERI,PIER,RIPE
EIPS;PIES,PISE,SIPE,SPIE
EIPT;PIET
EIPW;WIPE
EIPY;YIPE
EIPZ;PIZE
EIRS;IRES,REIS,RISE,SEIR,SIRE
EIRT;RITE,TIER,TIRE,TRIE
EIRU;IURE
EIRV;RIVE,VIER,VIRE
EIRW;WEIR,WIRE
EISS;SEIS,SIES
EIST;SITE,STIE,TIES
EISV;VIES,VISE
EISW;WISE
EISZ;SIZE
EITT;TITE
EITU;ETUI
EITV;VITE
EITW;WITE
EITX;EXIT
EITY;YETI,YITE
EITZ;ZITE
EIVV;VIVE
EIVW;VIEW,WIVE
EJKO;JOKE
EJKR;JERK
EJKU;JUKE
EJLL;JELL
EJLO;JOLE
EJNO;JEON
EJOS;JOES,SJOE
EJOY;JOEY
EJPU;JUPE
EJRU;JURE
EJSS;JESS
EJST;JEST,JETS
EJSW;JEWS
EJTU;JUTE
EJUV;JUVE
EJUX;JEUX
EKKS;KEKS
EKLL;KELL
EKLO;KOEL,LOKE
EKLP;KELP
EKLS;ELKS,LEKS
EKLT;KELT
EKLU;LEKU,LUKE
EKLW;KEWL,WELK
EKLY;KYLE,YELK,YLKE
EKMO;MOKE
EKMP;KEMP
EKMR;MERK
EKNO;KENO
EKNP;PENK
EKNR;KERN,NERK,RENK
EKNS;KENS,NEKS,SKEN
EKNT;KENT
EKNU;KUNE,NEUK,NUKE
EKNW;KNEW
EKNY;KYNE
EKOP;POKE
EKOR;KERO,KORE,ROKE
EKOS;OKES,SKEO,SOKE
EKOT;KETO,TOKE
EKOW;WOKE
EKOY;YOKE
EKPR;PERK
EKPS;KEPS,SKEP,SPEK
EKPT;KEPT
EKPU;PUKE
EKPY;KYPE
EKRS;ERKS,SERK,SKER
EKRT;TREK
EKRY;RYKE,YERK
EKRZ;ZERK
EKST;KEST,KETS,SEKT,SKET
EKSU;EUKS,KUES,UKES
EKSW;EWKS,SKEW
EKSY;ESKY,KEYS,KYES,SYKE,YESK
EKSZ;ZEKS
EKTY;KYTE,TYKE
EKUY;YEUK,YUKE
ELLM;MELL
ELLP;PELL
ELLS;ELLS,SELL
ELLT;TELL
ELLV;VELL
ELLW;WELL
ELLY;YELL
ELMO;LOME,MOLE
ELMR;MERL
ELMS;ELMS,MELS
ELMT;MELT
ELMU;MULE
ELMW;MEWL
ELMY;ELMY,LYME,YELM,YLEM
ELNO;ENOL,LENO,LONE,NOEL,NOLE
ELNS;LENS
ELNT;LENT
ELNU;LUNE
ELNY;LYNE
ELOO;OLEO
ELOP;LOPE,OLPE,POLE
ELOR;EORL,LORE,ORLE,ROLE
ELOS;LOSE,OLES,SLOE,SOLE
ELOT;LOTE,TOLE
ELOV;LEVO,LOVE,OVEL,VOLE
ELOW;LOWE
ELPR;LERP
ELPS;LEPS,PELS
ELPT;LEPT,PELT
ELPU;PLUE,PULE
ELPW;PLEW
ELPX;PLEX
ELPY;YELP
ELRU;LURE,RULE
ELRY;LYRE,RELY
ELSS;LESS,SELS
ELST;ELTS,LEST,LETS,TELS
ELSU;LUES,SLUE,ULES
ELSV;LEVS
ELSW;SLEW,WELS
ELSY;LEYS,LYES,LYSE,SLEY
ELSZ;ZELS
ELTT;TELT
ELTU;LUTE,TULE
ELTW;WELT
ELTY;LYTE,YELT
ELUX;EXUL,LUXE,ULEX
ELUY;YULE
ELVY;LEVY
ELWY;WYLE
ELZZ;LEZZ
EMMO;MEMO,MOME
EMMS;MEMS
EMMY;EMMY
EMNN;NEMN
EMNO;MENO,NOME,OMEN
EMNT;MENT
EMNU;MENU,NEUM
EMOP;MOPE,POEM,POME
EMOR;MOER,MORE,OMER
EMOS;EMOS,MOES,MOSE,SOME
EMOT;MOTE,TOME
EMOU;MEOU,MOUE
EMOV;MOVE
EMOW;MEOW
EMOZ;MOZE
EMPR;PERM,PREM
EMPT;EMPT,TEMP
EMPY;YMPE
EMRS;REMS
EMRT;TERM,TREM
EMRU;MURE,RUME
EMSS;MESS
EMST;METS,STEM,TEMS
EMSU;EMUS,MEUS,MUSE,UMES
EMSW;MEWS,SMEW,WEMS
EMSY;EMYS
EMTU;MUTE
EMYZ;ZYME
EMZZ;MEZZ
ENNO;NEON,NONE
ENOP;NOPE,OPEN,PEON,PONE
ENOR;ONER,RENO,RONE
ENOS;EONS,NOES,NOSE,ONES,SONE
ENOT;NOTE,TONE
ENOV;OVEN
ENOW;ENOW
ENOX;EXON,OXEN
ENOZ;ZONE
ENPR;PERN
ENPS;NEPS,PENS
ENPT;PENT
ENPY;PYNE
ENRS;ERNS,RENS
ENRT;RENT,TERN
ENRU;RUNE
ENRW;WREN
ENRY;RENY
ENSS;NESS,SENS
ENST;ENTS,NEST,NETS,SENT,STEN,TENS
ENSW;NEWS,SEWN,WENS
ENSY;NYES,SNYE,SYEN,SYNE,YENS
ENSZ;ZENS
ENTT;NETT,TENT
ENTU;TUNE
ENTV;VENT
ENTW;NEWT,WENT
ENTX;NEXT
ENTY;TYNE
ENVY;ENVY
EOOS;OOSE
EOOZ;OOZE
EOPP;PEPO,POEP,POPE
EOPR;PORE,REPO,ROPE
EOPS;EPOS,OPES,PESO,POSE
EOPT;POET,POTE,TOPE
EOPX;EXPO
EORR;RORE
EORS;EROS,ORES,REOS,ROES,ROSE,SORE
EORT;ROTE,TORE
EORU;EURO,ROUE
EORV;OVER,ROVE
EORW;OWER,OWRE,WERO,WORE
EORX;OXER
EORY;OYER,YORE
EORZ;ZERO
EOSS;OSES
EOST;TOES,TOSE
EOSV;EVOS,VOES
EOSW;OWES,OWSE,WOES
EOSX;OXES
EOSY;OYES
EOTT;TOTE
EOTV;VETO,VOTE
EOTY;EYOT,TOEY
EOTZ;TOZE
EOVW;WOVE
EOWY;YEOW,YOWE
EOYZ;OYEZ
EPPR;PERP,PREP,REPP
EPPS;PEPS
EPQU;QUEP
EPRS;REPS
EPRT;PERT
EPRU;PUER,PURE
EPRV;PERV
EPRX;PREX
EPRY;PREY,PYRE,RYPE
EPRZ;PREZ
EPSS;SEPS
EPST;PEST,PETS,SEPT,SPET,STEP
EPSU;SPUE,SUPE
EPSW;PEWS,SPEW
EPSY;ESPY,PYES,SYPE,YEPS
EPSZ;ZEPS
EPTW;WEPT
EPTY;PYET,TYPE
EQUY;QUEY
ERRS;ERRS,SERR
ERRU;RUER
ERSS;SERS
ERST;ERST,REST,RETS,TRES
ERSU;RUES,RUSE,SUER,SURE,URES,USER
ERSV;REVS,VERS
ERSW;REWS
ERSY;RYES
ERTT;TRET
ERTU;TRUE
ERTV;VERT
ERTW;TREW,WERT
ERTY;TREY,TRYE,TYER,TYRE
ERTZ;TREZ
ERUV;ERUV
ERVY;VERY
ERYY;EYRY
ESSS;SESS
ESST;ESTS,SETS
ESSU;SUES,USES
ESSV;SEVS
ESSW;SEWS
ESSY;SEYS,SYES
ESTT;SETT,STET,TEST,TETS
ESTU;SUET,UTES
ESTV;VEST,VETS
ESTW;EWTS,STEW,TEWS,WEST,WETS
ESTX;SEXT
ESTY;STEY,STYE,TYES,YEST
ESTZ;ZEST
ESUY;UEYS
ESWY;SWEY,WEYS,WYES,YEWS
ESXY;SEXY
ETTX;TEXT
ETTY;TYTE,YETT
ETVX;VEXT
ETWY;WYTE
FFFU;FUFF
FFGO;GOFF
FFGU;GUFF
FFHU;HUFF
FFII;FIFI
FFIJ;JIFF
FFIK;KIFF
FFIM;MIFF
FFIN;NIFF
FFIR;RIFF
FFIT;TIFF
FFIV;VIFF
FFIY;IFFY
FFIZ;ZIFF
FFKO;KOFF
FFLU;LUFF
FFMU;MUFF
FFNU;NUFF
FFOS;OFFS
FFOT;TOFF
FFOY;OFFY
FFPT;PFFT
FFPU;PUFF
FFRU;RUFF
FFTU;TUFF
FGIO;FIGO
FGIR;FRIG
FGIS;FIGS,GIFS
FGIT;GIFT
FGLO;FLOG,GOLF
FGLU;GULF
FGNU;FUNG
FGOO;GOOF
FGOR;FROG
FGOS;FOGS
FGOW;GOWF
FGOY;FOGY
FGRU;FRUG
FGSU;FUGS
FGUU;FUGU
FHIQ;FIQH
FHIS;FISH
FHMU;HUMF
FHNO;FOHN
FHOO;HOOF
FHOU;HOUF
FHOW;HOWF
FIIN;FINI
FIJU;FUJI
FIKL;FILK
FIKN;FINK
FIKR;FIRK
FIKS;FISK,KIFS
FIKU;KUFI
FIKY;FIKY
FILL;FILL
FILM;FILM,FLIM,MILF
FILO;FILO,FOIL
FILP;FLIP
FILR;FLIR
FILS;FILS
FILT;FLIT,LIFT
FILX;FLIX
FIMR;FIRM
FINO;FINO,FOIN,INFO
FINR;FIRN
FINS;FINS
FIOT;TIFO
FIPS;SPIF
FIPU;PFUI
FIRS;FIRS,FRIS,RIFS
FIRT;FRIT,RIFT
FIRZ;FRIZ
FIST;FIST,FITS,SIFT
FITT;FITT,TIFT
FITX;FIXT
FIZZ;FIZZ
FKLO;FOLK
FKNU;FUNK
FKOR;FORK
FKSU;FUSK
FKSY;SKYF
FLLU;FULL
FLOO;FOOL,LOOF
FLOP;FLOP
FLOR;FLOR,ROLF
FLOT;LOFT
FLOU;FOUL
FLOW;FLOW,FOWL,WOLF
FLOX;FLOX
FLRU;FURL
FLSU;FLUS
FLUX;FLUX
FMOO;MOFO
FMOR;FORM,FROM
FMSU;FUMS
FMUY;FUMY
FNOS;FONS
FNOT;FONT
FNSU;FUNS
FOOP;POOF
FOOR;ROOF
FOOS;FOOS,OOFS
FOOT;FOOT
FOOW;WOOF
FOOY;OOFY,YOOF
FOPR;PROF
FOPS;FOPS
FOPU;POUF
FORS;FROS,ORFS
FORT;FORT
FORU;FOUR
FORW;FROW
FOSS;FOSS
FOST;SOFT
FOSU;FOUS,UFOS
FOSW;SOWF,WOFS
FOSY;FOYS
FOTT;TOFT
FOTU;TOFU
FOWW;WOWF
FOXY;FOXY
FOYZ;FOZY
FRRU;FURR
FRSU;FURS,SURF
FRTU;TURF
FRUY;FURY
FRUZ;ZURF
FSSU;FUSS
FSTU;FUST
FTTU;TUFT
FTUY;YUFT
FTUZ;FUTZ
FUZZ;FUZZ
GGHO;HOGG
GGIM;MIGG
GGIN;GING
GGIR;GRIG,RIGG
GGIS;GIGS,IGGS
GGLU;GLUG
GGMU;MUGG
GGNO;GONG,NOGG
GGNU;GUNG
GGOO;GOGO,GOOG
GGOR;GROG
GGUV;VUGG
GHHI;HIGH
GHHO;HOGH
GHIN;HING,NIGH
GHIS;GHIS,SIGH
GHIT;THIG
GHIW;WHIG
GHNO;HONG
GHNU;HUNG
GHOS;GOSH,HOGS,SHOG
GHOT;GOTH
GHOY;YOGH
GHPU;PUGH
GHSU;GUSH,HUGS,SUGH,UGHS
GHTU;THUG
GHUV;VUGH
GHUY;HUGY
GIJO;GOJI
GIJS;JIGS
GIKN;GINK,KING
GILL;GILL
GILM;GLIM
GILN;LING
GILR;GIRL
GILS;LIGS
GILT;GILT,GLIT
GILU;IGLU
GIMN;MING
GIMP;GIMP
GIMR;GRIM
GIMS;GISM,MIGS
GINN;GINN
GINO;INGO
GINP;PING
GINR;GIRN,GRIN,RING
GINS;GINS,INGS,SIGN,SING,SNIG
GINT;TING
GINW;WING
GINZ;ZING
GIOR;GIRO,GORI
GIOS;GIOS
GIOY;YOGI
GIPR;GRIP,PRIG
GIPS;GIPS,PIGS
GIRR;GIRR
GIRS;GRIS,RIGS
GIRT;GIRT,GRIT,TRIG
GIRY;GYRI
GIRZ;GRIZ
GISS;SIGS
GIST;GIST,GITS,TIGS
GISV;VIGS
GISW;SWIG,WIGS
GISZ;ZIGS
GITW;TWIG
GIZZ;GIZZ
GJNO;JONG
GJOS;JOGS
GJSU;GJUS,JUGS
GKNO;GONK
GKNU;GUNK
GKOO;GOOK
GKOR;GROK
GKOS;SKOG
GKOU;GOUK
GKOW;GOWK
GKSU;SKUG
GLLU;GULL
GLMO;GLOM
GLMU;GLUM
GLNO;LONG
GLNU;LUNG
GLOO;GOOL,LOGO
GLOP;GLOP,GOLP
GLOS;LOGS,SLOG
GLOV;VLOG
GLOW;GLOW,GOWL
GLOY;LOGY
GLPU;GULP,PLUG
GLRR;GRRL
GLRU;GURL
GLSU;GULS,LUGS,SLUG
GLTU;GLUT
GLUY;GULY,UGLY
GMNO;MONG
GMNU;MUNG
GMOR;GORM
GMOS;MOGS,SMOG
GMPU;GUMP
GMPY;GYMP
GMRU;GRUM
GMSU;GUMS,MUGS,SMUG
GMSY;GYMS
GNNO;NONG
GNOO;GOON
GNOP;PONG
GNOR;RONG
GNOS;GONS,NOGS,SNOG,SONG
GNOT;TONG
GNOW;GNOW,GOWN
GNOY;GYNO
GNPU;PUNG
GNRU;GURN,RUNG
GNSU;GNUS,GUNS,NUGS,SNUG,SUNG
GNTU;TUNG
GNYY;GYNY
GOOP;GOOP,POGO
GOOR;GOOR
GOOS;GOOS
GOPR;GORP,PROG
GOPU;UPGO
GOPY;GYPO,POGY
GORS;GORS,ORGS
GORT;GROT,TROG
GORW;GROW
GORY;GORY,GYRO,ORGY
GOSS;GOSS,SOGS
GOST;TOGS
GOSU;SUGO
GOSV;GOVS,VOGS
GOSW;WOGS
GOSY;GOYS
GOTU;GOUT
GPSU;GUPS,PUGS,SPUG
GPSY;GYPS
GRSU;GURS,RUGS
GRTU;TRUG
GRUU;GURU
GSSU;SUGS
GSTU;GUST,GUTS,TUGS
GSTY;TYGS
GSUV;GUVS,VUGS
GSUY;GUYS,YUGS
HHHS;SHHH
HHIS;HISH
HHNU;HUNH
HHOP;PHOH
HHOS;HOHS
HHSU;HUSH
HHUU;HUHU
HIIL;HILI
HIIM;MIHI
HIIO;HIOI
HIKO;HOIK,HOKI
HIKS;KHIS,KISH
HIKT;KITH
HILL;HILL
HILT;HILT,LITH
HIMS;HIMS,SHIM
HIMW;WHIM
HINS;HINS,HISN,NISH,SHIN,SINH
HINT;HINT,THIN
HINW;WHIN
HIOR;HORI
HIOS;HOIS
HIOT;THIO
HIOW;WHIO
HIPS;HIPS,PHIS,PISH,SHIP
HIPT;HIPT,PITH
HIPW;WHIP
HIPZ;PHIZ
HIRS;SHIR,SHRI
HIRT;THIR
HIRW;WHIR
HISS;HISS
HIST;HIST,HITS,SHIT,SITH,THIS
HISU;HUIS
HISV;SHIV
HISW;WISH
HITW;WHIT,WITH
HIWZ;WHIZ
HIZZ;HIZZ
HJNO;JOHN
HJOS;JOSH
HKLO;HOLK,KOHL
HKLU;HULK
HKNO;HONK
HKNU;HUNK
HKOO;HOOK
HKOP;KOPH
HKOR;HORK,KHOR
HKOW;HOWK
HKRU;RUKH
HKSU;HUSK,SUKH
HLLU;HULL
HLMO;HOLM
HLOO;HOLO
HLOP;HOLP
HLOS;HOLS,LOSH
HLOT;HOLT,LOTH
HLOW;HOWL
HLOY;HOLY
HLRU;HURL
HLSU;LUSH,SHUL
HLWY;HWYL
HMMM;HMMM
HMNY;HYMN
HMOO;HOMO,MOHO
HMOR;MOHR
HMOS;HOMS,MHOS,MOSH,OHMS,SHMO
HMOT;MOTH
HMOW;WHOM
HMOY;HOMY
HMPU;HUMP,UMPH
HMSU;HUMS,MUSH
HMTY;MYTH
HNOO;HOON
HNOP;PHON
HNOR;HORN
HNOS;HONS,NOSH
HNOT;THON
HNSU;HUNS,SHUN
HNTU;HUNT
HOOP;HOOP,POOH
HOOR;HOOR
HOOS;OOHS,SHOO,SOHO
HOOT;HOOT,TOHO
HOPQ;QOPH
HOPS;HOPS,PHOS,POHS,POSH,SHOP,SOPH
HOPT;PHOT,TOPH
HOPU;OUPH
HOPW;WHOP
HOPY;HYPO
HORS;HORS,RHOS
HORT;THRO
HORU;HOUR
HOSS;HOSS,SOHS
HOST;HOST,HOTS,SHOT,SOTH,TOSH
HOSU;HUSO
HOSW;HOWS,SHOW
HOSY;HOYS
HOSZ;ZHOS
HOTU;HOUT,THOU
HOTW;WHOT
HOWW;WHOW
HPRU;PRUH
HPSU;HUPS,PUSH
HPSY;HYPS,SYPH
HPTU;PHUT
HPUW;WHUP
HRSU;RHUS,RUSH
HRTU;HURT,RUTH,THRU
HSSU;HUSS
HSTU;HUTS,SHUT,THUS,TUSH
HSWY;WHYS
IIKP;PIKI
IIKT;TIKI
IIKW;KIWI,WIKI
IILP;PILI
IILR;LIRI
IILW;WILI
IIMN;MINI
IIMP;IMPI
IIMR;MIRI
IIMS;SIMI
IINS;NISI
IINT;INTI
IIPP;PIPI
IIPT;TIPI
IIRS;IRIS,SIRI
IIST;ISIT
IISW;IWIS
IITT;TITI
IITZ;ZITI
IJKN;JINK
IJKO;KOJI
IJLL;JILL
IJLT;JILT
IJMP;JIMP
IJMS;JISM
IJNN;JINN
IJNO;JOIN
IJNS;JINS
IJNX;JINX
IJOR;ROJI
IJOS;SIJO
IJVY;JIVY
IJZZ;JIZZ
IKKL;KLIK
IKKN;KINK
IKKR;KIRK
IKLL;KILL
IKLM;MILK
IKLN;KILN,LINK
IKLO;KILO
IKLP;KILP
IKLR;LIRK
IKLS;ILKS,LISK,SILK
IKLT;KILT
IKMN;MINK
IKMO;MOKI
IKMR;MIRK
IKMS;SKIM
IKNO;IKON,KINO,OINK
IKNP;PINK
IKNR;KIRN,RINK
IKNS;INKS,KINS,SINK,SKIN
IKNT;KNIT,TINK
IKNW;WINK
IKNY;INKY
IKOS;KOIS,OIKS,SKIO
IKPP;KIPP
IKPS;KIPS,SKIP,SPIK
IKRS;IRKS,KIRS,KRIS,RISK
IKRU;KURI
IKRY;YIRK
IKSS;KISS,SKIS
IKST;KIST,KITS,SKIT,TIKS
IKTU;KUTI
ILLL;LILL
ILLM;MILL
ILLN;NILL
ILLO;LILO
ILLP;PILL
ILLR;RILL
ILLS;ILLS,SILL
ILLT;LILT,TILL
ILLV;VILL
ILLW;WILL
ILLY;ILLY,LILY,YILL
ILLZ;ZILL
ILMN;LIMN
ILMO;LIMO,MILO,MOIL
ILMP;LIMP,PLIM
ILMS;MILS,SLIM
ILMT;MILT
ILMU;MUIL
ILMY;LIMY
ILNN;LINN
ILNO;LINO,LION,LOIN,NOIL
ILNR;NIRL
ILNS;LINS,NILS
ILNT;LINT
ILNY;INLY,LINY
ILOO;OLIO
ILOP;LIPO
ILOR;LOIR,ROIL
ILOS;OILS,SILO,SOIL,SOLI
ILOT;LOTI,TOIL
ILOV;VIOL
ILOY;OILY
ILPR;PIRL
ILPS;LIPS,LISP,SLIP
ILPU;PULI
ILPY;PILY
ILRT;TIRL
ILRV;VIRL,VRIL
ILST;LIST,LITS,SILT,SLIT,TILS
ILSY;SYLI
ILTT;TILT
ILTU;LITU,LUIT
ILTW;WILT
ILWY;WILY
IMMO;MOMI
IMMY;IMMY
IMNO;MINO
IMNS;NIMS
IMNT;MINT
IMNU;MUNI
IMNX;MINX
IMNY;MINY
IMOO;MOOI
IMOR;MIRO
IMOS;MISO
IMOT;MOIT,MOTI,OMIT
IMOX;OXIM
IMPP;PIMP
IMPR;PRIM
IMPS;IMPS,MIPS,SIMP,SPIM
IMPU;PIUM
IMPW;WIMP
IMQU;QUIM
IMRS;MIRS,RIMS,SMIR
IMRT;TRIM
IMRU;MUIR,RIMU
IMRV;MIRV
IMRY;MIRY,RIMY
IMSS;ISMS,MISS,SIMS
IMST;MIST,SMIT,STIM
IMSU;SUMI
IMSV;VIMS
IMSW;SWIM
IMTT;MITT
IMTU;MUTI
IMTX;MIXT
IMTY;MITY
IMXY;MIXY
IMZZ;MIZZ
INNO;NONI
INNS;INNS
INNW;WINN
INOP;PION
INOR;INRO,IRON,NOIR,NORI,ROIN
INOS;IONS
INOT;INTO,OINT
INOV;VINO
INOW;WINO
INOY;YONI
INPR;PIRN
INPS;NIPS,PINS,SNIP,SPIN
INPT;PINT
INPY;PINY,PYIN
INQS;QINS
INQU;QUIN
INRS;RINS
INRT;TRIN
INRU;RUIN
INSS;SINS
INST;NITS,SNIT,TINS
INSU;SUNI,UNIS
INSV;VINS
INSW;WINS
INSY;YINS
INSZ;ZINS
INTT;TINT
INTU;UNIT
INTV;VINT
INTW;TWIN
INTY;TINY,TIYN,TYIN
INVY;VINY
INWY;WINY
INXY;NIXY
IOPS;PISO,POIS
IOPT;TOPI
IOPV;VOIP
IOPY;PIOY
IORS;SORI
IORT;RIOT,ROTI,TIRO,TORI,TRIO
IORV;RIVO
IORZ;ZORI
IOSS;ISOS
IOTT;TOIT
IOVV;VIVO
IPPR;RIPP
IPPS;PIPS
IPPY;PIPY
IPQU;QUIP
IPRS;PIRS,RIPS,RISP
IPRT;RIPT,TRIP
IPRU;PUIR,PURI
IPSS;PISS,PSIS,SIPS
IPST;PITS,SPIT,TIPS
IPSV;SPIV
IPSW;WISP
IPSY;YIPS
IPSZ;ZIPS
IPTT;TIPT
IPTU;PTUI
IPTY;PITY
IPXY;PIXY
IQTU;QUIT
IQUZ;QUIZ
IRRT;TIRR
IRRY;YIRR
IRSS;SIRS,SRIS
IRST;RITS,STIR
IRTT;RITT
IRTW;WRIT
IRTZ;RITZ
IRWY;WIRY
ISSS;SISS
ISST;SIST,SITS
ISSW;WISS
ISTT;TITS
ISTU;SUIT,TUIS,UTIS
ISTW;WIST,WITS
ISTZ;SITZ,ZITS
ISWY;YWIS
ISWZ;SWIZ
ISYZ;SIZY
ITTW;TWIT
ITVY;TIVY
ITZZ;TIZZ
IVYZ;VIZY
IZZZ;ZIZZ
JJUU;JUJU
JKNU;JUNK
JKOO;JOOK
JKOU;JOUK
JKOY;JOKY
JKUU;JUKU
JLLO;JOLL
JLOS;JOLS
JLOT;JOLT
JLOW;JOWL
JMOO;JOMO,MOJO
JMPU;JUMP
JNXY;JYNX
JORS;JORS
JORU;JOUR
JOSS;JOSS
JOST;JOTS
JOSU;SOJU
JOSW;JOWS
JOSY;JOYS
JRUY;JURY
JSTU;JUST,JUTS
KKNO;KONK
KKOO;KOOK
KKUU;KUKU
KLNU;LUNK
KLOO;KOLO,LOOK
KLOP;POLK
KLOS;SKOL
KLOU;OULK
KLOV;VOLK
KLOY;YOLK
KLPU;PULK
KLRU;LURK
KLSU;LUSK,SULK
KMNO;MONK
KMOO;MOKO,MOOK
KMOS;MOSK
KMRU;MURK
KMSU;MUSK
KNOO;NOOK
KNOP;KNOP,PONK
KNOR;NORK
KNOS;KONS
KNOT;KNOT,TONK
KNOW;KNOW,WONK
KNOZ;ZONK
KNPU;PUNK
KNRU;KNUR
KNSU;SUNK
KNTU;KNUT
KOOP;POOK
KOOR;KORO,ROOK
KOOS;SOOK
KOOT;KOTO,TOKO,TOOK
KOPR;PORK
KOPS;KOPS
KOPU;POUK
KOPY;POKY
KORS;KORS,ROKS
KORU;KORU
KORW;WORK
KORY;ROKY,YORK
KOSS;KOSS
KOSU;OUKS,SOUK
KOSW;KOWS,WOKS
KOSY;YOKS
KOTU;TOUK
KOUY;YOUK,YUKO
KOUZ;ZOUK
KPUU;PUKU
KPUY;PUKY
KRSU;RUSK
KRSY;SKRY,SKYR
KRTU;TURK
KRUU;KURU
KSST;TSKS
KSSU;SUKS
KSTU;TUSK
KSUY;KYUS,YUKS
KTUU;KUTU
KUUZ;KUZU
KUYY;YUKY
LLLO;LOLL
LLLU;LULL
LLMO;MOLL
LLMU;MULL
LLNO;NOLL
LLNU;NULL
LLOP;POLL
LLOR;ROLL
LLOT;TOLL
LLOZ;LOLZ
LLPU;PULL
LLUU;LULU
LLUW;WULL
LLUZ;LULZ
LMOO;LOOM,MOOL
LMOS;MOLS,OLMS
LMOT;MOLT
LMOY;MOLY,MOYL
LMPU;LUMP,PLUM
LMRU;MURL
LMSU;LUMS,SLUM
LMSY;LYMS
LNOO;LOON,NOLO
LNOR;LORN
LNOU;LOUN,NOUL
LNOW;LOWN,NOWL
LNOY;ONLY
LNRU;NURL
LNSU;LUNS
LNTU;LUNT
LNUV;VULN
LNUY;LUNY
LNXY;LYNX
LOOP;LOOP,POLO,POOL
LOOR;LOOR
LOOS;LOOS,SOLO,SOOL
LOOT;LOOT,LOTO,TOOL
LOOW;WOOL
LOPP;PLOP
LOPS;LOPS,POLS,SLOP
LOPT;PLOT,POLT
LOPU;LOUP
LOPW;LOWP,PLOW
LOPY;PLOY,POLY
LORT;ROTL
LORU;LOUR,ROUL
LORY;LORY
LOSS;LOSS,SOLS
LOST;LOST,LOTS,SLOT
LOSU;LOUS,SOUL
LOSV;VOLS
LOSW;LOWS,OWLS,SLOW,SOWL
LOSY;LOYS
LOSZ;ZOLS
LOTT;TOLT
LOTU;LOUT,TOLU
LOTV;VOLT
LOTW;LOWT
LOWY;OWLY,YOWL
LPPU;PULP
LPRU;PURL
LPSU;PLUS,PULS
LPUU;PULU
LPUY;PULY
LRSU;LURS,SLUR
LRUY;RULY
LSTU;LUST,SLUT
LSUU;SULU,ULUS
LSUV;LUVS
LTUZ;LUTZ
LUUZ;ZULU
MMMU;MUMM
MMOS;MOMS
MMPU;MUMP
MMSU;MUMS
MMUU;MUMU
MNOO;MONO,MOON
MNOR;MORN,NORM
MNOS;MONS,NOMS
MNOU;MUON
MNOW;MOWN
MNOY;MONY
MNSU;MUNS
MNTU;MUNT
MOOP;MOOP,POMO
MOOR;MOOR,ROOM
MOOS;MOOS,OOMS,SOOM
MOOT;MOOT,TOMO,TOOM
MOOV;OMOV
MOOZ;MOZO,ZOOM
MOPP;POMP
MOPR;PROM,ROMP
MOPS;MOPS,POMS
MOPU;MOUP
MOPY;MOPY,YOMP
MORS;MORS,ROMS
MORT;MORT
MORU;ROUM
MORW;WORM
MOSS;MOSS,SOMS
MOST;MOST,MOTS,TOMS
MOSU;MOUS,MUSO,SOUM,SUMO
MOSV;VOMS
MOSW;MOWS,SOWM
MOSY;MOYS,SOMY
MOTT;MOTT
MOTU;MOTU
MOUV;OVUM
MOXY;MYXO
MOZZ;MOZZ
MPPU;PUMP
MPRU;RUMP
MPSU;SUMP,UMPS
MPTU;TUMP
MPTY;TYMP,YMPT
MPUY;PUMY,UMPY,YUMP
MRRU;MURR
MRSU;RUMS,SMUR
MRTU;TURM
MSSU;MUSS,SUMS
MSTU;MUST,MUTS,SMUT,STUM,TUMS
MSUU;UMUS
MSUV;VUMS
MSUW;SWUM
MSUY;SUMY
MTTU;MUTT
MUZZ;MUZZ
NNOO;NOON
NNOU;NOUN
NNOW;NOWN
NNSU;NUNS,SUNN
NNWY;WYNN
NOOP;NOOP,POON
NOOR;ROON
NOOS;ONOS,OONS,SOON
NOOT;ONTO,OONT,TOON
NOOW;WOON
NOOZ;ZOON
NOPR;PORN
NOPS;PONS
NOPT;PONT
NOPU;NOUP,UPON
NOPW;POWN
NOPY;PONY
NORS;SORN
NORT;RONT,TORN,TRON
NORU;OURN
NORW;WORN
NORZ;RONZ
NOSS;SONS
NOST;ONST,SNOT,TONS
NOSU;NOUS,ONUS
NOSW;NOWS,OWNS,SNOW,SOWN,WONS
NOSY;NOSY,NOYS
NOTT;NOTT
NOTU;NOUT,TOUN,UNTO
NOTW;NOWT,TOWN,WONT
NOTY;TONY,YONT
NOWY;NOWY
NOXY;ONYX
NPSU;PUNS,SPUN
NPSW;PWNS
NPTU;PUNT
NPUY;PUNY
NRRU;NURR
NRSU;NURS,RUNS,URNS
NRTU;RUNT,TURN
NSSU;SUNS
NSTU;NUTS,STUN,TUNS
NSWY;WYNS
NTUY;TUNY
NUXY;YUNX
OOPP;OPPO,POOP
OOPR;POOR,PROO,ROOP
OOPS;OOPS,POOS,SOOP
OOPT;POOT,TOPO
OOPY;YOOP
OORS;ROOS
OORT;ROOT,ROTO,TORO
OORZ;ORZO
OOST;OOTS,SOOT
OOSW;WOOS
OOSY;OOSY
OOSZ;ZOOS
OOTT;OTTO,TOOT
