AABB;BO,CO,CU,HL,LL,LO,LR
BGIL;AM,HT
BGIN;AA,AK,AN,AT,CU,DI,GI,GU,HI,IJ,IK,IT,TU
BGIO;AU,DI,RU
BGIR;AA,AM,HT,OU
BGIS;AH,HT
BGLO;AL,AM,AR,AU,MO,NO
BGNO;DE,EE,EL,EM,EY,GU
BGNU;CI,GI,GO,IL,IT
BGOO;AK,EI,FW
BGOR;CY,IN
BGOS;AM,DE,EE,EF,EM
BGOY;CR,IN
BGRU;AL,LU
BGSU;AH,AT,DE,EL,EM,MU
BHIS;DO,EG,EN,ES,EU,GT,IT,KO,KU,LU,MO,OP,OY,RT,RU,RY
BHLU;BY,EM,ER,MY
BHOO;AB,AI,AN,AP,BJ,BN,CR,DE,EF,OO
BHOS;CE,CR,DE,DI,EK,ES,GR,GU,IK,IM,IP,IY,KY,LY,MR,RT,TU
BHOT;AN,AS,AX,BI,DE,EE,EI
BHRU;AK,CE,CN,EL
BHSU;DE,DN,EI,ES,GO,IK,MP
BHTU;
BIIS;AL,AT,BK,CE,EK,ER,ES,GL,HT,KR,LN,MO,MZ,NT,OR,RR,TV
BIJS;OU
BIKL;BE,DE,EE,ER,EY
BIKN;EU,GI,GY,II,MU
BIKR;AM
BIKS;AT,BI,BO,HO,MO
BIKU;AK,BD,HH,MN,UZ
BILL;AA,AB,AI,BU,NO,OU,OW,OX
BILM;BE,DE,EF,EN,ER,EW
BILN;BE,EM,EO,ER,ET,EU,EZ,LO,TZ
BILO;DF,DI,DY,LN,LU,LW,LY,PU
BILP;CU,OU
BILR;TY
BILS;DU,HU
BILT;GH,IW,RY
BIMN;AN,AR,AU,DE,EL,EN,KU,LY,OR,OT
BIMR;CO,DI,DO,EE,EG,EL,ET,EU,EX,FO,HO,LU,NO
BIMS;CH,CU,DE,ET,EU,TU
BIMZ;AH
BINR;FI
BINS;
BINT;AD,AE,AG,AK,AL,DE,EG,EH,EL,EN,ET,GU,LZ,TU
BINY;PU
BIOR;AR,DE,DM,ER,EU,EX,GU,HM,OZ
BIOS;BK,CC,CX,DH,DP,DV,FF,HK,HP,HY,JU,OV,PY,ZZ
BIOT;BH
BIRR;CU
BIRS;HU
BIRT;AB,AC,AL,BI,LY
BISS;GO,MO,QU,TU
BIST;GH,HI,IV
BISV;AN,DO,IT,OO
BITT;AK,DI,IT,NU
BJOS;AN,AT,IU,MU
BKLU;CE,DE,ER
BKNO;BY,CE,DE,EK,ER,ET
BKNU;AR,BE,BY,CU,DE,EG,EI,ER,IM,MU
BKOO;AG,AM,OO
BKOR;WY
BKOS;BI,HI,IM
BKOU;
BKOY;BN,CL,EI,EL,RW
BKRU;TU
BKSU;PU
BLLO;AA,AC,AG,AN,AO,AT,AW,DE,DY,EN,EU,EW,IN,IR,IU,IW,IX,IY,OO,OX,RY
BLLU;BE,BI,BU,DE,EO,ER,ET,IO
BLOO;GN,LO,LX,TT
BLOS;HY,MY
BLOT;CH,FY,OT,TY
BLOW;IL,PU
BLRU;GU
BLRY;AD,AF,AG,AM,AW,IT,LO,NO
BLSU;IM,IT,IY,MP,MU,NT,TY
BMNU;AI,AT,AY,BE,DE,ER,IK,KU,LY,OT
BMOO;AK,AW,AZ,DE,IM,JU,TT
BMOR;AL,DI,FI,IN
BMOS;LY
BMOT;AC,AK,AL,AP,AW,CO,DE,EN,NU,OT,OY
BMOU;AL,NT
BMOW;AN,AO,AT
BMOY;AA,DI,LS
BMPU;DE,ER
BMSU;AH,AI,AJ,AL,AR,CI,CR,GU,HR,HT,IL,IT,LU
BNNU;BI,DE,DI,EE,EO,ET,IO,OR
BNOO;BH,BN,BO,CE,DL,DY,ET,IT,TU
BNOR;LY,YY,YZ
BNOS;BY,CR,FY,RW
BNOU;BT,EN,GG,II,IN,JT,LT,MT,OT,TT,TY
BNOY;AF,AR,AT,CU,DO,DU,FS,GI,GO,IR,RW,RY,RZ,TU
BNRU;BE,CH,CU,DE,EK,EM,ER,UY
BNSU;BE,BY,CE,EJ,UY
BNTU;BO,CO,EE,EN,GI,IT,JO,MO,OO,OT,UU
BOOR;AF,CH,EZ,IZ,RW
BOOS;AI,FF,IV,WX
BOOT;CM,DE,EE,EK,EN,LT,MT,NU,PW,UW,UX
BOOY;CW
BOOZ;IR
BOPR;AH,IT
BOPS;CU,DI,HI,IY,LO,OY,UW
BORS;NU,RU
BORT;DE,EL,EN,ET,EV
BORW;AL,AR,AT,DY,KY,OR,RU
BORY;DO,DW,IN,KW,LL,LN,MO,NW,NY,NZ
BOSS;DE,DO,EH,EI,EM,EO,ES,EU,GI,IM,MO
BOST;
BOSV;AC,AE,AR,DI,ER,IO
BOSW;AT,AW,GU,NU,OX,PU
BOSY;AL,BL,BN,CL,HI,HL,IP,LM
BOTT;AL,IR,LO,MO,NU,RU
BOTU;BN,CN,GU,JN,MN,NO,NT,OW,OX
BOTY;AB,AN,EN,FL
BOUY;BM,CN,DE,DL,DN,FF
BOUZ;ER
BOXY;AH,AU,BM,IL,KS
BPRU;AE,AL,AT,AY,DE,EE,EM,EO,EY
BPSU;CO,KU,OW
BPUY;AR,IN
BRRR;EU
BRRU;AD,AN,BE,CE,CI,DE,EE,EF,EG,EI,EK,EL,EN,ER,ET
BRSU;FI,MO,OO,OS
BRTU;KU
BRUX;
BRUY;AD,AM,AN,AP,CM,FI,HS,NU,ST
BSSU;CR,HR,IQ,OR,SY
BSTU;
BSUY;AL,AN,AW,EL,EM,ER,IL,NU,SS
BTTU;IN,IR,NO,OR
BUZZ;DE,ER,ES
CCEE;AD,BH,DI,HL,IS
CCEO;HI,HL,HN,HU,IM,KL,KP,KT
CCHI;EL,EM,ER,ET,LY,MY,PU
CCHO;CY,EL,ER,RT
CCKO;DE,EP,ET,MO,MU,NU,OU,PU
CCOO;KM,KU,NO,OO,OR
CCOR;AD,AH,HT,OO
CCOY;CH,CX,HN,PU
CDEE;BK,EM,EX,FK,FN,FT,GK,JT,KK,KL,KN,KO,KP,LL,LP,LW,NO,NT,OO,TT
CDEI;FI,FO,GN,GO,IK,JU,KK,KN,KP,KU,KW,NO,NU,NW,NZ,OP,OX,OZ
CDEK;BE,BU,DE,DI,DU,EF,EG,EK,EL,EN,EP,FU,HU,II,IK,IL,IM,IN,IP,IT,IU,IW,IY,LU,MU,NU,PU,TU,UY
CDEO;AI,AM,BB,BI,BM,FF,FI,GG,GI,IM
CDER;HN
CDEU;AA,AD,AM,AX,DI,DK,FF,FK,GW,HI,HK,IJ,IK,KM,KP,KY,MM,PP
CDHI;AR,OR,RY
CDIK;DE,EI,EK,EL,EM,EN,EP,ER,ET,EU,EW
CDIO;AE,AN,AZ,BE,BU,CC,EF,EG,EN,EP,EV,EX,EY,EZ,FU,FY,GN,NO
CDIS;HL,NY
CDIT;IN,MU,NU
CDIU;AR,BO,DE,DN,EH,EJ,EK,EN,FN,FO,NT
CDKO;NU
CDKU;BE,DE,EF,EH,EI,EL,EM,EN,EP,ER,ET,NO
CDLO;DY,LY
CDNO;AI,AR,BU,GI,IL,IR,JU,KU,RU
CDOO;GY,IM,MO,MT,OT,RT,RY
CDOR;NO,OT,OY
CDOS;
CDOU;BI,BN,FI,IM,JN,KN
CDRU;AI
CDSU;
CDTU;IM,IN
CEEH;AT,GO,HW,IT,IW,OY,QU,TV,TW
CEEP;OU,TX,TY,UY
CEER;AF,AO,AR,FI,IU,OV,RU
CEES;BK,BL,BZ,CI,EM,IK,IL,KL,LO,LV,OO,UV,VZ
CEET;AF,AH,AO,BK,DF,DH,DI,DT,FF,HI,HV,HW,IM,IX,PX,PY
CEEX;DE,DI,IT,PT
CEFH;DE,FY,NR
CEFI;AA,AB,AL,AN,AR,DI,DO,ER,FO,KL,KN,RR
CEFK;DE,DU,IN,RU
CEFL;EE,EY,FO,FU
CEFY;AL,EL,FH,KL
CEGK;DE
CEGL;BO,DU,GO,HU,RY
CEHH;AL,EW
CEHK;DU,II,IR,IY,LU
CEHL;CN,MS
CEHM;LU,TU
CEHO;CI,CU,EG,EY,GI,TU
CEHP;IN
CEHR;CI,DI,DN,FN,GI,IK,IN,IR,IS,NW,RY
CEHS;
CEHT;DE,MO,OP
CEHW;AD,AR,DE,EH,EI,ER
CEHY;AB,AP,BE,BN,EK,EO,ER,FF,IK,IN,KO,OR,PR,QU,RR
CEHZ;IN
CEIL;BY,CY,QU
CEIM;CO,KY,MO,PU,PY
CEIN;DK,DO,DZ,FK,FT,IP,IT,JT,KT,NO,NT,OT,OV,PT
CEIP;AC,AH,AN,CT,DK,DO,DT,HN,IN,KT,MU,MY,NT,OT,OW,PT,TY
CEIR;BO,EF,EH,HO,OO,OV,OW,OZ
CEIS;CE,EK,EX,IK,JU
CEIT;AC,AN,AT,CP,CY,EN,EX,GO,IN,JN,KN,KP,KT,KY,NN,NO,NP,NY,OO,OP,OX,OZ,PP,PY
CEIV;EN,LP,RU,RX
CEIW;DK,EH,HS,KR,OP,OR
CEKK;DE,DI,EL,IR,OP
CEKM;AL,AO,BO,DI,DO,DU,IL,IY,LU,OR,RU
CEKN;AL,AO,AR,AT,AU,AW,BE,BO,DE,DI,DO,DU,ER,FI,IL,IR,IT,IW,LO,LU,OR,OT
CEKO;AM,AN,BM,BN,CP,CT,IO,JY,KP,NT,OY,PT
CEKP;AD,AR,AT,CO,DI,DO,DU,IL,IR,IT,KO,LU,OT,RU
CEKR;BU,FU,MU,PU,PY,UY
CEKU;AN,AR,BD,BI,BL,BR,BT,DD,DF,DH,DI,DL,DM,DN,DP,DR,DT,DY,FR,HL,HN,IL,LM,LN,LP,LR,MR,PR,RT,RY,TT
CELL;DE,DU,RU,TU
CELM;DU,EY,HU,KU,NU,UY
CELO;AJ,FF,GG,PP
CELS;BE,CK,CY,EH,EK,EP,ER,EV,EX,EY,HP,HY,KR,PY,RY
CELT;
CELU;AF,AI,AM,AQ,BK,FF,IK,IQ,KM
CELW;AD,AR,DE,DO,ER,NU,RU
CEMO;CI,DI,DK,DO,DP,DY,IM,IN,NN,NO,NW,PU
CEMR;BU,KU,MU,NU,TU
CEMY;DO,EL,EN,IK,IP,IT,LO,LU
CENO;EE,EJ,IM,IX,MO,MW
CENS;HM,RY
CENT;FI,GY,II,IJ,IK,IL,IN,IP,IR,IY,RY
CENU;AG,AH,AJ,AK,AM,AN,AV,HK,HQ,HU,MR,NR,RY
CEOP;AM,AT,AW,CK,IL,IT,IW,KK,KT,LM,LP,MT,TY
CEOR;GG,IX
CEOS;AG,EO,JO
CEOT;BJ,CK,GI,HP,HU,IO,IP,IX,IZ,KP,OY,PY,QU
CEOV;
CEOZ;
CEPR;
CEPS;CY,LY
CEPU;AF,AT,DK,DP,EY,GG,IM
CERS;GY,LY,NY,RY
CERT;
CERU;AC,AF,AK,FK,FW,KM,KY,MM,MN,NN,NY
CERW;AC,AH,AL,FU,HN,HT,IN,IT,LU
CESS;DN,KN
CEST;
CESU;EF,EV,EX,IJ,IM
CESY;AD,AP,AR,AU,CL,CP,DN,DR,GR,IP,KK,KP,LP,LR,NR,PR,RR,RW
CETU;BK,KT,MT,OQ,OT
CETY;AK,CI,DO,EP,GN,IK,IM,IN,IP,OO,OP
CFFO;DE,EE,EI,ER,IN
CFFU;DE,EL,IN,NU
CFIL;IM
CFIO;DE,DU,DY,EF,FN,MR,MT,NT,NX,RT
CFIS;IN,IT
CFIU;DN,DO,FN,GN,IN,RT
CFKU;DE,ER,PU
CFLO;
CFNO;AB,AL,AR,ER,FI,IT,IX
CFOO;
CFOR;AN,AX,IL,IM
CFOT;AL,FU,IM,IN,SU
CFRU;EK,EW
CFSU;AE,AH,EE
CGHO;EE,EI
CGHU;RT
CGIS;AL,AM,AN,AR,EO,ER,ET,HN,IN,LN,LO,NO,OR
CGKU;
CGLO;AU,BE,EG,GY,HU,LY,NU
CGOR;BU,BY,DE,EG,EN,ER,GY,HU
CGOS;AE,AN,AT,EI,EK,EN,IN
CGSU;EN,NY
CHIK;EI,EY,IM
CHIL;
CHIM;CY,IK,NY
CHIN;MY,RU
CHIP;AE,BO,CU,IP,PY
CHIR;CE,DE,DY,EE,EG,EN,ES,GN,IZ
CHIS;DL,IL,LL,LO,LR,OR,OW,OY,OZ,RR,YZ
CHIT;CO,QU
CHIU;CN,CP,DE,LN
CHIV;
CHIW;EE,ES,OR,OS
CHIZ;EN,IR,NT,OS,SY
CHKO;AR,RU
CHKU;AB,AK,AR,DE,EL,OR
CHLO;GU
CHLY;AK,AL,AR,FS,MU
CHMO;
CHMU;MY
CHNO;RY
CHOO;BR,RT
CHOP;BI,IN,PY
CHOR;CS,CU,GU,KU,LS,MO,NO,RU,SU
CHOS;BR,DR,IR,IY,IZ
CHOT;CI,CO,EM
CHOU;AN,BE,DE,EL,EN,ER,KR,RR
CHOW;IR,RY
CHRU;AG,AK,GO,GT,KO,OT
CHSU;FF,SS
CHTU;AG,AN,AQ,AW,GL,GR,IQ,NU
CHUY;BB,BN,EQ,FF,KN,LM,MM,MN,NP,OP,OT
CHWY;AK,IT,OR
CIKK;DE,ER,PU
CIKL;IY,RY,TY
CIKM;AR,AU,DE,EL,HI,NU
CIKN;AG,AO,AP,AR,AT,BO,DE,EF,ER,ET,EW,GO,IP,IW,MU,PU,PY,YZ
CIKP;AB,AN,AO,AX,AZ,DE,EL,ET,IN,KU,NU,PU,TU
CIKR;AM,AN,JO,LY,OR
CIKS;EE,EI,QU
CIKT;AN,DE,EL,EN,EP,ET,EW,PU
CIKW;DE,EN,ET,IN
CIKY;BR,CR,EH,ER,FL,HN,IL,LR,NZ,QU
CILL;OU
CILO;AX,IP,PY,YZ
CILP;IN,IO,OY
CILR;AA,AG,AN,AT
CILT;
CIMO;AO,AT,AV,EM,FT,IT,MT,PY,TY
CIMR;NU,UU
CIMS;IM,IV,TY
CINO;BK,DE,DO,EX,FF,FX,JO,OP,PP
CINQ;EU,IU
CINU;BI,CH,DD,DF,FF,FI,HL,IN,IQ,KP,LO,LP,NO,OZ
CINZ;CI,DE,EH,HT
CIOR;EK,EO,EP,EV,EW,EX,EZ,JK
CIOT;BI,BM,CH,CT,EG,EO,EZ,FM,GH,GO,HK,IM,IT,MM,MY
CIOX;AL,AN,DE,DI,EN,ER,FN,GN
CIOZ;HS,LY
CIPR;CI,CU,OT
CIPS;DU,PU
CIPY;AF,EL,EM,HL,HN,HP,LO,MO,OW
CIRS;HR,IN,IS
CIRT;CI,FU,II,IN,IV,TY
CIRU;BR,CP,FT,MU
CIRY;AM,AN,AV,BD,BK,CK,DH,GN,KT,SU,TT
CISS;CO,HH,HM,IR,LM,MO,MR,MU,NO,OR,SU,UV
CIST;AA,AF,AM,AN,AT,CI,CY,FI,IY,MY,NT
CITU;AC,AQ,AR,AY,DM,FR,HQ,KP
CITY;AU,AV,CE,CS,EM,EN,FI,FY,IS,MO,MS,RT
CJKO;AP,IR
CJOO;IN
CJOU;AA
CKLO;HO,PU
CKLU;BE,DE,EH,EI,EM,ER
CKMO;AE,BE,CO,CU,DE,ER,PU
CKMU;CO,DE,EL,ER,IN,OP
CKNO;AE,AI,AW,BE,BI,CU,DE,DU,ET,GI
CKOO;CM,CU,DE,EI
CKOP;AI,AJ,AL,CE,CU,DE,EK,ET,LU,MU
CKOR;HI,HU,IJ,IR
CKOS;
CKOT;CE,DE,EL,EN,EP
CKOW;DE
CKOY;BL,DE,FL
CKPU;CO,DE,ER,FU,IK,IN,IP,IT,MO
CKRU;AB,AE,AH,BE,DE,EF,EL,EM,EP,EY,HO
CKSU;IQ
CKTU;AN,BE,DE,ET,IP,NU
CKUY;AQ,CH,ER,HN,IQ
CLLO;IU,OP
CLLU;AA,DE,EO,ER,ET,IO
CLMU;AA,AE,AU,CU,DE,EK,EN,EY,II,IU
CLNO;AA,AB,AF,AH,AL,AT,AX,GU,MU,TU
CLOO;AL,AZ,BI,DE,EI,EM
CLOP;EI,EP,EU,II,IU,IY,KU
CLOS;
CLOT;
CLOU;AC,AG,AP,GH,GN,GO,KN,KP,NO,NW
CLOW;DE
CLOY;DD,DU,FK,GG,IP,IZ,KN
CLRU;AF,AR,AT,NU,PU
CLSU;CY
CLTU;CH,GH
CMMO;EI,ER,IT,IX
CMOO;AI,CK,DE,DI,DN,DO,DT,EL,EN,NN
CMOP;DE,ER,EU,IY,KU
CMOR;HO,HY,MO
CMOS;LY,NY
CMSU;CE,MY
CMSW;AA,AR
CMSY;IT,LO,LU,MU,NO,OU
CNNO;MO,OR,PY
CNOO;AC,AP,BE,CO,EM,EN,EP,IJ,IP,IZ,MM,MN,PU
CNOR;
CNOS;
CNOU;AG,AH,CK,DK,GL,GO,IL,IM,IN,IZ,KL,LM,LO,LW,OP
CNOY;CH,LO,OV
CNRU;AR,AT,BU,EL,EM,EN,LU
CNSY;CI,DE,DI,EE,ER,ET,GU
CNTU;AF,AH,AK,AP,AR
COOP;AN,DE,EN,ER,IN,NU,UY,WX
COOS;BY,EE,EY,EZ
COOT;AH,AV,BM,CH,DM,DO,DR,EI,ER,EY,GI,HH,HR,IR,MM,RU
COPR;IT,PY,TY
COPS;
COPU;AL,CK,IL,KL,KM,NO,NT,OT
COPW;AE,AT,DE,EI,IY,OX
COPY;ER,ET,IL,IM,IW,LM,RT
CORS;HL,LL
CORT;DO,PY
CORU;AG,GH,HK,OU
CORW;HI
CORY;DO,GG,LO,PP,PT,PU,TU
COSS;CI,DI,DL,FF,HM,HO,IM,IN,MO,NY
COST;MP,NY
COSW;AN
COSY;AC,AR,AU,BO,HI,HO,MU,OT
COTT;CI,DI,II,IP,IR,LY,NO
COWY;AG,BO,IP
COXY;CC
COYZ;AR,IL
CPSU;DI,HM,HT,IP,MR,TU
CRRU;BI
CRSU;
CRSY;DE,EG,EL,EN,EO,EP,ER,ES,EW,IL,IP,NO,PT
CRTU;CH,GH,LY
CRUX;ES
CSSU;CU,FF,HS,IS,IV
CSTU;MU,PU
CSTY;AH,AN,AT,CI,DI,HU,II,IK,IM,KO,LO,NO,OO,PR,RU
DDEE;AB,AD,AH,AI,AM,AV,BD,BI,BT,DE,DI,DT,EH,EM,EV,FI,FU,IT,MO,TU,UX
DDEI;DE,DU,EF,FG,GG,GU,MM,PP
DDEO;AD,DD,DH,DN,FF,FN,HN,HO,KO,KU,NN,NY
DDER;
DDEU;AC,AG,AL,AN,AT,CE,CI,CL,CN,CT,EF,EL,EN,ET,EX,FF,FG,FL,FN,GI,GJ,GL,GM,GN,HL,HN,IN,IT,LL,LM,NN,NT,NY,OT
DDEY;AL,LO
DDIO;HN,MY,PY,TU,TY
DDIY;AC,ER,FL,HR,LP,OP
DDOO;AD,AG,AH,AM,AR,CE,EH,EK,EL,EM,ER,EW,GM,OO
DDOS;
DDOW;NR
DDRU;MU
DDSU;BI,HI,HU,IM,PY
DEEF;AC,AM,AN,AZ,BE,BW,CH,CK,CN,DI,DN,EZ,IN,ZZ
DEEG;AM,IJ,IN,IT,MM,MN,NN,NU,NV
DEEH;AB,AD,AJ,AP,AV,DE,DN,EZ,MM,NN
DEEI;AD,AM,AT,AW,DD,DF,DT,EP,GG,GJ,GT,GW,MP,MT,MV,OV,PZ,TV,VW,WZ
DEEJ;AB,AH,AN,AY,BL,BM,CT,EL,EP,ER,FF,GI,KR,LL,SS,ST,TT
DEEK;AB,AL,AP,BB,BC,BM,CF,CK,CL,CO,CP,EK,EL,EP,KL,LP,MP,OV,PP
DEEL;CK,CL,CP,EJ,EK,EP,ET,JL,KK,KP,LP,OO,OP,PP,PT,PX,TT
DEEM;CE,CI,DE,DO,EX,GM,HM,IP,KP,OU,PU,QU
DEEN;BB,BE,CF,EV,EZ,GN,GV,HN
DEEP;AC,AH,AK,AL,AT,AV,AZ,BE,CH,CI,CK,CL,DL,EI,EJ,EK,EL,EP,EV,GG,GH,GL,HL,IM,IZ,KL,KM,KP,LL,LP,LT,LX,LY,MT,MU,PP,TT,TU
DEER;VV
DEES;
DEET;CI,CJ,CT,DD,DI,EL,GI,IV,IX,JT,LP,LT,OV,PT,TV,TX
DEEV;CI,DN,GG,GN,GR,IN,IO,IR,IT,IW,KO,KR,NO,NR,NT,NU,OR,OT,PR,RT,RV,TT,TU
DEEW;AI,AV,IV,IZ
DEEX;AR,CE,EM,LP,NP,NT,RT,TT
DEEY;AJ
DEFI;BB,CI,CO,DE,OO,ZZ
DEFL;AA,AB,AD,AH,AK,AM,AN,AO,AR,AW,AY,DO,FY,GO,GY,MY,NO,OO,OR,OW,OY,PY
DEFN;AD,AE,AF,AG,AK,AL,AN,AR,AW,CE,DE,DO,ER,FO,LO,NO,OR
DEFO;AL,AM,AR,BB,CI,CR,DL,DN,DR,HO,HU,HW,IL,IN,IO,IT,KR,LN,LO,LR,LT,LU,LW,LY,MR,NN,NR,NU,NY,OR,OT,OW,PP,PU,RT
DEFS;KY,MR
DEFT;OO,OR,OS,RU,SU,TU,UZ
DEFU;AR,AT,BB,BF,CF,CK,DF,FF,FH,FP,FR,HO,OP,RR,RT,TT
DEFY;FL,GL,LM,LO,LP,LT
DEGI;AH,AT,DT,EJ,ES,ET,EW,HH,HS,IW,PP,ST,TT,TW
DEGL;
DEGO;CG,CN,GH,GJ,GN,GU,NO,UV
DEGR;
DEGS;FI,HI,IM,IN,IT
DEGU;CW,OT,OV,TT
DEGY;IN,MP,PP
DEHI;AG,AJ,AL,AN,AZ,BN,EL,GH,GN,IM,LL,LT,LW,MN,NT,NW,PP,PT,TT,TW,ZZ
DEHL;CI,CY,DU,IL,IS,IT,IW,KU,LU,RU,SU
DEHN;AD,AG,AI,AK,AL,AP,AR,AT,AU,BI,DE,DI,DU,EN,ER,ET,GI,IM,IR,IT,IW,MU,RU,TU
DEHO;BB,DD,FU,FW,GG,WW
DEHR;CN,CU,LU,MY,NU
DEHS;BU,CU,DU,GU,HU,KU,LP,LU,MU,PT,PU,PY,TU
DEHU;AL,AN,AS,BS,CI,CK,CO,CR,CS,CT,DL,DN,DS,FF,FM,FO,GG,GS,HS,KL,KS,LL,LP,LR,LS,MM,MN,MP,MS,NR,NS,NT,OS,OT,PP,PS,RS,SS,ST,TT
DEHY;CL,KT,MR,TT
DEIJ;AH,AL,CU,EG,GG,KN,LT,NX
DEIK;CI,CK,CU,CW
DEIL;HL,IL,LL,LU
DEIM;EV,FF
DEIN;BB,BH,CH,CO,HO,JO
DEIP;CE,CO,DO,EE,GG,QU,UV
DEIR;OO,OZ
DEIS;GU,IX,QU
DEIT;AA,AE,AG,AO,AU,AV,AX,EG,EV,EX,GG,GT,GU,HT,OT,QU,TT,TU
DEIV;AM,AT,AV,AZ,EM,ET,FF,PU
DEIW;CK,DI,EG,EZ,GG,GI
DEKO;DO,DU,EV,IL,LO
DEKR;BU,LU,MU,NU
DEKS;
DEKU;AB,AQ,AW,BC,BL,BR,CF,CH,CI,CL,CM,CR,CT,FL,GL,HL,IR,LR,MR,OT
DEKY;AC,AK,AP,HT
DELL;BE,BI,BO,BU,CE,CO,CU,DI,DO,DU,EF,EG,EH,EJ,EM,EP,FI,FU,GI,GU,HI,HU,II,IK,IL,IM,IN,IO,IP,IR,IT,IU,JO,LO,LU,MU,NU,OP,OR,OT,OU,PU,RU
DELM;FY
DELN;
DELO;LL
DELP;CE,CY,DE,EE,EG,EK,EL,EP,ER,ET,EX,EY,FY
DELS;
DELT;BE,EE,EM,EN,EP,ET
DELU;AD,AH,AI,AL,AV,AW,DH,DL,HK,HL,IL,LL,LW,VV
DELV;NU,UV
DELW;
DELY;FF,FM,FP
DEMN;BU,GU,HU,HY,TU
DEMO;AC,AE,AF,CK,CY
DEMR;HY,MY
DEMS;
DEMY;BO,CO,FL,GP,HN,HR,LO,MR,OP,PU
DENO;DD,DF,DG,DP,FF,FI,FU,GG,GP,II,IJ,IP
DENP;CO,DO,GO,HO,KO,OR
DENR;CH
DENS;
DENT;
DENU;AD,AH,AM,AN,AO,AX,DH,DN,DY,HM,MO,NO
DENV;DE,EE,EG,ER,ET
DENW;
DENY;GI,II,IN
DEOP;BP,FP,IN,IP,PP,PW
DEOR;FF
DEOS;
DEOT;AB,AI,BO,FI,FO
DEOV;EK,GU,PU
DEOW;FH,HK,PP
DEOY;RV
DEOZ;GL,II
DEPS;HT
DEPU;BB,ET,FF,IQ,IT,IV,TT,TY,TZ
DERS;
DERU;FF,KY
DERV;CU,EE,EG,EK,EL,EN,EP,ET,EV
DERW;HS,NU,PU
DERY;HM,IW,MM,OV,OW
DEST;HP
DESU;AH,AI,HH,IJ,IQ
DESV;TU
DESW;BU,HR
DESY;CO,OX
DESZ;ET
DETU;AD,AF,AI,AP,DI,FZ,GG,GI,IP,IQ,PP,PY,PZ,QY
DETY;AB,AH,HK,HT,QU
DEWY;IR
DEXY;
DFFI;
DFFO;AR
DFFU;BE,CE,DE,EF,EH,EL,EM,EP,ER
DFIN;AG,AR,IY,LO
DFIO;BL,CE,CU,CY,EF,EL,EN,EO,ET,LN,MY
DFIS;AV,LU,RT
DFLO;AE,BI,DE,EG,EI,EN,ER,ET,EU,EW,EY,IN,IR,NU,NY,PU
DFNO;DE,EF,EI,EL,EN,EY,IL,LY
DFNU;
DFOO;EG,EH,EI,ET,EW,GG,GX
DFOR;AB,AE,AF,AR,CE,DE,EF,EG,EK,EL,EM,ET
DFOU;AM,CI,EH,EL,EP,LP
DFOW;EG,EH,EL,EO,ES
DFRY;AE,AF,AT,EE,IT
DFSU;AH,AL,AR,IL
DGIL;IN,IR,NO,OT
DGIN;AD,AF,AH,AI,AJ,AL,AT,AV,AW,AZ,BI,CI,HI,IK,IL,IN,IP,IT,IV
DGIR;AA,AV,PU,TU
DGIS;EE,EF,EH,EM,EO,ET,HT,IT
DGIU;DP,JO,MT,PR,RT
DGLO;AI,AP,IN,IT,NP
DGNO;BE,CE,DE,EG,EL,EM,EO,EP,ER,ET,EW,LP,OR,OW
DGNU;AL
DGOO;DM,EF,EI,EN,EP,FX,HP,HT,IM,NW
DGOS;HU,RU,TY
DGOW;AR,IN,IT,NO
DGOY;HU,IZ,ST
DGRU;IP,IT
DGSU;HO,LY,MY
DHIL;EE,EL,ES,ET,EW,OS,PU
DHIN;BE,BI,CE,DE,DO,EG,EM,EO,ER,ET,EW,GI,GY
DHIS;BO,CL,CT,DI,DO,DU,GT,IP,KR,LO,MO,OT,OV,RT,RU,TU
DHIW;AH,EL,EN,EO
DHKU;AH,AI,AK,CE,EL
DHLO;OY,PU
DHNO;DI
DHOO;AD,AI,AN,GP,GT,IT,NU,OO
DHOS;BI,CR,DI,GU,IM,IT,IV,RU
DHOT;GO,GU,OR,RU
DHOW;AH,CE,EF,EI,EK,EL,ER,EW
DHOY;AB,GU
DHOZ;
DHSU;BE,CE,DE,DI,DU,EG,EH,EL,EM,EO,EP,ES,GO,LO
DHTU;EN,EO,ET,GO,OR
DIIM;AC,AL,AN,CI,HM,LP,NU
DIIN;FY,GH,GK,GL,GN,GP,GS,GV,JN,MU,NW
DIIR;BE,EK,EP,ET,FT
DIIV;AN,DK,GN,OT
DIIX;CO,DO,NO
DIJN;AG,AO,EK,EO,EX
DIJR;
DIKL;IT,KU,NY,TU
DIKN;BO,DO,GI
DIKR;FU
DIKS;DO,DY,OO
DILL;AC,AE,AP,BE,DE,EF,EG,EH,EK,EL,EM,EN,EO,EP,ET,EU,EW
DILM;AI,AO,IP,OR,OU
DILN;DR,GI
DILO;BF,BI,BO,IP,MU,PU
DILR;DN,GI
DILS;BU,CH,FU,IP,IT
DILV;FU,LY
DILW;LY
DILY;BU,DD,DF,DP,DT,IT
DIMN;CU,GO,IU,KU,OO,OR
DIMO;GN,GO,LR,NO,NR,OR
DIMP;AC,AY,IL,LY,OU
DIMS;
DIMU;AQ,BE,EM,EP,IN,KN
DINO;CE,CO,DH,DK,EF,EH,EJ,EK,EM,EN,EV,MO,OZ
DINR;DL
