AAAARR;MPTT
BBEEST;AAKR,ANOR,INRZ,IRRU
BBEFIR;
BBEGIN;ACLR,ACRU,AFPR,ALOR,ALRS,AOTX,AQRU,CLOR,DLOO,HMTU,JLMU,LORS,LRSU
BBEGIR;
BBEGIT;ANOX,HMNU
BBEGLO;IIPY
BBEGNU;BILR,HIMT,IJLM
BBEGOT;AINX
BBEHIK;
BBEHLO;
BBEHOR;MOOP
BBEIIM;ALNO
BBEIIR;BENW
BBEIJO;
BBEIJR;
BBEIKL;ERRU,MOOO
BBEIKS;NNOS
BBEILM;AAAT,AANO,ACNO,AINO,AOPR,GJNU,KOOO
BBEILN;AAMO,AAOT,ACMO,AIMO,GJMU
BBEILR;
BBEILS;AALL
BBEILW;
BBEIMO;AALN,ACLN,ADRR,AILN,ALPR,KLOO
BBEIMX;
BBEIOO;BHNR,DGLN,DKNR,ILLP,KLMO
BBEIRR;AHRU,EFMO
BBEIRS;
BBEISU;ADLU,ALLM,DDOY
BBEJOR;ACKW
BBEKNU;CERR
BBEKOS;AADR,INNS
BBEKSU;CTUY
BBELLU;AAIN,AAMN,ADNR
BBELMO;AAIN,ACIN,AIIN,AIPR,IKOO
BBELMU;AALN,GIJN
BBELNO;AAIM,AAIT,ACIM,AIIM,AITU,CEOU,ENTU
BBELNU;AAET,AALM,AATY,ACLU,CEOO,ENOT,GIJM
BBELNY;AARU,AATU
BBELOR;
BBELOT;ELTU,ENNU
BBELOW;
BBELPY;GIIO
BBELRU;
BBEMNU;AALL,AELR,CDRU,EMNT,GHIT,GIJL
BBEMOR;AILP,HOOP
BBEMOS;ACCH
BBENRU;CEKR,CHRY
BBENSU;
BBEOPS;AHNR,DLUU
BBEORR;AADD,AADG,ADFI,AETW,EFIM,KLUW
BBEORS;
BBEOSU;ADNR,AHLT,AMRT,BHHL,CHLY,DDIY,DISY,DLLO,DLMM,DLPU,DNRT,GLOS,JNRT,KNRT,NRRT
BBERRU;AERW,AHIR,CEKN
BBERTU;AELT,ALLT
BBESSY;ALOT,DIOU
BBESUZ;EIRR
BBFILU;AFIM
BBGINO;AETX
BBGIOW;BCEN
BBGLOY;EIIP,IILO
BBGRUY;INNU
BBHIOT;GMNU
BBHJOO;BGIN
BBHLUY;
BBHNOO;BGIJ,BGIN
BBIIKS;BGNO
BBIIRT;ACGO,ACRU,GNOU
BBIIUU;
BBIKOS;BGIN
BBIKSU;
BBILLU;AAEN,AANT,ACIN
BBILNY;ADGL,AGST,GILN,GLMU,GNSU
BBILOS;CIIT,DDUY,IITT
BBIMOS;ADRR,GGJU,NORU
BBINNU;
BBINOR;DOOW
BBIRTU;ACIR
BBKNOY;
BBKNUY;
BBKOOS;ACLT
BBLLUU;ACEN
BBLNUY;AAER,AAET,AALM,GILM,GINS,ORST
BBLOOS;EGSU,GHIN
BBLOSY;CEHU,DDIU,NRTU
BBLOWY;
BBLRSU;IIIN,NOTY
BBLRUY;AAEN,NOST
BBLSSU;AEMU,AFHL,CEIN,EEHU,EGOO,EIIV
BBLSUY;CEHO,DDIO,GINN
BBMOOS;FOPR,HOPT,INRU
BBMOSU;ACLO,DELM,GGIJ,INOR
BBMOUY;
BBMOXY;
BBMRUY;
BBNNOO;BGHI
BBNOOO;DIRW
BBNOSY;AACR,LRTU
BBNOTU;AEIL,ALLT,EELN,GHIM,GIIR,HSTU
BBNSUY;GILN,LORT
BBOOOO;
BBOOSY;ADDR,AFPR
BBOOUU;
BBORTU;
BBOSUY;CEHL,DDEI,DDIL,LNRT
BBRSUU;ERTT
BBSTUY;CEKU
BCCEEH;
BCCEIO;AHMR,ARRX
BCCEOS;DHKY,EHKX,HKKO,KLLL,KLRU
BCCIOR;ELSU,HINT
BCCIOS;
BCCISU;EENS,ENNO
BCDEEK;AHTW,LLNU
BCDEIO;AEPR,AKUV,DEMO,ENPR,GNRW,HTTU
BCDEIS;AALL,ALTU,ATTU,ENSU,ILPU,INSU,LLUY,NSUY
BCDEKO;ABCM,AEFO,AIUV,AJOT
BCDEKU;AHMP,AIOV
BCDEMO;ABCK,AGKS,AIIL,AKSS,DEIO,EIOS,ILTU
BCDENU;AILL,IISS,ISSY
BCDERU;
BCDIOU;AEKV,AHNR,EHTT,ELMT
BCDIRY;
BCDNOU;AGKR,AHIR,AHPR,HLOT
BCEEHO;ALRV,ANRR,KRRY,NOPR
BCEEHR;AKTU,CDOS,COSS,DIMS,DOPS,DOUU,IIST,IMSS,IORS,IOST,ISTU,KORY,MOUU
BCEEHY;AALT,ADRU,IRTW,KORR
BCEEKN;FGIL,LOTT
BCEEKR;AHTU,ARRY,BNRU,EIIT,HILU,HORY
BCEEKS;ACIP,AHHS,CHOX
BCEEKT;ADHW,AHRU,AJLU,ALOP,EIIR,IKOP,LNOT
BCEEKZ;
BCEELO;AINT,AKPT,ALPR,ANTT,CDIT,KNTT
BCEELS;BBIR,EQRU,FIRU,IIPT,ILRU,INSU,MRSU,RUUY
BCEEMO;ADIN,DDIO,HRUU
BCEEQU;AHLN,HKOO
BCEERS;ACFY,ACPY,ALLO,CDHO,CHOS,DHOP,DORS,HOTT
BCEESX;AOSU,CHKO,NOOO
BCEESZ;AIRT
BCEGLO;AALU,AINZ,AJNU,DINU,GGIN,HINT,IIRR,IKLN,IMNY,INNW,IOOY
BCEHLN;AAIM,OSUX
BCEHNY;BRRU,HNOU
BCEHOR;EKRY,EMUU,ENOP
BCEHOS;CDKY,CIIL,CKKO,KLLO,MNOY
BCEHOU;AALV,HNNY,IOPR
BCEHRU;DEOU,EMOU,IOOP
BCEIIK;
BCEIIS;AEOR,AERT,AIST,ALPT,AORT,BLRR,DEHR,EHRT,ELPT,ERRT,GLNU,HNST,HOPR,HSSU,IRTU,NOOS,OOPS,OPRT
BCEIKR;AHRT,AKMR
BCEIKU;ADOV,ALNP,GLNR,NRRR
BCEILM;IITY
BCEILR;CEEL,EEJT,EEPT
BCEILS;AANP,AAPZ,ACEI,ACES,AENV,AGHN,AGNP,AJNU,BNSU,EIPT,ENSU,GINU,IKLL,NPSU
BCEILY;ADEV,AKRR,ALPX,AMRU,EILM,ELNU,GOOO,HOPR,IIMT
BCEIOR;
BCEIOX;ACRR,HNOP,INOT
BCEIPS;AALN,AALZ,AGLN,AILT,CHKN,DHNT,HIOR,HNRU,HRTU,IORT,LNSU,NOTU,OPRY
BCEIRS;
BCEIRT;ADKS,AHLP,GINT,KLOO,LMOO
BCEIST;AABG,CIIU,EERV,EILP,EIRR,EJOV,EJUV,FJUY,GJNU,JNOO,LNOO,MNNU
BCEJOT;ADKO,AILV
BCEKLU;
BCEKMO;
BCEKNO;ACRR,AGHI,AGIL,ALLU,EHLU,GILL
BCEKRU;ABDN,AEHT,AHTT,BENR,INRR,JMPU
BCEKTU;AEHR,AEJL,AHRT,LNRU
BCELMO;
BCELOR;AELP,AEPU,ANRY,AOPV,APPY,APRU,ARRY,DRUY
BCELOS;
BCELOU;AAGL,AAHV,AGJN,AKLN,ALOR,APRR
BCELRU;DIOO,DOOR,DORY,NTUY
BCEMOO;AETY,AIRT,ALMN,APRT,DDEI,IIMR,ILLO,ILRT,IPRR
BCEMOR;EHUU,NPTU
BCEMOS;ABCH,ASUU
BCEMRU;EHOU,JKPU,NOPT
BCENOO;ADLN,ALLR,ALMM,BELU,CIIT,DIIT,DNUW,EHPR,IITX
BCENOS;CHRS,PRRY
BCENOU;AGJL,AILL,AKLL,BELO,EHKL,ELTT,HHNY
BCENSU;BILS,CEEP,CEIS,DISY,DLRU,DRRU,EILS,GIIL,GIJT,GIKT,ILPS,IMNT,KPRY,LSUU
BCEORS;KORR,NORR,NPRY,OPRY,OTTY
BCEOTT;AELN,AENR,AHLL,AHRX,ANRU,ASSU,DHIU,DRSU,EKLN,ELNU,IINN,INRU,RRSU
BCERRU;AELN,AILN,ALOP,ALPW,BEKN,DLOO,DLOY,IKNR
BCERSU;
BCGINU;DEHO,DELO,EILS,EJST,ILMP,LOOS,MOST
BCGORU;ADKN
BCGORY;AHLY,AHNZ,IILR
BCHIIR;ADEL,ADLN,AGOP,ALOP,CEMU,CNOT,DELO,DHLT,MOOP
BCHILO;AADN,ACKN,ACTU,AEIT,AIPR,AITT,DEIR,ENOR,EOPZ,EPRY,INPY
BCHIMS;AKLT,EIOT,EOTW
BCHIOP;AANO,AAQU,AEMT,ANOY,AOOT,ELOZ,GNOY,HMOO,MNOO,NOTY
BCHIRT;AALY,AELP,CINO,DHIL,EGNU,INOS,MOOT,MOOW,OPYY
BCHITY;AALR,NOOP,OPRY
BCHLOT;ACIU,ADOR,AEII,AELT,AIIO,AIIT,CMRU,DNOU
BCHLSU;AKLW,ALNP,BEOY,EKOO,ENOX,GINT,NOPW
BCHNRU;
BCHNUY;AARR,BERR,EHNO
BCHOOR;ADLT,EFFI,EIPU,IIMP,IMTT,IMTW,IORT
BCHORS;AACL,AGKU,AILR
BCHOTY;INOP,IPRY
BCHSUU;DKNO,EIOQ,EKMR
BCIILM;AAEL,AAGL,AALY,ACHO,ADEO,AELT,AHOP,AOPS,EITY,IMSY
BCIINO;ADMY,CLOR,GKKX,GNRU,HLPY,NOOV
BCIINU;ABLL,EGLS,GLMP,GNOR
BCIIOP;
BCIIOT;EIMM,EMQU
BCIITU;ABRR,AELM,ALTY,EMOQ
BCIKNO;ACHL
BCIKRS;ACLY,ADKO,ADRY,ALLW,DDIY,DGLO,GNPU,IKLN,MOOT
BCIKRY;AELR,ALLO
BCILMS;AHKT,AIOP,DNOW,GOOR,IIMY,MOUU
BCILOO;AINT,EELS,EGOY,EHPZ,ELMO,GGNN,GKLN,GNSU,STUU
BCILOS;ACIT,AIMP,AIPT,ARRU,ATUV,BIIT,DGKR,DMNW,GNOU,INPY,MMUU,OTUU
BCILPU;ADEL
BCILRU;AAEQ,AAMO,AAMT,AANS,AAPS,AAST,ACTU,AEMY,AFMO,AMUV,EEHK,EKLO
BCIMOR;AACT,AALU,AAOT,AAST,ACOT,AIOT,AMPU,IIMY,KOST
BCIMOS;AALN,AALT,AART,AILP,AINS,DLNW,GLOR,LMUU,NOTU,NOTY
BCIMOT;AACR,AALS,AAOR,AARS,ACOR,AEHP,AEHR,AEOR,AERR,AIOR,ALPY,ALSY,EIIM,EIQU,ELOR,GNSU,HORT,HORW,NOSU,RRSU
BCIMSU;DIMY,ELNO,ENNO,ENNT,EOTV,GNOT,LMOU,NOOT
BCINOR;
BCINOS;
BCINRU;ADHN
BCIORS;DGKL
BCIOSX;AEMN
BCIRRU;ABIT,AORT,EKNR
BCISTU;AAAQ,AALR,AEMX,AKKO,ALNR,ALOV,ALPY,DEEN,EEJV,EFJY,EGJN,EGKN,EHOT,EMNN,EMOV,MORR
BCKLOS;ABCK,ACCK,ADOR,DEEW,DGIR,DOOT,DOOW,EHOU,HOOO,KORW
BCKLOY;AELW,AILR,ALOW,HILS
BCKNUU;GILN
BCKORS;DGIL,EEHO,EIKX,EORR,GNPU,IMOT,KLOW
BCKOSU;DHNU,GNPR
BCKSUU;BETY,DMRT,EFLT,EGTT,ERTT
BCLOSY;ACER,ASTT,BEHU,CIKL,HIKL,IINP,MRUU
BCMOOS;ADLR,GILR,NORR
BCMOOT;AALO,AEEY,EILR,HIRT,HIRW
BCMORS;GILO,IKOT,NOOR
BCMORY;AAHU,IIIM
BCMRSU;AILL,ANOW,CORY,DKTU,GILN
BCMRUY;AAHO,CEEN
BCNOOR;AELL
BCNORS;CEHS,EPRY,GKPU
BCNOSU;AILY,AMRW,GILO,GKPR,HLPW
BCNOTU;AERT,AHRR,AKKO,DEIR,DHLO,EELT,EIRT,EMPR,GIKT
BCNOUY;AIRT,EHHN,EMOS,EPST
BCNRUU;EELT,EILT,EINO,EKLT,ELTY
BCOOOO;
BCOOSY;ACNR,EHMN,EMNU,EPRR,IMNT
BCOOWY;AKLL
BCOPSU;ACMT,DRTU,DRTY,EJRT,EKLR,ELTU,ENTY,ERSS,GKNR,HLNW
BCORSS;KRTU,MOTU
BCORSU;ACKT,AMNW,CMRY,DPTU,DPTY
BCRSSU;ABHK,ACIT,ADLN,AFHT,AGHN,AHKM,BGIN,KORT,MOOT
BDDDEE;AAHL,BLOS
BDDDEU;
BDDEEI;NNNU
BDDEEN;AAGH,AAHR,AEEF,AEKR,CEHR,CHIS,IMMU
BDDEER;
BDDEET;
BDDEEY;AKOR
BDDEGO;AANV,AEIR,DGIR,DIOS,ELNU,GLLU,IILS,IOSS
BDDEGU;AANN,INST
BDDEIN;CEHS
BDDEIO;AILS,AILZ,DGGR,EISW,ELSW,GILS,LMRW,MSTU
BDDEIR;
BDDELO;AAHM,AIIZ
BDDELU;
BDDEMU;AACS,AART,EIMN,INOR,IOST
BDDENO;AAGV,AISY,ALRR,HLOR
BDDENU;
BDDERU;AAMT,ALNT
BDDESU;AACM,NNOP
BDDISU;BLOY
BDEEEF;AHRT,GINR,OORT
BDEEEI;ADPR,ALMR,ALRT,ANRV,CFLT,CINT,CLPT,CLTT,DMOR,FGNR,GGMN,GLRT,LMMZ,MRTT
BDEEEL;ACEX,ACSU,CDGU,DMNO
BDEEEN;ADHO,ADKR,ADLP,AHPP,AIRV,ALPX,ALRR,ALRT,ALTX,ARUV,CDHR,CHRU,CIIT,DFIR,HLLR,NORR
BDEEEP;ADIR,AHNP,DORW,EPPR,MORT
BDEEET;ACFN,ACRR,AFHR,ARUX,CIIN,CJOR,FOOR,INRR
BDEEFL;INSY
BDEEFW;
BDEEGG;EIMN,LOOT
BDEEHL;ABBO,ADOO,AEET,AIRR,ELNR
BDEEHR;AFNO,CCOS,CIMS,COPS,COUU,DOSU,EISV,ELLN,GINO,IINS,IINZ,IORS,IORZ
BDEEIL;EMMZ
BDEEIN;CDHS,CHSS,DMMU,DMOU,DNNU,EGGM,FLSY
BDEEIR;
BDEEIS;AHMV
BDEEIT;CEFL,CELP,ELNX
BDEEJL;
BDEEJM;
BDEEKM;
BDEEKR;GIIL
BDEELL;CKNU
BDEELN;
BDEELS;BDDO,CEKP,CHOT,CKOW,FORW,OTTY,QRUU
BDEELT;CDIU,GGOO,ISUV
BDEEMR;EOPT
BDEEMS;CHIR,DGIN
BDEENO;
BDEENR;AADH,FFUU,TTUU
BDEEOY;ADKR,AKRR,ALLP,ILNT,LSTT
BDEEPS;ABHL,AHLM,AILS,GRTU,HIOW
BDEERR;MMUU
BDEERS;
BDEERW;EELT
BDEERY;GGRU
BDEEST;CHLO,CHMU,MNUU
BDEESW;ACKK,ACLR,CHOO,CKLO,EIRR,ETTU,FLLO,FLOR,KOOR
BDEESY;ALTT,FILN,LOTT
BDEETT;
BDEEWY;
BDEFFI;ILSU
BDEFFO;AALR,LTUU
BDEFFU;ARST
BDEFIR;AACT,AANT,ACTU,AGNW,AIMT,ARTU,GNOO,GOOT,INOZ
BDEGGI;ARRU,DDOR,EEMN,HINT,MNSU,NOOT
BDEGGO;AANT,ANOT,INOT
BDEGGU;AIRR,AORT,DLLO,IMNS,LLOR
BDEGIL;AHHL
BDEGIN;EEGM,EEPS
BDEGIO;
BDEGIR;
BDEGIU;ACHN,CHNO,CLNO,DFLN,HMOT,MNNO
BDEGLO;AOOO
BDEGLU;AMOT
BDEGNO;GLOO,HRUU
BDEGNU;ACHI,CHIO,HORU,IMNO
BDEGOR;AABR
BDEGOS;DLOU
BDEGOU;ALMT,DGLL,IMNN
BDEGRU;
BDEGSU;ACHO
BDEGTU;AGOR,AHOR,AJOR,ALMO,HIMO
BDEHIN;ACGU,ADHN,CGOU,EGOR,EIRZ,GGIT,GHIR
BDEHLO;AADM,ADEO,CIIR,DNOR,NTTU
BDEHOO;ADEL,AGGR,ALLY,ARRV,DLNR,EIMS,IIMR,IMRS,MRST,NOUZ,NSUU
BDEHOS;AADR,ADIR,CCER,CEOW,CEPR,EIMO,NOUU
BDEHOT;ADMU,AGRU,AIRW,ANRU,GIMU,IIPR,LNTU,NRUX
BDEHSU;CEMT,INOP,NOOU,NOTY
BDEIIM;ACLO,ACRT,AFLO,AFRT,AGNR,ALPS,ANOT,ERTT,GLNP,GNTU,HOOR,LSUZ
BDEIIR;AACZ,ACHL,AGMN,ALLZ,CHLO,CLNY,EFGN,EHNZ,EMTT,FNOZ,GHHN,GNOR,GNOT,GNTY,HMOO,HOPT,ILNV
BDEIKL;AILS,CCLO,COOT,IMOS,IOOS
BDEILL;AAIZ,AAYZ,ACFK,AGOZ,CCKO,GORT,INOV
BDEILM;AATT,DGNU,EEMZ
BDEILN;ILOV
BDEILO;AANT,AFTT,AINT,ILNV,LTUU
BDEILR;
BDEILS;CIPU,CLUY
BDEILU;CIPS,CIPZ,CMOT
BDEILY;LORW,MOSZ
BDEIMN;AAGM,DEMU,DEOU,EEGG,GILP,GITU,GNOU
BDEIMS;CEHR,DEGN,GIMN
BDEIMU;CNNO,DEMN,DENO,GNNO
BDEINN;ADHH,CMOU,EIOT,EOTU
BDEINR;
BDEINT;AAFR,AARZ,CIOO,EELX,ELLU,GGOO
BDEINU;ACGH,AFLN,ALNW,ALNY,CEMR
BDEIOO;CINT,CKLT
BDEIOR;ACEP
BDEIOS;
BDEIPR;AGHO,HIOT
BDEIPS;CHNT,CILU,EEGN
BDEIRR;HIYZ
BDEIRS;
BDEIRU;
BDEIRV;AEEN,IILN
BDEIST;FIII
BDEISU;CILP,CLLY
BDEITT;AARR,ACFK,CHOU,GINS,OORW
BDEKLU;EORV
BDEKNO;ALLR
BDEKNU;MMRU
BDEKOO;ACEF,CILT,IILS
BDEKOR;AAST,AHSU,ALLN,ELUV,GIRW
BDEKRU;ACLP,AGST,COTT,MMNU
BDEKSU;AGRT,GIOO,IKOR
BDELLO;AEPY,AGIS,AGIZ,ANSW,CCIK,DGGU,EFIU,EIPT,IINV,IMTU,ISSU,ITUU,OTUW
BDELLU;ABNR,ACEX,AEPS,AMRR,AORY,CEKN,DGGO,GGOR,OOTW,ORTY
BDELMO;AACR,AADH,ARST,DRRU,FTUU,MNUY,NTUW
BDELMU;DGIN
BDELNO;AAIT,AALN,AIIT,GGOO,IILV
BDELNS;ACHN
BDELNU;
BDELOO;AGOO,AHLY,CFTU,CIKT,EGGT,GGNO
BDELOR;
BDELOS;
BDELOT;CIKO,EGGO
BDELOU;
BDELOW;
BDELRU;EQSU
BDELRY;ILOW,LOOV
BDELSU;CIIP,CILY,EQRU
BDELTU;CDEI
BDEMMU;CNRU,DEIN,ERRU,KNRU
BDEMNU;AIRT,BCRU,CCEE,CCEY,CMRU,DEIM,EEES,GIIT,KMRU
BDEMOO;CDEI
BDEMOR;DLRU,EEPT
BDEMOS;ACGK,ACKS,BLMU
BDEMOT;ABIL,ADHU,AGLU,AHLL,CILU,DISU,EEPR,EHOS,FLUU,GHIU,HORS,IKOR,ILLU,LOOU
BDEMOW;AANS,ALOR,DILR,ILRS,LNTU
BDEMOY;
BDEMPU;ACHK
BDEMRU;KMNU
BDEMSU;ALPS
BDENNU;ABEL,ACHR,AEIL,AFIL,AILW,AILY,CEHL,EILV
BDENOR;
BDENOT;CIIO,EFRU,GGIO,GIIR,HRUX
BDENOU;HOOZ
BDENOW;AAMS,ALLS,ALSS
BDENOY;
BDENRU;EFFU,GGGI,KMMU
BDENSU;EEEM
BDENSY;EFIL
BDENTU;DEGU
BDEOOR;AABV,AGGH
BDEOOS;ANNN,CEHW,HNUU,NSUX
BDEOOT;CIIN,CIKL,EGGL,GGIN,IKMR,IRTW,LLUW,LMOU
BDEOOZ;ABLM,HNOU
BDEOPP;AARR,AART,ANRU,GINR
BDEOPR;AALN,ACDU,ACEI,AELL,AELN,ALLY,ALNY,CEIN,CILU,GINP
BDEORR;
BDEORS;
BDEORT;CEEJ
BDEORU;
BDEORW;AGHI,AHIT,GHHI,IOTT
BDEORY;ABLS,DFSU,FRSU,ILLW
BDEOSS;AHOT,ALOP,CELO,CHLV,DGIO,DHLO,HLLY,NNOT
BDEOSU;AHWY,BDIY,BISY,DIMT,EGIM,GIKO
BDEOSW;AAMN,CEHO,MNNO
BDEOTT;AENY,AOSU,CHIU,CRSU,EERV,IORW
BDEOUY;AHSW,BDIS,BISS,DFRS,FRRS,LMMN
BDEPRU;AAGL,ACDO,ACKL,AKNT,GOSU
BDERRU;AACT,ACIT,ACIZ,AFIT,AGGI,EMMU,NNTU
BDERSU;
BDERTU;AACR,AEEX
BDERUX;AEET,AELT,HNOT
BDESSU;AACM
BDESTU;EETW
BDESUU;AGJT,ALTX,HLOT,HNOO
BDESUW;ADIL,AHKL,EETT
BDETTU;CHIO,CORS,EESW
BDEUZZ;FLMU
BDFILO;ACGN,AEIM,AETT,ENRW
BDFIOR;EGOT,ELNW
BDGIIN;
BDGIIO;DFNR,DNTU,ENRR,ENRT,LNNN,NNNN,NNNU
BDGINO;
BDGINY;ABLL,AERT,EIRT
BDGMUU;
BDGOOY;
BDGORU;ACKN
BDHIIN;ACLR,AGIT,AIOT,EERZ,EGGT,EGHR,GLNT
BDHIOS;BIPR,CORW,EEMO
BDHIRY;ILRW,LOPY,MNOO
BDHNSU;EIOP,ELLO,EOTY
BDHNUU;EGOR
BDIILO;AEFM,AENT,AMNU,AMTY,CITY,ELNV,GNNN,NOPT
BDIIMR;ACET,AEFT,EETT,EHOO,GILN
BDIINS;AERT,CESU,EEFT,ELNO,IILT,ILOU
BDIITT;AEEL,AEUV,EEMR
BDIKNO;ACGL
BDILNS;ACOT,AIOO,AOOT,AORU,BGIR,CMOW,DFLO,DOUW,GHIT,GIIM,IIIT,IIOU,MORW,ORTY
BDILOO;INPT
BDILOY;AALR,CIIT,ELRW,EMSS,EMSZ,MOSS,NRST
BDILSU;AANQ,ANOR,BDOY,CEIP,CELY,COOS,DNOW,IINO
BDILUY;EILN
BDIMOR;
BDIMOS;AALN,ANNT,CLNW
BDIMOY;ACIN,AILT,ELSS,ELSZ,HNOR,LOSS
BDINNU;ACHR
BDINOS;AALM,ANNO,CCER,DFLL,EFRY,FIIR,HRRT,LRTY
BDINOU;AILM,AITT
BDINPU;AETZ,AGIR,GILU
BDIOOT;ANRU,CEIN,CEKL,EGGN,EKMR,ERTW,GLLU,ILNP
BDIOPS;AACR,ACLR,AELS,AFLR,BHIR,CERR
BDIOSV;AARU
BDIOTU;AINT,ANOR,CEHT,CELM,EGHM,ELLM,GLLO,MNRT
BDIRTU;AHNY,ANOO,MNOT
BDKLOO;CEIT
BDLLOY;AAIR,AEEP,AEHO,EIRW,EORV,ERTU,FTUU
BDLMUY;AERR,EMNO,INOR
BDLNOO;AMTT,CHTU,DEHR,EGGO,EIRU,HTTU,IIPT
BDLNOS;AAIM,ACIT,CIMW,DFIL,DIUW,IIIU,IMRW,IRTY
BDLOOS;ABHT,ACMR,ADMR,AMOR,AMRW,CDLO,DOOW,FLLU,FORU,MORW,OORT,ORTW
BDLOOY;AEHL,ELRV,EMSS,IMSS
BDLOUY;EMMN,FLTU,GINT,IMNR
BDMOSU;BELM,DFNU,EEGI,NORT
BDNOOS;ACIT,AENN,AIMU,AINN,AMNW,EHUU,EMNW,ENRW,MOOR,NRRY
BDNOOY;HIMR
BDNORS;DIMU,FIII,HIRT,ILTY,MOOO,NORY
BDNOSU;DFMU
BDNOTU;AIIT,CHLO,FLUU,HLOT,OOTW
BDNOUY;ELMM
BDNSTU;
BDNSUU;CIOT,DFMO
BDOORS;ABDY,ADLM,AFOT,ALMO,ARTY,CHIW,FLOU,IILT,LMOW,LOOT,LOTW,MNOO,NNRY
BDOORY;ARST,HIMN,KNNO
BDOOSS;AEHT,AELP,AHPR,CEEL,CILO,CILU,DEGI,DEHL,FIRT,HRUW,LLTU
BDORSU;AAAQ,AAIV,ALPP,CLTU,CPTU,CPTY,DIMN,FLOO
BDORWY;EILL
BDOSTU;CLRU,CPRU,CPRY
BEEEFL;AACF,CFIT,GINN
BEEEHP;ADNP
BEEEKL;
BEEELS;BBMU,BGGR,BHMU,CHRS,CQRU,ERSZ,HLOR
BEEELT;ACIN,ACPX,ACUX,AMNN,CFFI,KLLT,MNOU,NNOV
BEEEMS;BBLU,BHLU,IILV
BEEEMT;ALNN,ALPR,ANRT,FIOR,IRRT,LNOU,MNRU,NRTT
BEEENS;ACCL,ACIN,AKRV,ALRV,ALRW,ARSS,ASSS,BEIR,BIRR,CCPU,INSS,KNNR,LSSU,RRTU
BEEEPR;ADDI,DDOW,DMOT,KKOO,NNYZ
BEEEPW;DDOR
BEEERS;AACR,AALL,ACRR,ACRT,ADKT,ALNW,ANRT,ATUX,BEIN,BGGL,DGTU,DHIV,DNTU,HLLO,KNNN,NRTU
BEEERZ;FMRU,NNPY
BEEESS;AACH,ACCH,AFKT,AHLW,ANSS,CKLP,DHOU,DLNO,EJUZ,INNS
BEEESV;AGLT,CIRT,LMNT
BEEFIL;CDET,CEFT
BEEFLL;AERU,DIOU,EISS,IMRU,LORW
BEEFLY;AADR,APRR
BEEFOR;ACNT,ADHN,ADLM,BDIM,BIMR,CIPS,EIMT,IRTT,ISSU
BEEFRT;ACNO,ADEH,AIIU,AILL,CIIN,EIMO,GINT,IINR,IORT
BEEGIL;
BEEGIN;ALLY,GILL,IILL
BEEGIR;ADHT,AHOP,AHRS,ASTU,DORS,DORV,OOSU,ORSU
BEEGIS;AHRR,DMOU,DORR,FFRU,OORU,ORRU
BEEGIY;ALLN,ANRW
BEEGLS;BEGR,CLOU,DEUW,ENRT,GORW,OOVX
BEEGMS;ALNR,ANRW,DDIN,IIIN,NSTU
BEEGNO;AART,AIRT,CIIT,DHIR,IKNT
BEEGNR;HOOP,MOYY
BEEGNU;ADLW,ALPX
BEEGOR;AANT,AHIP,AINT,AMPR,GLOT,IMNW,MNYY
BEEGOS;CLLU,LOVX
BEEGRS;BEGL,HITY
BEEGRU;BEFR,EGRV
BEEGST;AELV,ELNR,FRUU,RRTU
BEEGUY;DGRR
BEEHIP;ALRS,MMRS
BEEHLT;ADEE,HMUW,ILOP,MMOU
BEEHNS;
BEEHOP;
BEEHOT;AILR,AINT,AKRR,AMRT,ILLP,LMMU
BEEHOV;ACLR
BEEHRT;
BEEHRY;ACDU,APRS,CKOR,EPRS
BEEHST;
BEEIKL;BRRU,CFGN,IMOZ,IMRT,NPRS
BEEILR;AMMO,BKRU,CEJT,CEPT,IKMT,IMOZ
BEEILS;CIPT,EIKW,ISTX,SSSU
BEEILV;AACH,AMMO,HOSS,HOSZ,INNT,INST
BEEIMR;BFOR,FLLU,IKLT,ILOZ
BEEIMT;ACLM,ALOZ,CHPU,IKLR,ILNR
BEEINW;ADLU,AGRY,BBIR,EGJL,ETTY,GLMO,GMOR,GORY
BEEIOT;ACLL,ADPR,AHLR,ALMT,ALMZ,ARTX,CKKP,FRRT,HLLP
BEEIRT;IKLM
BEEIRY;AGNW,CCMR,DMOR
BEEIST;
BEEISV;CDIR,CERT,CJOT,CJTU,DIOR,DORU,GILN,HLOS,HLOZ,ILNT,PRTU
BEEISX;AGNW,ALNP,ARRW,BORR,DNSU,ELNT,HIRT,ILST,LLOP,LRTU,NOSS
BEEIZZ;GLMN
BEEJLS;ALNO,ALNY,COST
BEEJMS;
BEEJNS;ACST,ALLO,ALLY,CORT
BEEJNU;
BEEKNS;AGIP,AHOR,AISS,ALNO,AOSX,ENNR,IIRR,ILPR,NORS
BEEKOR;ADDY,AHRT,CHRY,DLUV,EKOP,IKNR
BEEKRS;EEEP,ENNN,ILNP
BEEKRU;ACHT,CHIL
BEELLS;ACET,ACNU,ACSU,AETT,AJNO,AJNU,CGOU,EHOR,HNOY,KOOR
BEELMM;HOTU,MNTU
BEELMR;AACE,AAKR,AFOR,CELU,FILU,IIOZ
BEELMS;BBEU,BEHU,NOTY
BEELNS;EGRT,ERST,GIIV,GILV,GILW,HLOY,MORT,MOTY,OOTT
