AAAARR;CC,CJ,JK,PP
CEGORR;AE
CEGOSU;
CEGRSY;IL,IN,NO
CEHHST;EN,ET
CEHHSU;AI,AL,AR,CR,DE
CEHHTT;DE,ES
CEHIIK;
CEHIIN;AM,CZ,DO,GY,LN
CEHIKR;CE,EE,EF,IN,NU
CEHIKY;EL,TT
CEHILN;AA,AM,AP,CD,CR,DF,DR,FR,IN,PY
CEHILS;AL,AM,AR,KR,LR,MM,MY,OO,OR,RV
CEHILT;IM,IO,KP,OP
CEHIMO;AL,DF,DI,DT,IL,IP,NP,OT,TW
CEHIMR;CI
CEHIMS;FI,GN,LY,NY
CEHIMU;
CEHIMV;
CEHINP;AL,AM,AT,CK,ET,HY,LY,MT
CEHINR;CL,CU,DL,DN,FL,GU,KU,MU
CEHINS;BB,MY,NO,OO,OY
CEHINT;EP,ET,MP
CEHINV;AR,GY
CEHINX;ES
CEHINY;GI,GV,HP,LP,OS,OT
CEHINZ;
CEHIOR;AL,AP,LY,PP,PU
CEHIPR;OU
CEHIQU;ER
CEHIRR;EE,ER
CEHIRS;EE,EL,ES,FL,LL,LV
CEHIRT;BY,GU,WY
CEHIST;QU,SU
CEHISU;AH,BF,CK,EO,FT,GT,HT,OP
CEHISV;AF,AR,LR,OT
CEHISW;AR,DO,KR,OR,OS,SU
CEHITT;AB,AL,AM,AP,EN,LY
CEHKLO;AE,AV
CEHKLU;EF
CEHKNU;IR,PY
CEHKOR;AV
CEHKOS;AB,AE,AP,AS,AW,NU
CEHKOY;
CEHKST;AL
CEHKTV;DE,ER,ES
CEHLMS;AI,AT,IM,IY,KO,LO,OR
CEHLMU;IO,NO
CEHLNO;MU,NU
CEHLNP;ES,EU,GI,IO,IY,RU
CEHLOR;CI,DI,DO,IN,IY
CEHLOS;DI,DU,ES,EW,LM,LY,SU
CEHLOT;BE,II,IP
CEHLOU;AN,DS,IM,KS,LY,MN,NN,NT,SS,ST
CEHLPS;EN
CEHLPU;DE,EN,NR
CEHLQU;DE
CEHLSY;AR,AT,FS,IM,IT,MU,PP,QU,TU
CEHMMY;
CEHMNS;EN,ES,GI
CEHMOR;AG,AN,AT,AW,EN,ET
CEHMOS;AT,DF,KL,LL
CEHMOT;AB,AL,AR,AS,DI,ER,EY,IO,IR,IS,IW
CEHMSU;AR,CK
CEHMSY;AT,IL,LU
CEHMTU;
CEHNOO;DH,EL,HS,IS
CEHNOS;AP,DI,DR,EP,ER,HO,IN,IO,IP,IR,IY,OP,OR,RV,SZ
CEHNOT;AC,AN,AP,BP,PU
CEHNOU;AL,HR,IP,IR,LM,LN,LT,NN,NP,PT,RT
CEHNQU;DE,ER,ES
CEHNRT;DE,EN,ER,ES
CEHNRW;AS
CEHNST;
CEHNUU;
CEHOOS;DT,IK,IN,NT,UW
CEHOPS;EN
CEHOPT;AC,AE,AL,AN,BN,ET,HY,NU
CEHORS;DN,DW,GN,NV
CEHORT;AM,AT
CEHORU;AB,AF,BR,EF,HN,IN,IP
CEHORY;BO,BT,IL,LT,NV
CEHOSS;EI,EL,HT,IK,IP,IT,NZ
CEHOSU;EI,KL,OW
CEHOSW;AG,AK,BR,EL,IR,OU,RT
CEHOTU;AK,AT,CK,LN,NP,TZ
CEHPRU;IO
CEHPRY;DE,ER
CEHPST;DE,ES,KU,RU,SU
CEHPSY;AT,LP
CEHQTU;AA,AD,DE,DI
CEHQUY;LS
CEHRRY;EP
CEHRST;BU,CU,GU,KU,MU,NU,PU
CEHRSU;GG,GT,MT
CEHRTW;DE,ES,II,IS,IT,IY
CEHRTY;BI,BO,BU,CU,IW,LO
CEHSST;CO,EK,EN,EP,HO,IK,IM,IN,IO,IP,IR,IT,IW,NP
CEHSSU;AS,CL,MN,NS,SS
CEHSTU;AA,AG,AT,ET,FF,FI,FL,GI,GL,GR,LY,PR
CEHSTW;OR
CEHSTY;AI,AL,AM,AO,AP,EI,IL,LU,OT
CEHSWY;
CEHTTY;AH,AR,IK,IL,OS,RS
CEHTVY;
CEIIKR;HN,LM,LR,LS,MM,NZ
CEIIKS;QU
CEIILS;BM,DI,DP,GN,GO,IV,MN,NN,NO,NP,NS,OP,PP,PS,RU,RY,SS
CEIILT;CN,CU,DE,DO,GN,HM,HN,HO,HY,KR,LM,MN,MO,OR,OZ,TY
CEIILX;AN,PT
CEIIMR;CH,ET,HT,KL,KM,RT,TT
CEIINP;ET,NO,OR,OT,PR
CEIINR;AG,AL,AR,GL,GP,GR,PP
CEIINS;AL,EW,GL,GX,IV,IZ,LN
CEIINT;AA,AV,CL,CU,EF,EP,GL,GN,GV,GX,IM,LM,MO,NO,OP,OV
CEIIRR;AN,AT,BD,BK,CT,DE,FT,GN,KL,KT,MT,SU
CEIIST;AT,AU,AV,EH,FI,FY,GO,HT,JU,OT,OV,SS,VV
CEIISV;AR,AT,DE,DO,IL,IN,NO,OT,RT
CEIJNT;AH,DE,EG,EO,ER,OR
CEIJRU;AD,EV,NO
CEIJSU;
CEIKKR;LO
CEIKLM;AL,EU
CEIKLN;AB,BI,CG,CI,EG,EK,EN,EO,FG,GH,GK
CEIKLP;EI,HT
CEIKLR;AH,AY,DO,IR,KO,OW
CEIKLS;BO,OV
CEIKLT;BU,HP,LU,OU
CEIKLU;BE,BL,BT,DN,EM,LT,OT
CEIKMY;DE
CEIKNR;AR,DE,DI,HI,HU,IZ
CEIKNS;AP,CH,GN,GP,NU,PY,QU
CEIKNT;DU,GR
CEIKNW;DI,GR
CEIKOO;BL
CEIKOR;BL,DL,FL,KL,LM,LW,MS,SV
CEIKPR;
CEIKPT;DE,HL,MO
CEIKRR;AC,AE,AN,AV,BE,BI,EE,IL
CEIKRS;CO,OV
CEIKRT;GN
CEIKRW;GN,LO
CEIKRY;AL,DE,FL
CEIKTT;DE,IT,LR,RY
CEIKTW;
CEIKTY;HT,NO
CEILLM;FI,IT,OY
CEILLO;AG,AP,AT,AZ,FL,IP,MY,QU,TU
CEILMS;DM,DO,DY,EP,GP,HM,HY,IN,OP,OS,PR
CEILNO;AM,AR,CI,CR,DI,DK,DM,DU,FI,GM,GO,KR,OZ
CEILNP;DE,ER,EU,EX,HY,RY
CEILNS;GI,GL,GR,GY,IM,IN,IS,NY
CEILNT;AA,AC,AG,AL,AP,AR,CI,GI,IM
CEILNU;BR,IQ,KR,RV
CEILNY;AC,AD,AM,AS,BZ,CC,CU,DR,EN,HP,IM,NS,OP,PR
CEILOO;BK,CG,CM,GG,GN,MP,NZ,RR,RZ
CEILOP;AA,AB,AC,AF,AL,BI,GI,IL,IP
CEILOR;CH,CI,CN,EM,ER,EZ,FK,GG,HN,HY,KK,KM,KN,KW,OR,OZ
CEILOS;EZ,GI,KV,MU
CEILOT;BU,DI,EG,HI,IZ,KU,LU,VY
CEILPS;GM,IP
CEILPV;OR
CEILPY;AH,AL,AP,AT,AX,CE,ER,HN,HT,IT,NO,NR,OT
CEILQU;IN,IR,LO
CEILRS;FH,GG,GN,HL
CEILRT;DY,FI,IP,IV
CEILRU;BB,BC,BN,BP,CH,CU,GN,IP,IQ,MP,NV,PU
CEILSS;CY,IL,IN,LT,NT
CEILST;
CEILSU;AO,AV,BO
CEILSV;II,KO
CEILTU;AB,AM,BK,BO,KL,KO,LO,MU
CEIMMN;AP,GL,NO,OU
CEIMMO;AL,DT,DX,NN,NU,RT,RU
CEIMNO;HP,LP,MU,PY
CEIMNR;DE
CEIMNS;DE,EG,EP,ET,GH,GU,HU,HY,KT,SU
CEIMNU;AS,AT,CE,MO,SS
CEIMPU;AT,IT,LU
CEIMPY;EM,NO
CEIMRS;AA,AC,AG,AL,AM,BL,BO,MR,MY,OR,OW,OX,OY
CEIMRT;DI,EI,IR,IT,RU
CEIMRU;BR,CR,CV,DL,FL,RT
CEIMST;BO,DO,FO,NO,OO,OV,SY
CEIMSU;GN,KT,OQ
CEIMTY;AG,EO,HL,OR,SS
CEINNO;AG,AT,AZ,CG,DG,DU,EP,ET,GG,GR,GZ,KT,LT,NT,NU,RU,RW,TU
CEINNT;DE,DI,EE,EL,EO,ER,GI,GR,HR,IO,IR,KO,LO,NO,OU,OV
CEINOR;AL,AX,DE,EX,NW
CEINOS;FX,HO,HP,HY
CEINOT;BE,EJ,EN,EV,GV,IN,IV,NN,NU,NV
CEINOV;AD,AT,BX,CE,EL,ET,GT
CEINOX;AM,AR,BV,DF,EG,ER,FS,GY,IS,SS
CEINPR;CT,IP
CEINPT;CR,HM
CEINQU;AP,ER,IL
CEINRS;BU,RU
CEINRT;DU,GK,GN,GU,LU
CEINRW;NO
CEINST;TX
CEINSU;BR,ER,KN,KR,MR,OR,OV,RR,RV
CEINSW;EI,LP
CEINTY;CO,DI,HO,KO
CEINWY;
CEIOOR;CN,CT,GN,LR,LZ,NR
CEIOOT;AP,CR,CX,CZ,DR,HM,UV,XX
CEIOPR;AA,AC,AH,BR,CU,FI,HU,RU
CEIOPS;AD,AN,AS,BO,DI,IN
CEIOPT;IT
CEIOPW;AV
CEIORR;AL,BP,DT,DV,EJ,EL,LO,TW
CEIORS;EJ,EX,FF,FI,GG,IM,KM,MX,MY
CEIORT;FY,RU
CEIORU;CP,FF,HP,HT,MM,PT,TT
CEIORV;AL,HR,LP
CEIORW;GN,KL,NN
CEIORX;AN,EG,EN,ES,EZ,MP,MS,SS
CEIORZ;AL,EL,EX,GN,HM,LO,MP
CEIOSS;AF,AP,BO,EH,HK,HM,HP,HW,KY
CEIOST;BB,BM,CM,FG,FM,GI,IM
CEIOSV;AL,DE,DI,EH,KL
CEIOSZ;AL,DK,DN,EH,EL,GN,IN,MO,NS
CEIOTX;CO,CY,OX
CEIOTZ;AM,CO,IL,NO
CEIOZZ;
CEIPPR;
CEIPPT;DI,ER,EU,NO
CEIPRR;BO,LP,OU
CEIPRS;
CEIPRT;CN
CEIPRY;AF,EL
CEIPSS;AA,AD,AI,AM,AN,AO,AU,AZ,DU,HO,IM,IN,OU
CEIPST;LU,QU
CEIPSY;AN,DN,KN,NT,OP
CEIPTY;AL,CO,DO,HL,IL,LO
CEIQRU;EH,EN,IL,IT
CEIRRS;CL,DE,EN,ES,ET,EV,EW,MM,TT
CEIRRU;AQ,AZ,BM,CF,CM,MM,MP
CEIRSS;AD,AH,AT,CH,GH,HM,HT,MT,TT
CEIRST;SV
CEIRSU;FF,GN
CEIRSV;IT
CEIRSZ;EG
CEIRTU;AC,AM,AN,AV,CI,CN,DI,DN,DO,FV,GH,GN,HN,HO,IN,IQ,NO
CEIRTW;HI,HT,HY
CEIRUV;AL,AT,CM,DI,EJ,FT
CEIRUZ;AR,OR
CEIRVX;ES
CEISST;ES,HM,HR,HT,HW,IM,IR,IS,LL,MR,MY,RT,RV
CEISSU;AP,DI,DP,EQ
CEISSY;AN,CL,KO,MT,NT
CEISTU;AG,AI,AM,AQ,AX,BB,DK,FH,GH,GK,HH,HQ,KM,KQ,KY,PP,PQ
CEISTV;DR,EE,ER,IR,IV,RS,RU
CEIUZZ;
CEJKOY;DE
CEJNOU;IV
CEJOOS;LY,ST
CEKKOP;
CEKKSY;
CEKLMU;AP,DO,EI
CEKLNO;BT,EI,IR,LR
CEKLNU;AT,BL,BU,EP
CEKLOR;DE,DI,DM,DY,FI,FO,IK,IM,IN,IW,LN,OV
CEKLOS;AB,AG,BI,BL,DI,DW,FL,IV,LP,LS,OS,SS
CEKLOT;AI,BN,IU
CEKLPU;AB,AM,EN
CEKLRS;EF,EH,ES
CEKLRU;FW
CEKLSU;AQ,KN
CEKMOR;DE,DL,IL,IN
CEKMRU;AK,DE
CEKNOR;AC,BE,LL,OV
CEKNOT;AB,BL
CEKNSS;AA,AL,AP,AR,EL,LO
CEKNSU;BE,ER,IQ,IR,KL,LR,OT,RT
CEKOOR;AJ,AT,AW,BU,FL,LV,NV,OV
CEKOOY;
CEKOPT;DE,ER,IM
CEKORR;DE,ET
CEKORS;AG,AW,BU,IV
CEKORT;AO,EP,ER,RY
CEKOST;AA,AG,BY,ET
CEKPRU;AN,DE,ER,NU
CEKPRY;
CEKPSS;AL,AN,AY,EI,EL,IT
CEKPSY;AS,DO,FL,IN
CEKRST;EH
CEKRSU;CO,EN
CEKRSW;ER,NY,OT
CEKRTU;AG,MN,NO
CEKRUY;AQ
CEKSTU;DI,GI,IL,IM,IQ,IY,LM,NO
CEKTTU;
CELLOS;BK,BW,FK,HK,HM,KP,KS,NO
CELLOT;BE,DE,DU,ER,IU
CELLOU;AT,CF,EN,GO,HY,IN,IQ,IT,OQ
CELLRU;AB,AL,AN,BW,DO,EP,IT
CELLSU;AH,AM,EE,EL,EP,HM,HP,NU
CELLTU;AO,DO,DY,IK,IO,IR,NU,NY
CELMNU;AO,AR,DO,HO,OY,TU
CELMOO;CI,IP,OT,PY
CELMOP;AT,CT,ET,OY
CELMOR;DK,EI,EW,IK,IP,NO
CELMOS;AI,AL,AT,AU,DI,HK,HL,IS,IU,KN,LU,UU,YY
CELMOY;AR,DI,IL,NT,NU,OP,OS,PS,SY
CELMSU;LO,OP,PR,PT
CELMUY;IM,NO
CELNNU;
CELNOO;AP,AT,EH,IZ,VV
CELNOR;CI,EF,ET,EU,HI,IK,IP,KL,PT,TW,WY
CELNOS;BW,CY,DS,DY,VY
CELNOU;AH,AM,EL,EP,ER,HM,IL,MY,OR,PU,PY
CELNOV;AC,AR,AT,AY,EI,NU,OV,SU,SY,XY
CELNRU;BI,DU,FU,GI,IV,OO
CELNSU;CE,DY,EF,ET,FT,KK
CELNTU;AA,AE,AK,EP,ES,LU,LY,MU,PU
CELNUU;AB,BK,DL,DR,FR,LT,MT,OP,PT
CELNUW;AD,DE,DO
CELOOR;AV,BE,FK,IZ,KV,OV,TW,VY
CELOOS;AU,CF,JY,KS,PS
CELOOT;AB,AC,AH,AN,DT,GY,MO,NR,RW
CELOPP;AU,II
CELOPU;EN,NU,NY
CELOQU;IL,LO
CELORS;GG
CELORT;NO,NP,NW,OW,VY
CELORU;BV,EN,FF,NO
CELORV;AA,AD,AI,AK,AL,AN,AO,BU,DE,DI,DO,ET,IP,KO,OO
CELOSS;BM,CY,DN,GY,HO,KL,KN,KO,KS,LY,NO,OP
CELOST;EM,EN,EU,EV,NU,PU,TU
CELOSU;AA,AI,AM,AO,AT,HK,HT,IM,MU,OT,TT
CELOSV;ET,IK,NY
CELOSX;AI,IN
CELOSY;CN,CP,CS,DN,JO,MO,MP,MY,NV
CELOSZ;AI,AN,EI
CELOTY;EP,FP,GN,GO,HR,IP,IR,IV,MN,NN,RV
CELOUV;BR,FI,NN
CELPRU;AI,BI,DU,HN,II,IU
CELPSU;EL,MT
CELPSY;CO,EE,FK,HP,MO
CELPTY;EO,FO,HI,II,IO
CELPUU;DR,IM,IR,NO,NT
CELRRU;KT
CELRSU;FF
CELRSY;AD,AH,DU,EU,HN,LU,PU
CELRTU;AC,AF,AH,MP
CELRUU;AF,AQ,CI,CY,DN,DP,FN,IP,OS
CELRUV;AI,BO,DY,IN
CELRUW;BL,FK
CELSTU;CH,EN,EO,FH,FN,GH,HO,HS,HY,KM,MP,MU,NO,OO,OP,SU
CELSTY;EL,HI,HN,HU
CELTTU;AB
CELTUY;DL,HS,LN
CEMMOR;IT,IU,NO,NU,TU
CEMMRU;NO,OT
CEMNNO;AA,AE,GO,OW
CEMNOO;AF,AK,AR,CI,DM,DW,GN,IN,IT,MR,NW,RR
CEMNOS;DM,DN,DP,MT,NT,PR
CEMNOW;DO,NO
CEMNPU;
CEMNRU;AL,AO,AY,MO
CEMNTU;AI,DH,DO,EM,LU
CEMOOS;AR,AT,ER,IT,IZ,MT,MV,RY,SS,TU,TY
CEMOPR;
CEMOPT;AL,CL,NT
CEMOPU;
CEMORR;AD,AL,AN,AP,AT,AV,EN,NO
CEMORS;EO,FY,II,IN,IT,IW,IX,IY,NU,OY,TU
CEMOST;BI,CI,DI,EL,FI,HI,II,IN,IO,IR,IV,KN,LR,MN,MO,NN,OY
CEMOSU;DR,IL,IQ,LL,LU
CEMOSY;AR,FR,IR,KN,LO,LP,LY,OP,OR,OT,TU
CEMRTU;AI,EL,IR,MO
CEMTTU;AI
CENNOO;AJ,IM,MW
CENNOR;AD,AG,DE,EG,ET,EU,EV,FI,GI,II,IM,IU,IV,IW,RT,TU
CENNOS;CE,DE,DM,EU,EV,HU,LU
CENNOT;EI,EL,ER,II,IK,IL,IN,IU,LY,RR,RU
CENNRU;EO,IO,OT
CENOOP;AL,GI,IR,NR
CENOOR;CI,CO,GI,IP,KV,MM,VY
CENOOS;ET,EZ,HH,HI,HT,IT,KV
CENOPR;AD,AH,AT,LT,NO
CENOPS;AH,AI,AT,CT,DM,EH,ET,HI,II,IL,IT,KT
CENOPU;EI,EL,HI,HN,LU,LY
CENOPY;EL,GI,IL,IM,LU
CENORR;AB,AC,AD,AH,AM,AY,DE,EF,EM,JU,NT,TU
CENORS;CW,HV
CENORT;DE,EG,EL,EN,LP,NR
CENORU;AM,AY,HH,LO,MM
CENOSS;EL,GT,HZ,KL,LU,MU,NT,PU,TT,TU
CENOST;CJ,CP,MM
CENOSU;AC,CD,DI,EN,IV
CENOSV;AC,AS,EN,ER,EX,HR,KO,LU,OR,RU
CENOSY;CK,CL,GR,HI,IT,JK,KM,RU
CENOSZ;AB,AL,AN,DI,EO,ER,GI,HS,II,IS
CENOTU;AA,AQ,AT,IN,IX
CENOTV;EI,GI,II
CENOVX;BI,DE,ES,LY
CENOVY;AL,DE,DO,ER,HR,LX,OR
CENPSU;ES,SS,TX
CENRSY;GI,GO,HL,IK,IP,KW,OP,OU,PT
CENRTY;CO,EL
CENRUY;AM,AO,CR,OS
CENSST;DE,EE,EH,EU,GO,HP,HU,NO,OR,OT,OU,RU
CENSSU;DE,EP,ER,ES,ET,FO,HM,HS,HT,JU,LM,LO,MO,NR,OP,OR,OT,PS,RT,RU,RW
CENSTY;AA,AL,AR,DE,PR
CENSUU;DK,DM,JS
CENTUU;DK,DR,JR,LL,LM,LP,PR
CEOOPR;DE,EH,NN,RV
CEOORS;AD,AM,CU,DR,DU,EM,MY
CEOORT;AF,AK,AT,AV,BD,BJ,CI,DD,DI,RT
CEOORV;AL,AT,BM,EM,KL,KN,KO,LO,NN,PR,RW
CEOOSY;JL,LM,MP,MR
CEOOSZ;EN,HM,IM
CEOOTY;EM,GL,GN,MN
CEOPPR;AA
CEOPRS;AL,AX
CEOPRT;AA,AL,AN,AU,EF,EK,EX,EY,LN
CEOPRU;AT,CI,CY,HI,IT,MT
CEOPRY;AD,AG,CU,ET,NS
CEOPSS;ET,HI,IT,IU,LO,LU,MO,NO,NU,NY
CEOPSU;AO,AT
CEOPTY;AL,CI,DI,FL,HH,IL
CEOQTU;AE,AN,ET
CEORRS;CH,LL,LO
CEORRT;DI,IM,IN,IW,NN,OT
CEORRW;AV,BY,IT,KO,OV
CEORRZ;
CEORSS;
CEORST;CE,CW,DE,EG,EJ,EW,EX,FF
CEORSU;CK,CO
CEORSV;AB,HN,HU,NU,PU,SU
CEORSW;BH,CN,CT,ET,HT,KT,NT,PT,PU
CEORSY;AM,DE,DI,FM,GN,IM,IV,MO,NP,NU,TU
CEORSZ;EN
CEORTT;AG,AH,AO,AR,CH,DE,EV,OR
CEORTU;EX,IP,IT,MM,MP
CEORTV;LY
CEORTX;
CEOSSS;AC,AE,AN,EM,HO,KL,MO
CEOSST;AA,AN,AU,CH,CU,DE,DU,EP,GN,HH,JO,MU,NN,NT,NU,TU
CEOSSU;NP,NT,TT
CEOSSW;
CEOSSY;CL,EK,GL,IK,LL
CEOSTT;CO,DE,EK,HY
CEOSTV;DO,EL,OU
CEOSTY;AH,BK,HT,MU,RR,RU
CEOSVY;IR
CEOSYZ;
CEOSZZ;
CEOTTT;
CEOTTU;AD,AH,AN,EQ,HZ,IR
CEPPRU;HN,TU
CEPRSU;UV
CEPRSY;LU,NO
CEPRTU;NU,PU
CEPSST;EH,EO,ER,HN,OR
CEPSTU;DL,HK,IL,IP,IQ,LM,LO,MO,NO,NX
CERRSU;KT,NT
CERRSY;
CERRTU;EL,EZ
CERSST;HI,HY,II,IK,IM,IN,IP,IT,IV,LY
CERSSU;BL,BM,DD,DL,FF,LL,MM,NN,NU,NW,UX
CERSSW;EL,ER,ET,NU,PU
CERSSY;HT,TU
CERSTU;CH,CW,GH
CERSUV;AR,DE,ER,HO,NO,OP,OS,PU
CERSUX;AT,SU
CERSUZ;
CERSWY;AA,KN
CERTTU;
CERTUV;DE,FI
CERUVY;DL
CESSSU;AH,BT,DH,EN,ET,HN,HS,KL,LM,NP,PT
CESSTU;CO,DL,DO,EM,EN,ES,FF,LT,LU,MO,NO,OS,OT
CESTTU;BH,EH,EN,EV,HN
CESTUY;HL,HN,IK,MO
CESUZZ;
CFFHSU;ET
CFFHUY;
CFFILS;AA,AT
CFFILY;
CFFINO;DE,NU
CFFINU;AL,KL,NO
CFFLOS;AD,AW
CFFNUU;DE
CFFOSS;AT,ER,MU
CFFOTU;
CFFRSU;
CFFSSU;EI,EL,ET,MO
CFGINU;AH,OS
CFHILN;AO,DE,EG,ER,ES,GI
CFHILT;DE,ER,ES,PY
CFHIRT;DE,EL
CFHISU;BE,ET,KS,MS
CFHITY;LP
CFHLSY;ES
CFHOOS;
CFIILM;EL,NU
CFIINS;LT,MO,OT
CFIINU;LM,LU
CFIIST;AF,AL,AP,AS,DE,EI,EL,EY,LN,LU,NO
CFIITY;AL,DE,EL,ES
CFIKLS;AN,TU
CFIKLY;ER,OR
CFILOR;AN,AT,BE,BY,EK,IP,KY,MO
CFILST;AF,AI,AU,EH,EI,EK,EN,IN,IU,KU
CFILTY;AI,AR,EI,HP
CFIMOR;BI,BU,IP,IT,LO
CFIMOT;
CFINOT;CE,CL,EH,EL,ER,ET,GR,NU
CFINOX;DE,ES
CFIORT;AL,AN,BI,EN,EY,GN,IM,IN
CFIRTU;AY,EV,FY
CFISTU;AL,AO,EH,IL,KL,KP,KW
CFITYY;
CFKLOS;AR,AT,EL,ET,LU
CFKLOY;IR
CFKORS;AL,DE,DI,HI,NU
CFKPUU;
CFLPUU;HO
CFORST;EF,EO,ER,EU,HU,MO,NU
CFOSTU;AE,AI,EN,ER,HR,KT,NR
CFOSUU;
CFRSSU;AE,EO
CFRSTU;EO,HO,NO,UU
CFRSUY;
CFSSTU;EF
CGGLOY;EN,IL
CGGORY;
CGHHOU;CI
CGHIIN;BB,EY,FL,HL,KO,LL,PP,QU,ZZ
CGHILT;AA,AE,AN,EN,ES,IN,NO
CGHINR;EE,EP,ES,ET
CGHINS;DI,IM,IN,IT,NY,PY,TY
CGHIOT;BN,HN,KN,LN,NN,NP,NR,NU
CGHLNU;AI,DE,ES,GI,IK,IM,IN,IR
CGHLOU;
CGHLTU;DE,ES
CGHOOS;IN,NO,NU,RT
CGHORU;AA,AS,IN
CGHOSU;IN,NO
CGHRTU;
CGIILT;EN,HN,IN,KN,OS,RU
CGIINO;BE,EP,ES,HK,KY,OS,PT,ST
CGIINR;AA,AE,BB,BS,CL,EL,ER,SU,SV
CGIINS;AN,BR,EO,EX,GR,HM,HN,HT,IN,MU,NO,NU,NW,OO,OT,OV,RU,RV
CGIINT;AG,AM,EL,EN,EV,EX,IL,IN,NO,NT,OP,OS
CGIINV;AE,AL,AN,EN,ET,RS
CGIKNO;
CGILNS;EL,ER,EU,KU,LU,MU,PU,RU
CGILNU;BB,CI,CO,DD,DO,FF,GH,IQ,IS,OP,OT,PS,TT
CGILNY;HN,LU,RY
CGILOS;CU,DH,EI,IL,IM,IT,RW
CGILPU;EN,KN,MN,NO
CGIMNO;IN
CGIMNY;AS,EO,EU
CGINNO;AE,AG,BU,CE,EG,EZ,JU,MO,TU
CGINOO;EE,EG,ER,EY,EZ,FH,NR,TV
CGINOP;AH,AT,EI,ER,HT,IL,IT
CGINOR;GG,LO,PP
CGINOS;FF,GG
CGINOT;BH,CW,ER,EV,FR,HH,HN,HP,HR,HU,IN,IP,IR,MP,NU,OP,OV,RU
CGINOV;ER,ET,HU,OT
CGINOW;CT
CGINOX;EE,EY
CGINOY;AC,AE,DE,EM,EO,EX
CGINOZ;
CGINRU;AC,AN,MP
CGINRY;AL,AN,AR,LY,RU
CGIOOT;LO,NP,NV
CGIORS;AM,AO,AT,AU,EG,LW
CGLLOY;CI,ER,GI,IN
CGLLYY;ER
CGLNOU;AG,AJ,AR,CI,DI,IP,IR,IT
CGLOOS;EN,IN
CGLOOU;EL,IR
CGNOOS;AT,DO,HO
CGNOOU;DT
CGNSUY;OR
CGOOSS;ER
CGORSS;AE,AW,EN,EO,EU,IN
CGOSSU;EL,ER
CHHISS;CL
CHHIST;IK,IP
CHHITY;AN,CI,IL,MR
CHHNOO;DE
CHHOOS;KP
CHHOOT;ES,PT
CHHOSU;NR
CHIIKM;
CHIILL;ER,GN,LY
CHIILS;CD,DH,MY,QU
CHIILT;AP,DW,EM
CHIIMR;AA,CE,DE,ET,GN,OZ,PU
CHIINS;DG,GM,GN,KN,NP
CHIINT;IR
CHIIPP;GN,RU
CHIIRZ;ES,MO
CHIKNS;AA,AG,AK,AR,CE,EI,ET,EW,GO,GU,IN,OO
CHIKNT;AA,AG,GI,GO,MU
CHIKNY;LU
CHIKOR;
CHIKOS;BL,BU,BY,GN,LL,NO
CHIKOT;AD,GN,PY
CHIKRS;IT
CHIKST;HI,IL,IR
CHIKTY;ET,OP
CHILLS;ER,ET,KO,MU
CHILLY;IL,KO
CHILMO;EI,EU,PS,SU
CHILNU;AG,BY,CN,CY,GG,GK,GM,GN,GR,KY,PY
CHILOR;EY
CHILOS;EN,KL,MP,MU,NW,YY
CHILPY;AE,AT,EN,ET,FT,IR,IT,NN,NU,OP
CHILRS;EE,EF,EK,EL,EP,EU,EV,HU
CHILRY;EE,EO,IP
CHILST;
CHIMNY;OS,OU
CHIMOR;AN,GN,IZ,NO,NW,OU
CHIMOS;DU,FS,LP,LU,NU,NY,TU
CHIMPS;AS,AT,GY,HU,LO,LU,SY
CHIMRS;
CHIMSS;EE,EM,EO,ET,FO,FU,PY,TY
CHIMST;BU,OR,OU
CHIMTY;AL,AR,AU,EL,HR
CHINOP;GM,GO,GP,GT,GU,KN,OT
CHINOS;AL,AM,AY,DE,EL,EN,EO,EY,FF,KO,LO,LW,MY
CHINOT;AR,AZ,BG,CH,GH,GK,GL,GN,GP,GR,GU,OP,OR,PY,RU
CHINPY;EH,EL,LN,LU
CHINRU;BE,CE,EK,EM,EO,EP,ET,OT
CHINST;TU
CHINTZ;AO,ES,OS
CHIOPR;AE,AL,AN,DW,DY,EN,EP,ES,EU
CHIOPT;GN,KY,LO,NO,NY,OP,OY,TU
CHIORS;AC,AS,BP,IS,SS
CHIORT;BR,CI,DI,DO,DR,GN,IN,NO,NU,OT
CHIORW;DP,MN
CHIOSW;DE,ES,GN,LN
CHIOSY;AN,BK,DP,EN,LO,LY,MN,NP,NU,PT
CHIOSZ;DI,EE,NT,OR
CHIPPY;LO
CHIPRS;AA,AG,AI,BO,OO,OT,RU,RY
CHIPRY;DO,IL,TT
CHIPSY;DO,DT,GM,KY,OT,RR
CHIPTY;AL,EL,FL,IL,KO,NO,OO,OS,RT,SS
CHIQTU;AG,DE
CHIRRS;AA,AT,PY
CHIRST;AA,AI,AM,AR,AT,AU,IK,IT
CHIRSU;AI,AQ,AT,BD,HL,OO
CHISST;DI,EM,EN,EP,ER,ET,EW,MY,PY
CHISTT;IR,LO
CHISTU;AP,AR,BM,EF,EG,EH,MO
CHISTW;AP
CHISYZ;
CHITTW;DE,ER,ES
CHITTY;AL,AS,EK,EL,PR
CHITWY;ER
CHIVVY;
CHKLOO;ES
CHKLOS;BI,IL,IR,OO
CHKMOS;AM,AR,EI,EL,MO,MU
CHKMSU;MO
CHKNSU;GI,NU,OR
CHKNUY;EP,IL
