AABB;D,G,K,S,Y
BOUZ;S
BOXY;T
BPRU;S
BPSU;A,E,I,M,R
BPUY;E,M,P
BRRR;
BRRU;O,S,Y
BRSU;A,B,C,D,E,G,H,K,L,N,P,R,T,U
BRTU;A,E,I,L,N,O,S
BRUX;E
BRUY;B,E,G,L,R
BSSU;A,E,K,L,N,T,U
BSTU;A,E,H,I,N,O,R,S,T,Y
BSUY;B,F,H,K,O,T
BTTU;A,E,S,U,Y
BUZZ;A,Y
CCEE;R
CCEO;B,D,R,S
CCHI;A,H,K,N,O,S
CCHO;A,I,K,N,O,S,U
CCKO;A,H,L,R,S,Y
CCOO;A,C,H,S,Z
CCOR;E,I,K,S,U
CCOY;A,K,L
CDEE;A,D,H,I,R,S,U
CDEI;A,B,D,E,H,L,M,R,S,T,V,Y
CDEK;A,O,R,S
CDEO;C,D,H,K,L,N,O,P,R,S,T,U,V,W,X,Y,Z
CDER;A,E,I,K,O,S,U,Y
CDEU;B,E,L,N,O,R,S,T
CDHI;E,L,T
CDIK;S,Y
CDIO;I,L,M,R,S,T
CDIS;A,E,I,K,O,S,T,U
CDIT;A,E,H,O,S,Y
CDIU;L,M,P,S
CDKO;E,S
CDKU;S,Y
CDLO;A,E,I,S,U
CDNO;E,O,Y
CDOO;E,N,S
CDOR;A,E,H,I,S,U,W
CDOS;A,E,I,K,L,O,R,U,Y
CDOU;E,L,R,S
CDRU;E,O,S,Y
CDSU;A,E,I,K,O,R,S,T
CDTU;A,E,H,S
CEEH;B,D,K,L,N,P,R,S
CEEP;A,E,H,I,K,L,N,R,S
CEER;B,C,D,G,H,K,L,M,N,P,S,T,W
CEES;A,D,F,H,N,P,R,S,T,X,Y
CEET;J,L,N,R,S
CEEX;B,L,S
CEFH;A,I,L,S,T
CEFI;H,S,T
CEFK;L,S
CEFL;A,H,K,S,T
CEFY;S
CEGK;O,S
CEGL;A,S
CEHH;N,T,U
CEHK;A,C,E,N,O,S,T
CEHL;A,B,E,F,I,O,P,T,U,W,Y
CEHM;A,I,O,R,S,Y
CEHO;B,D,K,L,M,N,O,P,R,S,W
CEHP;A,E,L,O,R,S
CEHR;A,E,M,O,P,T,U
CEHS;A,E,F,I,K,M,O,P,S,T,U,W,Y
CEHT;A,F,H,I,K,L,N,R,S,U,V,W,Y
CEHW;L,N,O,S,T,Y
CEHY;C,L,M,S,T,V,W,Y
CEHZ;
CEIL;A,D,H,I,K,L,M,N,O,P,R,S,T
CEIM;A,D,H,L,N,R,S,T,X
CEIN;A,E,G,H,L,M,R,S,U,W,X,Y
CEIP;B,E,L,R,S
CEIR;A,C,D,G,I,K,L,M,N,P,R,S,T,U,X,Y
CEIS;A,B,D,F,H,L,M,N,O,P,R,S,T,V
CEIT;D,F,H,L,M,R,S,U,V,W
CEIV;A,D,H,I,O,S,T
CEIW;N,T
CEKK;S
CEKM;S
CEKN;H,S
CEKO;D,G,H,L,R,S
CEKP;E,S,Y
CEKR;A,D,E,I,L,O,S,T,W
CEKU;S
CELL;A,I,O,S
CELM;A,I,O,S
CELO;B,D,H,I,K,L,M,N,R,S,T,U,V,Y,Z
CELS;A,F,G,I,L,M,O,T,U,W
CELT;A,E,F,H,I,O,P,S,U,Y
CELU;D,H,N,O,P,R,S,T,X,Y
CELW;H,S
CEMO;A,B,H,L,R,S,T
CEMR;A,E,H,I,O,S,Y
CEMY;A,H,R,S
CENO;A,B,D,G,H,L,N,P,R,S,T,U,V,Y,Z
CENS;A,D,E,I,K,O,T,U
CENT;A,E,H,O,S,U
CENU;B,D,I,L,O,P,S,T
CEOP;D,H,N,R,S,U
CEOR;A,B,C,D,F,H,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
CEOS;C,D,H,I,K,L,M,N,P,R,S,T,U,V,W,X,Y,Z
CEOT;A,D,L,M,N,R,S,T,V
CEOV;D,I,L,N,R,S,T,Y
CEOZ;D,I,L,N,O,R,S,Y
CEPR;A,E,H,I,O,S,T,U,Y
CEPS;A,E,H,I,K,O,R,S,T,U
CEPU;L,N,O,R,S
CERS;A,D,E,I,K,M,O,P,S,T,U,W
CERT;A,E,H,I,K,O,P,S,U,Y
CERU;B,D,H,I,L,O,P,R,S,T,V
CERW;E,K,O,S
CESS;A,E,H,I,O,P,R,T,U,Y
CEST;A,E,H,I,L,N,O,P,R,S,U,Y
CESU;A,B,C,D,H,K,L,N,O,P,R,S,T,Z
CESY;E,F,H,M,O,S,T
CETU;A,D,H,I,L,N,R,S,Y
CETY;H,L,R,S,U
CFFO;L,S,U
CFFU;H,O,S
CFIL;A,F,H,K,O,S,T
CFIO;L,S
CFIS;A,E,L,O,S,U
CFIU;H,S
CFKU;S
CFLO;A,F,I,K,S
CFNO;S
CFOO;H,S
CFOR;E,K,T
CFOT;R
CFRU;A,S,T
CFSU;F,I,K,O,R,T,U
CGHO;N,O,S,T,U
CGHU;A,L,O,S
CGIS;
CGKU;S,Y
CGLO;I,O,S
CGOR;A,I,S
CGOS;H,L,O,R,S,U
CGSU;H,K,O,S
CHIK;A,C,N,O,R,S,T
CHIL;A,D,E,F,H,I,L,M,N,O,P,R,T,Y,Z
CHIM;A,B,E,L,O,P,R,S,T,U
CHIN;A,C,E,F,G,K,L,O,P,S,T,W
CHIP;L,M,N,R,S,T
CHIR;A,B,K,L,M,O,P,R,T,U
CHIS;A,B,C,E,H,K,M,N,P,T,U,V
CHIT;A,B,D,E,F,G,H,K,L,M,N,P,R,S,T,W,Y
CHIU;F,M,Q,R,S
CHIV;E,S,Y
CHIW;H,N,T
CHIZ;L,Z
CHKO;C,E,I,O,S,T,W,Y
CHKU;C,N,S,T
CHLO;A,E,I,O,S,T
CHLY;E,I,N
CHMO;A,E,I,O,P,S,U,Y
CHMU;I,L,N,O,P,S,T
CHNO;A,C,E,G,I,O,S,T
CHOO;A,C,E,F,G,H,K,L,M,N,P,S
CHOP;A,E,M,O,R,S,T,U
CHOR;A,B,D,E,I,P,T,Y
CHOS;A,C,E,G,K,L,M,N,O,P,T,U,W
CHOT;A,B,D,G,H,K,L,N,P,R,S,T,U
CHOU;C,G,M,P,S,T,V,X
CHOW;A,E,K,S
CHRU;C,E,I,L,N,R,S
CHSU;A,B,E,G,I,K,L,M,O,R,T,Y
CHTU;B,C,D,E,H,K,M,O,S
CHUY;C,D,S
CHWY;E
CIKK;A,L,S,Y
CIKL;C,E,F,K,N,S
CIKM;S,Y
CIKN;H,L,S
CIKP;R,S,Y
CIKR;B,C,E,H,P,S,T,W
CIKS;A,D,H,K,L,M,N,O,P,R,S,T,W,Y
CIKT;H,R,S,Y
CIKW;R,S,Y
CIKY;D,K,M,O,P,S,T,W
CILL;A,E,H,S
CILO;B,C,D,E,F,G,H,N,R,S,T,U,W
CILP;A,E,H,S,T,U
CILR;E,H,O,S,U,Y
CILT;A,E,F,H,I,N,O,P,S,U,Y
CIMO;B,C,D,G,H,N,R,S,X
CIMR;A,E,H,O,P,S
CIMS;A,E,H,K,L,O,R,U
CINO;A,C,G,H,I,L,M,N,R,S,T,V,Y,Z
CINQ;S
CINU;A,E,G,M,R,S,T
CINZ;O,S,Y
CIOR;A,B,C,D,G,H,L,M,N,R,S,T,U
CIOT;A,D,L,N,P,R,S,X
CIOX;B,M,T
CIOZ;A,E,N
CIPR;A,E,H,K,M,S,Y
CIPS;A,E,H,K,L,O,R,S,Y
CIPY;C,K,R,S,T
CIRS;A,B,C,E,K,L,M,O,P,T,U
CIRT;A,E,H,K,O,S
CIRU;A,E,H,L,N,O,S
CIRY;E,L,P
CISS;A,D,E,F,K,P,T,Y
CIST;D,E,H,K,L,O,R,S,U
CITU;B,E,L,N,S
CITY;D,H,K,L,P
CJKO;O,S,Y
CJOO;K,S
CJOU;N,S
CKLO;A,B,C,E,F,N,S
CKLU;A,C,N,P,S,Y
CKMO;S
CKMU;A,S,Y
CKNO;K,L,R,S,Y
CKOO;H,J,R,S,Y
CKOP;S,Y
CKOR;A,B,C,E,F,N,O,S,T,Y
CKOS;B,C,D,E,H,I,J,L,M,N,O,P,R,S,T,W,Y
CKOT;H,R,S,Y
CKOW;A,H,S
CKOY;C,H,I,J,N,O,P,R,S,T,U
CKPU;A,L,S
CKRU;C,N,S,T
CKSU;A,B,D,E,F,G,H,L,M,N,P,R,S,T,Y
CKTU;H,R,S
CKUY;D,G,L,M,O,S,Y
CLLO;A,E,S,Y
CLLU;S,Y
CLMU;H,O,P,S,T
CLNO;E,I,K,O,S,W
CLOO;G,H,N,P,R,S,T,Y
CLOP;A,M,O,S
CLOS;A,B,D,E,F,G,H,I,K,L,N,O,P,T,U,W,Y
CLOT;A,E,H,I,O,S,U,Y
CLOU;D,E,I,M,R,S,T
CLOW;A,I,N,S
CLOY;A,B,C,E,L,M,O,S,T,Y
CLRU;E,H,I,O,S,Y
CLSU;A,B,E,H,I,K,L,M,O,P,R,S,T
CLTU;A,E,I,M,O,S,Y
CMMO;A,O,S,Y
CMOO;B,H,M,P,S,Y
CMOP;A,H,L,O,S,T
CMOR;A,B,E,I,S,U
CMOS;A,B,E,H,I,K,M,O,P,R,U
CMSU;A,H,I,K,L,O,R,S,U
CMSW;
CMSY;A,E
CNNO;A,E,I,S
CNOO;D,G,H,L,R,S,T,V
CNOR;A,B,E,I,K,O,S,T,U,W,Y
CNOS;A,E,F,H,I,K,L,N,O,R,U,Y
CNOU;B,E,J,R,S,T,Y
CNOY;A,D,E,I,K,P,R,S,T,U
CNRU;H,I,K,O,S,Y
CNSY;A,H,O,S
CNTU;E,I,O,S,U
COOP;H,L,M,S,T
COOS;C,D,F,G,H,J,K,L,M,N,P,R,T
COOT;L,N,P,S
COPR;A,E,H,S,U
COPS;A,E,H,I,K,L,M,O,R,S,U,W,Y
COPU;B,E,H,R,S,Y
COPW;S
COPY;A,K,N,P,S,U
CORS;A,B,C,D,E,G,I,K,M,N,O,P,S,T,U,W
CORT;A,E,F,H,I,K,N,S,U
CORU;B,C,D,E,I,L,M,N,P,R,S,T
CORW;D,E,N,S,Y
CORY;A,B,E,H,K,N,W
COSS;A,E,G,K,P,R,T,U,W
COST;A,E,H,I,K,L,O,R,S,T,U
COSW;E,H,K,L,P,R,S
COSY;D,E,K,L,N,P
COTT;A,E,H,S,U
COWY;R
COXY;
COYZ;E
CPSU;A,E,K,L,O,S,Y
CRRU;A,E,H,O,S,Y
CRSU;A,B,D,E,F,H,I,K,L,M,N,O,R,S,T,Y
CRSY;A,U
CRTU;A,E,F,K,O,S
CRUX;
CSSU;A,D,E,G,K,L,M,O,P,R,T
CSTU;A,D,E,F,H,I,K,L,N,O,R,S
CSTY;E,S
DDEE;C,G,K,L,N,R,S,W,Y
DDEI;A,B,C,H,I,K,L,N,O,R,S,T,V
DDEO;B,C,G,I,L,M,P,R,S,T,V,W,X,Z
DDER;A,E,I,O,S,U,Y
DDEU;B,D,K,P,R,S
DDEY;B,E,K,N,R,T
DDIO;A,E,I,K,L,R,S
DDIY;B,D,G,K,M,T,W
DDOO;S,Y
DDOS;A,E,I,O,W,Y
DDOW;E,S,Y
DDRU;E,I,S,Y
DDSU;A,E,R,S
DEEF;F,L,R,S,T,U,X,Y
DEEG;D,G,H,K,L,O,R,S,W
DEEH;C,G,L,R,S,T,W,X,Y
DEEI;B,C,K,L,N,R,S,X
DEEJ;W
DEEK;D,G,I,N,R,S,U,W,Y
DEEL;A,B,D,F,G,H,I,M,N,R,S,U,V,W,Y
DEEM;A,B,L,N,R,S,T,V,W,Y
DEEN;A,D,I,K,L,M,O,P,R,S,T,U,W,Y
DEEP;N,O,R,S
DEER;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y
DEES;A,B,C,D,F,G,H,I,K,L,M,N,P,R,S,T,U,V,W,X,Y
DEET;A,B,F,H,M,N,R,S,U,W
DEEV;A,E,L,M,S,X
DEEW;B,D,G,H,J,K,L,M,N,R,S,T,X,Y
DEEX;F,H,I,O,S,U,V,W,Y
DEEY;B,D,F,H,K,L,M,N,R,S,W,X
DEFI;F,G,K,L,N,R,S,T,W,X,Y
DEFL;E,I,J,S,T,U
DEFN;I,S,U,Y
DEFO;F,G,S,X
DEFS;A,E,I,L,N,O,U
DEFT;A,E,I,L
DEFU;E,G,L,M,N,S,Z
DEFY;A,E,I,K,N
DEGI;B,F,G,K,L,M,N,O,R,U,V
DEGL;A,E,I,O,S,U,Y
DEGO;B,D,E,F,I,L,M,P,R,S,T,W,Y
DEGR;A,E,I,O,S,U,Y
DEGS;A,E,L,O,R,U,Y
DEGU;A,B,F,G,I,J,L,M,N,P,R,S,Y
DEGY;B,H,K,L,O,R,S,U,V,W
DEHI;C,D,K,O,R,S,V
DEHL;A,E,O,P
DEHN;C,O,S,Y
DEHO;A,C,H,I,K,L,M,N,O,P,R,S,T,V,X,Y
DEHR;A,E,I,O,S,T
DEHS;A,E,I,N,O,R,S
DEHU;
DEHY;A,E,G,N,O,P
DEIJ;B,O,R,S,V
DEIK;B,D,E,F,G,H,L,M,N,P,R,S,T,Y
DEIL;A,B,C,D,E,F,G,K,M,N,O,P,R,S,T,V,W,Y
DEIM;A,B,C,G,I,K,L,M,N,O,P,R,S,T,X
DEIN;A,D,E,F,G,I,K,L,M,N,P,R,S,T,U,V,W,X,Z
DEIP;B,K,L,M,N,P,R,S,T,W,Z
DEIR;A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,S,T,U,V,W
DEIS;A,B,C,D,E,F,H,J,K,L,M,N,O,P,R,S,T,V,W,Z
DEIT;B,C,D,F,I,K,L,M,N,P,R,S,W,Y
DEIV;C,D,G,H,I,J,L,N,O,R,S,W
DEIW;A,F,L,N,O,P,R,S,T,V
DEKO;A,B,C,H,J,K,N,P,R,S,T,Y
DEKR;A,C,E,I,O,S,Y
DEKS;A,C,E,I,O,R,S,T,U,Y
DEKU;D,E,J,N,P,S,Y
DEKY;B,D,E,F,G,I,N,O,R,S,U,Y
DELL;A,S,W,Y
DELM;A,E,I,O,S,U
DELN;A,B,E,I,O,S,U,Y
DELO;A,B,C,D,G,H,I,J,M,N,O,P,R,S,T,U,V,W,X,Y
DELP;A,H,I,O,S,U
DELS;A,E,F,G,I,L,M,N,O,P,S,T,U,V,W,Y
DELT;A,F,I,O,S,U,V,W,Y
DELU;B,C,E,F,G,M,N,O,P,R,S,T,X
DELV;A,E,I,O,S,T
DELW;A,E,I,L,O,S,T,Y
DELY;A,C,E,G,I,L,N,O,R,S,T,W
DEMN;A,E,I,O,S
DEMO;B,D,G,H,I,L,M,N,O,P,R,S,T,U,V,W,Z
DEMR;A,E,F,I,O,S,U
DEMS;A,E,I,L,N,O,R,U,Y
DEMY;A,E,S
DENO;A,B,C,E,H,K,L,M,N,O,R,S,T,V,W,Y,Z
DENP;A,E,I,S,U,W,Y
DENR;A,E,I,O,S,T,U,Y
DENS;A,B,C,E,F,H,I,L,M,O,P,R,S,T,U,V,W,Y
DENT;A,E,I,O,R,S,U,Y
DENU;B,C,E,F,G,I,K,L,P,R,S,T,U,V,W
DENV;A,I,O,S,U
DENW;A,E,I,O,P,S,U
DENY;A,B,D,E,F,H,K,L,O,P,R,S,T
DEOP;A,C,D,E,G,H,K,L,M,O,R,S,T,U,X,Y
DEOR;A,B,C,D,E,G,H,K,L,M,N,O,P,R,S,T,U,V,W,X,Z
DEOS;B,C,D,F,G,H,I,K,L,M,N,P,R,S,T,U,V,W,X,Z
DEOT;C,D,G,H,K,L,M,N,P,R,S,T,U,V,W,X,Y,Z
DEOV;C,D,H,I,L,M,N,R,S,T,W
DEOW;B,C,D,G,I,J,L,M,N,O,R,S,T,V,W,Y
DEOY;B,C,G,H,J,K,L,N,P,T,W,X
DEOZ;A,C,D,M,N,O,R,S,T
DEPS;A,E,I,L,N,O,R,U,Y
DEPU;A,D,G,K,L,M,N,O,P,R,S
DERS;A,B,C,D,E,G,H,I,K,M,N,O,P,S,T,U,V,Y
DERU;A,B,C,D,E,G,I,L,M,N,O,P,R,S,T,X
DERV;A,I,O,S
DERW;A,E,I,O
DERY;A,B,C,D,E,G,K,L,N,P,R,S,T
DEST;A,B,D,E,I,K,L,N,O,R,S,U,Y
DESU;B,C,D,E,F,G,K,L,M,N,O,P,R,S,T,X
DESV;A,E,I,L,N,O,R
DESW;A,E,I,L,N,O
DESY;A,B,E,G,K,L,M,N,P,R,T
DESZ;A,I,O
DETU;B,C,E,L,M,N,O,R,S,T,V
DETY;D,I,L,N,O,P,R,S,W
DEWY;A,E,G,L,O,T
DEXY;E,O,P
DFFI;E,S
DFFO;E,S
DFFU;S
DFIN;E,S,U
DFIO;R,S
DFIS;E,F,N,O
DFLO;O,S
DFNO;A,R,S,U
DFNU;E,I,O,S,Y
DFOO;L,R,S,Y
DFOR;I,J,N,O,S
DFOU;N,S
DFOW;
DFRY;S
DFSU;E,F,N,O,U
DGIL;A,E,S,U
DGIN;E,O,R,S,U,Y
DGIR;E,I,N,S,Y
DGIS;A,L,N,R,U
DGIU;E,L,N,S
DGLO;E,O,S,Y
DGNO;A,I,S,U
DGNU;E,I,O,R,S,U,Y
DGOO;A,G,L,R,S,Y
DGOS;A,E,L,N,O,W
DGOW;E,S
DGOY;D,E,G,L,O,P,R
DGRU;A,E,N,O,S,Y
DGSU;A,E,I,N,R
DHIL;A,C
DHIN;A,S
DHIS;A,E,N,W,Y
DHIW;S,T
DHKU;S
DHLO;A,E,L,S
DHNO;A,E,S,U
DHOO;E,R,S,Y
DHOS;A,E,L,N,O,W,Y,Z
DHOT;C,E,I
DHOW;S,Y
DHOY;E,I,O,R,S,W
DHOZ;S,V
DHSU;A,K,N,R,T
DHTU;C,I,S
DIIM;E,O,R,S,T
DIIN;A,B,C,E,O,R,T
DIIR;A,C,G,M,N,S,V
DIIV;E,L,R,S,V
DIIX;E,T
DIJN;N,S
DIJR;E,S
DIKL;E
DIKN;A,E,R,S,U,Y
DIKR;E,H,N,S
DIKS;A,C,E,N,R,S
DILL;I,R,S,Y
DILM;E,S,Y
DILN;A,B,E,O,S,U,Y
DILO;A,C,D,E,N,R,S,T,V,Y
DILR;A,E,L,O,S,T,U,Y
DILS;A,E,G,L,M,N,O,R,S,W,Y
DILV;A,E,I,O
DILW;E,S
DILY;A,E,L,M,N,O,R,S
DIMN;A,E,S
DIMO;A,B,C,E,I,S,U,Y
DIMP;E,S
DIMS;A,E,I,L,N,O,P,T,U,Y
DIMU;C,H,O,R,S,T
DINO;A,B,G,I,L,P,R,S,T,W
DINR;A,E,G,I,K,O,S,U,Y
DINS;B,E,F,G,H,J,K,L,M,O,R,S,T,U,W
DINT;A,E,I,O,S
DINW;A,E,O,S,Y
DIOR;A,C,D,F,L,N,R,S,T
DIOT;A,C,H,I,L,N,O,R,S,T,V
DIOV;A,B,E,L,O,S,T
DIOX;A,E,S
DIPR;A,E,S,T
DIPS;A,E,M,O,R
DIPT;E,R,U
DIQU;E,S
DIRS;A,B,E,G,I,J,K,L,N,O,P,T,U,Y
DIRT;A,E,F,H,L,O,P,S,Y
DIRU;D,E,L,M,N,S,Z
DIRY;A,G,L,N,S,T,V
DISS;A,C,E,K,L,N,U
DIST;A,C,D,E,M,N,O,R,T,U,Y
DISU;B,C,G,M,N,Q,R,S,T
DISV;A,E,I,O
DISY;A,H,L,M,R,T
DITT;O,S,Y
DITU;A,H,M,P,S
DITY;C,D,E,R,S,T,Z
DITZ;Y
DIXY;
DJOO;S
DJOU;S
DJSU;A,O
DJUY;G
DKNO;E,O,Y
DKNU;E,I,R,S
DKNY;A,E,I,O,S
DKOO;N,R,S
DKOR;E,O,S,U,Y
DKOU;R,S
DKSU;A,C,E,H,N,O,S,U,Y
DKUU;S,Z
DLLO;A,H,R,S,Y
DLLU;S,Y
DLMO;A,E,S,U,Y
DLOO;B,E,F,G,R,S,W,Y
DLOP;A,E,S
DLOR;E,I,L,O,S,W,Y
DLOS;A,B,C,E,F,G,H,I,J,L,M,O,P,R,S,T,U,W,Y
DLOT;A,E,I,S
DLOU;A,C,E,M,N,S,W
DLOW;A,E,N,O,R,S,U,Y
DLOY;D,E,G,I,L,M,O,R,S,W,Y
DLSU;A,B,E,L,O
DLUY;A,B,L,P
DMOO;E,N,S,U,Y
DMOR;E,S,Y
DMOS;E,I,L,O,R,U
DMOU;A,B,E,I,L,N,O,S
DMOY;I,L,O,R
DMPU;E,S,Y
DMRU;A,E,I,S,U
DMSU;A,B,E,I,O,P,R
DNOO;A,C,E,K,M,R,S,T
DNOP;I,S,U,W
DNOS;A,B,E,F,G,H,I,O,P,S,T,U,W,Y
DNOU;B,F,G,H,L,M,N,P,R,S,T,V,W,Y
DNOW;A,E,I,L,P,R,S,U,Y
DNOY;C,D,E,K,N,R,S,U,W
DNRU;E,G,I,K,O,S,Y
DNRY;A,E,I,O,S,U
DNSU;A,B,E,F,G,H,I,K,O,R,T
DNSY;A,E,K,O,R,S,W
DNTU;A,B,E,O,S
DNTY;A,E
DNUY;B,C,D,F,G,N,O,R
DNWY;I,O,S
DOOP;E,R,S
DOOR;B,E,F,G,H,K,L,N,P,S,U
DOOS;B,C,D,F,G,H,J,K,L,M,N,P,R,T,W
DOOW;E,L,S,Y
DOPR;E,O,S,T,U
DOPS;A,E,I,L,N,O,R,S,U,W
DOPU;E,N,R,S
DOPW;N,S
DOPY;D,E,G,I
DOQU;A,S
DORR;A,E,I,S
DORS;A,B,C,E,F,I,K,L,M,O,P,R,S,T,U,W
DORT;A,E,I,P,S,Y
DORU;A,B,C,E,G,K,N,O,P,S,Y
DORW;A,C,E,L,N,S,Y
DORY;G,H,K,L,M,N,T,U,W
DOSS;A,E,L,N,P,R
DOST;A,E,I,L,N,O,R,U,W
DOSU;B,C,E,F,J,K,L,M,N,P,Q,R,T
DOSW;A,D,E,G,H,L,N,O,P,R,T
DOSY;C,D,H,K,L,N
DOSZ;E,H
DOTU;B,E,N,O,S
DOTW;E,S
DOTY;A,D,E,R,T
DOUX;
DOXY;E
DOYZ;O
DPSU;E,M,O,S,U,Y
DPUU;S
DRRU;A,E,S,Y
DRSU;A,B,C,D,E,G,H,I,M,N,O,R,S,T,Y
DRSY;A,E,F,I,N,U
DRTU;E,S
DRUY;C,D,G,N,O,P,R,S,X
DSSU;C,D,E,I,K,P,R,T,Y
DSTU;A,C,E,H,I,N,O,R,S,Y
DSUW;U
DTUY;S
DUUW;S
EEEP;C,L,P,S,T,V,W
EEEW;K,P,T
EEFJ;S
EEFK;L,S
EEFL;D,K,M,R,S,T
EEFM;H,L,M,S
EEFN;A,C,S
EEFR;A,D,I,L,R,S,T,V,W,Y
EEFS;A,B,C,D,E,J,K,L,M,N,R,S,T,U,Z
EEFT;D,H,L,R,S,W
EEGH;D,N,S
EEGK;D,L,R,S,Y
EEGL;A,B,D,E,G,I,K,M,O,R,S,T,Y
EEGN;A,H,I,M,R,S,T,V,W
EEGO;D,L,S,Y
EEGP;A,R,S
EEGR;A,B,C,D,G,I,K,L,M,N,P,S,T,V,Y
EEGS;D,E,H,I,K,L,N,O,P,R,S,T,U,V
EEGU;S
EEGZ;
EEHL;C,D,S,T,V,W
EEHM;A,F,R,S,T,V
EEHR;A,C,D,I,M,P,S,T,W,X,Y
EEHT;A,B,D,F,K,L,M,N,R,S,T
EEHW;D,L,N,P,R
EEIN;A,C,D,G,P,S,V,W,X,Z
EEJL;B,S,W,Y
EEJP;S
EEJR;S
EEJS;F,L,P,R,S,T,U
EEJT;C,I,S
EEJZ;E
EEKK;S
EEKL;C,F,G,N,P,R,S,V,W
EEKM;A,S
EEKN;A,B,D,L,O,R,S,T
EEKP;A,C,L,O,R,S
EEKR;A,C,D,G,L,N,P,S,T,V,W,Y
EEKS;A,D,F,G,K,L,M,N,P,R,S,T,W,X
EEKT;H,N,R,S
EEKW;D,E,L,R,S
EELM;D,E,F,G,I,L,M,N,R,S,U
EELP;B,C,E,K,O,R,S,X
EELR;A,B,C,D,F,G,I,K,M,P,S,T,V,Y
EELS;A,B,D,E,F,G,H,I,J,K,L,M,N,P,R,S,T,V,W,X,Y,Z
EELT;A,B,C,F,G,H,I,R,S,T,U,W,X
EELV;A,B,C,D,E,H,I,K,L,N,R,S
EELW;A,D,H,J,K,N,S,T
EELY;A,C,D,G,J,R,S
EEMM;A,F,L,N,R,S,T,W
EEMN;A,B,D,G,L,M,R,S,U,W,Y
EEMR;A,B,C,D,E,G,H,L,M,N,R,S,T,U,X,Y
EEMS;A,D,E,F,H,I,K,L,M,N,R,S,T,U,V,W,Z
EEMT;D,H,M,O,R,S
EEMU;L,N,Q,R,S
EEMV;D,H,I,O,S
EEMW;D,M,N,S
EEMZ;S,Z
EENN;B,P,R,S,T
EENP;C,D,H,I,N,R,S
EENR;A,C,D,G,K,M,N,P,S,T,U,V,W,Y
EENS;B,C,D,E,F,G,H,I,K,L,M,N,P,R,S,T,U,V,W,Y
EENT;A,B,C,D,E,G,H,K,N,R,S,T,U,V,W,Y
EENV;A,E,G,I,L,R,S,T,U,Y
EENW;D,G,H,I,L,M,R,S,T,Y
EENY;D,M,R,S,T,V,W
EEOV;H,K,M
EEPP;E,O,S
EEPR;A,C,D,G,H,K,L,N,S,T,U,V,Y
EEPS;A,B,C,D,E,G,H,I,J,K,L,N,P,R,S,T,U,V,W,Y
EEPV;E,R,S
EEPW;E,H,S,T,Y
EERS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
EERT;A,B,C,D,F,G,H,I,K,L,M,N,P,S,V,W,X
EERV;A,B,E,F,G,I,K,L,N,P,S,T,U,V,X,Y
EERW;B,C,D,F,H,K,N,S,T
EERY;B,D,F,G,H,I,K,L,M,N,P,S,V
EESS;A,B,C,D,F,G,I,J,K,L,M,N,P,R,S,W,X,Y
EEST;A,B,C,D,F,G,H,J,K,L,M,N,P,R,T,U,V,W,X,Y
EESV;A,D,G,I,L,M,N,P,R,T,X,Y
EESW;D,I,K,L,M,N,P,R,S,T,X
EESX;C,D,H,I,K,L,R,S,T,V,W,Y,Z
EESY;C,D,H,L,N,P,R,S,T,V,X
EESZ;A,B,F,I,L,M,R,X,Z
EETT;H,L,N,S,U,W
EETV;I,N,R,S
EETW;B,D,E,F,L,N,P,R,S,T
EETY;N,S
EEVY;N,R,S
EEWX;D,S
EEZZ;M,S
EFFI;D,O,R,S
EFFJ;S
EFFM;S
EFFS;I,J,M,T
EFFT;S,U
EFGL;O,S,U
EFGS;L
EFHM;E
EFHS;A,C,L,R,T
EFHT;C,E,I,L,S,T,W,Y
EFIK;A,D,N,R,S
EFIL;D,L,N,O,R,S,T,X
EFIN;A,D,G,K,L,R,S,T,X
EFIR;A,B,D,E,F,G,I,K,L,M,N,P,R,S,T,V,X,Y,Z
EFIS;C,D,F,K,L,N,R,S,T,V,W,X
EFIV;R,S
EFIW;D,I,S,Y
EFKR;A,I,S
EFKS;A,C,E,I,L,N,R,Y
EFKY;A,D,S
EFLL;A,I,S,Y
EFLO;G,I,N,R,S,T,U,X,Y
EFLP;S,Y
EFLS;A,C,D,E,G,H,I,K,L,O,P,S,T,U,W,Y
EFLT;A,C,D,E,H,I,O,S,U,Y
EFLU;D,G,K,M,O,R,S,T,Y
EFLW;S
EFLX;I,O
EFLY;A,L,O,P,R,S,T,U,Y
EFMR;A,D,I,O,S,U
EFMS;A,E,F,O,R,U
EFMU;D,L,R,S,T
EFNO;G,H,L,R,S,T,Y
EFNR;A,I,O,S,Y
EFNS;A,D,E,I,K,O,R,T
EFNT;I,O,S
EFNU;D
EFOR;A,C,F,G,L,M,N,R,S,T,U,X,Y,Z
EFOS;D,L,M,N,R,S,X
EFRS;A,E,H,I,K,M,N,O,S,T,W
EFRT;A,E,I,O,S,Y
EFRY;A,E,I,L,N,O,R,T
EFSS;A,E,I,L,O,R,T,U
