AABB;AINRR,EIRRZ
CFSU;
CGHO;AAPRR,AEHPR,AEPRR,AEPRY,AFMRR,AMPRY,AMPYY,APPRY,IILRR
CGHU;CEIMR,CIINP
CGIS;ABEKV,ABHKT,ADHPY,ADIKP,AFHTT,AFOUU,AHHJK,AHQTU,AJJKO,BDNUU,BEILM,BMNUU,CHHOU,EEILP,ILRTU
CGKU;ABHOR,BETTU,BNOPR,EHNOR
CGLO;AADMR,ACCEY,EEJKT,EENRT
CGOR;HLOOY,LOOPY
CGOS;AABIM,AIJJK
CGSU;AACER,AEILM,AEMMR,BDINU,BIMNU,DEEIR,DIIIN,IILRT
CHIK;EEELL
CHIL;
CHIM;
CHIN;
CHIP;
CHIR;
CHIS;
CHIT;
CHIU;AAHHU,AAHKN,AEILT,AENTT,CETTZ,EENUZ,EGLLO
CHIV;AGKNO,IKNNO
CHIW;ACKPR,AILMS,AMRSS
CHIZ;ACERV,ADORY,AMMOR,AMORY,AOPRR,CETTU,EGIOT,EIMTY,EISST,EMOTT,OOPTY
CHKO;BDNUU
CHKU;BEMRU
CHLO;BNPUW
CHLY;AAMPT,ADOOS,BOOOS,GOOOR,GOOPY,HKLOO,OOPTY,OPPTY
CHMO;
CHMU;AAEGH,BEKRU
CHNO;BDKUU,BLPUW
CHOO;DOTUW
CHOP;IILLY
CHOR;
CHOS;
CHOT;
CHOU;AILRZ,BDKNU,DHNOW,DIILR,DNNOO
CHOW;BLNPU,BLORT,DHIOT,DHNOU,DNOTU,DOORT,DOOTU
CHRU;
CHSU;
CHTU;
CHUY;AEIPR,BEEPR,EGLOO,EIMPR,EIMRT
CHWY;AACNN,ACHRU
CIKK;BORRW
CIKL;ABIIW,ABLQU,ABLRW,AGHJT,AMPTU
CIKM;AABLL,AEINT,AGGIN
CIKN;CEEEP,EEEEP,EGIMY,GIIMM,INOTY
CIKP;AACKP,CCHNO,CEEEN,EEEEN,HOOTT
CIKR;GIMMY
CIKS;
CIKT;AAABT,AALLO,FLLNO
CIKW;ABIIL,HNOTT
CIKY;
CILL;FGIMN,FKNOT,INPUU,MTTUU
CILO;
CILP;
CILR;ABKLW,ACKPW,ADIIV,AFIIM,BBGIN,BIKKN,CIINT,GIKNN,GIKNP,GIKNT,GIMNP,GINPP
CILT;
CIMO;LLUUV
CIMR;
CIMS;GIINT,IITTW
CINO;
CINQ;
CINU;KLLUY
CINZ;AEELM,AELUV,AERRU,AGIIL,EEIKL,EEILM
CIOR;FKOPP
CIOT;BEEJV,BEFJY
CIOX;ACEKS,CCELY,EGLOS,LPRYY
CIOZ;BIOOT,COOPR,COOPS,HILOP,OOPRS,OOPRT
CIPR;COOOZ,GNUUV
CIPS;
CIPY;AINNN,DIMNU
CIRS;
CIRT;
CIRU;
CIRY;AADSS,AAGHH,ACDSS,ADFIU,ADIJU,BFMMO,HMNOO,MMOOT
CISS;IILOU
CIST;GIIMN,IIMTW
CITU;AAGMO,AAMOT,AMOOT,AOOTX,MOOYZ
CITY;AAGNO,ACITT,AINRR,AOSTX,BEFJO,EGSYZ,NOSUV
CJKO;EEGLT
CJOO;ADRTU,ALRTU,EPRRT
CJOU;ADIRT,ADORT,EKOTY
CKLO;
CKLU;
CKMO;AACMY,ABNRY,ACCHT,ACHLT,AHRTU,AKNPY,EEHIN
CKMU;DPRTU
CKNO;ABCHT,ADMNO,CCHIP,EEHIM,HIINV,HITTW
CKOO;ABBLT,BDLOW,DKNNW
CKOP;AAPRT,AHRTW,BGNRU,CCHIN,DIORW,FHIRT,FIOPR,HIOTT
CKOR;
CKOS;
CKOT;AAILL,AIKNN,FILLN,IINNP
CKOW;BDLOO,DIOPR,DKNNO,EEIPR,NORRW
CKOY;
CKPU;BGNOR,DMRTU
CKRU;
CKSU;
CKTU;ABBLT,EELOY,EJOOY
CKUY;BBETU
CLLO;BDDOO,FIKNT,GHNOT,IIIPT
CLLU;ABHKW,ABHNP,ABIIM,ABIKQ,ADDNO,AEKMM,AHINP,BFHIN,EIKMP,IINPU,IMTTU
CLMU;ABILR,EEIRV
CLNO;
CLOO;ABDKW,ACCDI,BDDLO,BDKOW,CDKMU,CEELZ
CLOP;BHNUW,EEHLN,EERRT,HPTYY
CLOS;
CLOT;
CLOU;
CLOW;BDKOO,BHORT
CLOY;GHIRU
CLRU;
CLSU;
CLTU;
CMMO;BILUU,FIILR,GHIMU,GINNU,IPPRU
CMOO;AKLOR,LOORT,ORRTU
CMOP;IMPRU
CMOR;DOOTY,LOOOT,NPTYY
CMOS;
CMSU;
CMSW;ADKNO,AEHNO,AEKTU,AHIIL,AHINT,DENOO,EEHIR,EENOR,EEOOR,EHINT,EHIOT,EORRW,HINOR,IIITT,KMORU,NOORR
CMSY;BBDIO,CCIIL
CNNO;CHHRU,DHOOU,DKKOW,DMRUU,GOTTU
CNOO;
CNOR;
CNOS;
CNOU;ADDLL,DHHOW,DHNOO
CNOY;
CNRU;EEEFQ,EEFPT
CNSY;GIIKT,IMTUY
CNTU;
COOP;BIRRY,CIORZ,CKPPY,DIKRW,FIKPR,FIRRY
COOS;
COOT;AABBE,AIMTU,AITUX,BIIOZ,IMUYZ
COPR;BIORY,CIMOY,CIOOZ,DIKOW,FIKOP,FIORY,GLOOY
COPS;
COPU;
COPW;ACHHI,ADLMN,BHLNU,DIKOR
COPY;BIORR,DIIIT,FGHIT,FIORR,GHLOY,GLOOR
CORS;
CORT;LMOOO
CORU;
CORW;ABHKT,ACHKO,AFHLT,AFKRT,AHKPT,ALORT,BHLOT
CORY;CIMOP,COPSY,FIOPR,ILLMU,IMMOT,IMSUV
COSS;IIILS
COST;
COSW;AAITT,CDOOU
COSY;AITTX,ASTTT,IIITV,IIRTU,IISTV,ORRWW
COTT;
COWY;AEILT,EELLM
COXY;AAILL,AEHRS,AESTT,AILLT,AISTT,BCMOR,DENOO,EEOST,EERRT,EERTU,EINPR,ELLMP,ELRSU,ENRST,ILPRY
COYZ;
CPSU;BGHIN
CRRU;
CRSU;
CRSY;BHIOO,COOPY,DHIIO,HOOOP,OOOPP,OORWW
CRTU;
CRUX;AAAMT,BEKOT,DEIIO,EEEHQ,EEITX,EEMPT,EENRT
CSSU;
CSTU;CTUUU
CSTY;AACLM,AADKR,ABIUV,AILLP
DDEE;IIOXZ
DDEI;
DDEO;
DDER;
DDEU;
DDEY;ACCIO,ACFII,ACSSS,GLMSU
DDIO;BNNUW,HOOWW
DDIY;AEHLO,AHLLS,CLNOO
DDOO;ACIIN,BCLLO,BENNN,CHHIL,CHINR,DILLP,FIRTW,HIOWW,NORUW
DDOS;CMMUU,FMNUU,GLRRU
DDOW;BIIRW,BILNU,BINNU,BLOOO,FIORT,HIOOW
DDRU;AACMO,ABHNO,AGHNO,AHNNO,BNOOW,CFNOW,NOOOW
DDSU;FGILN,FMNOU,GIINQ,IIOUV,INOPU
DEEF;
DEEG;AANPP,AETTV,AIPQU
DEEH;INOOP,IPUUZ,NOOQU
DEEI;AGPQU
DEEJ;ADOPR,ALOSU,AMRSU,AOPRR,AOPRT,CIPRU,CIRUV,DIRRU,GMNTU,ILNNU,INRRU,IPRUZ,NORRU,OORVY
DEEK;
DEEL;
DEEM;
DEEN;
DEEP;AGIQU,BFIIL
DEER;
DEES;
DEET;
DEEV;
DEEW;
DEEX;
DEEY;
DEFI;BIMOZ,IMMMU
DEFL;
DEFN;ABBCO,ACMOO,BEEEL,EEHLM,OOOTT
DEFO;BIIMZ,CCENT,HIIRR
DEFS;
DEFT;HNOUX
DEFU;CCIIR,IIPPY
DEFY;
DEGI;AAASS
DEGL;
DEGO;AHNUZ
DEGR;
DEGS;
DEGU;
DEGY;
DEHI;BEITX,EPUUZ,FMTYY
DEHL;
DEHN;EEELW,EEFLM
DEHO;
DEHR;
DEHS;
DEHU;AADGR,DOOPR,EGINW,EIPUZ,ENOOQ,FIIRT,GIPRT,ILMTU
DEHY;BIIRS,BIIRZ,CFIIM,FIMTY,ILRRU
DEIJ;AANPZ,ELNNU
DEIK;
DEIL;IIQUZ
DEIM;
DEIN;
DEIP;ADEGH
DEIR;
DEIS;
DEIT;
DEIV;
DEIW;
DEKO;
DEKR;
DEKS;
DEKU;AILLT,BGIOO
DEKY;AAJLW,AALLT
DELL;
DELM;
DELN;
DELO;
DELP;
DELS;
DELT;
DELU;IIIQZ
DELV;
DELW;
DELY;
DEMN;LUUZZ
DEMO;
DEMR;
DEMS;
DEMY;CFHII,CIINT,FHITY,FIINN,FIIRW,IILLP,IILLT,IINNT,IIRTT
DENO;
DENP;NOOOT
DENR;
DENS;
DENT;
DENU;
DENV;
DENW;
DENY;
DEOP;
DEOR;
DEOS;
DEOT;
DEOV;
DEOW;
DEOY;ADMRR
DEOZ;EILVW
DEPS;
DEPU;EHIUZ
DERS;
DERU;
DERV;
DERW;
DERY;
DEST;
DESU;
DESV;
DESW;
DESY;
DESZ;EEEFR
DETU;
DETY;
DEWY;
DEXY;AIMRT,ALLRT
DFFI;AAITV,CILTU,FLOTY
DFFO;FILTY,LORTY
DFFU;CIILT
DFIN;ACNOT,BIIOR,CHORY,GIIMW,OOPRW
DFIO;AILOP,BEIMZ,FFLTY,LLMTU
DFIS;ABMRR,ACDLY,ACHLS,ACLMR,AIILR
DFLO;AABLR,AACIT,ARRWY,FFITY,ILMTU
DFNO;CCEET,CGIIY,EOOTT,GIIMY
DFNU;
DFOO;ACEMN,BHNOU
DFOR;
DFOU;BLLLO,DEFMR,EITTT,EOOTT,GGHOT,ILLMT,IORTW
DFOW;ADNRT,AENTU,ALLLO,CDNRU,CEEER,EIKRT,HINST,HIRSS,HLNOU,INRST
DFRY;AAILN,ACIIU,AGLNO,AHIOO,AHLOO,ALORW,BEGIL,CHINO,DELOR,EGILU,EIIMW,EILLU,FLOOT,HILOO
DFSU;
DGIL;
DGIN;FIIMW
DGIR;HLOPT
DGIS;
DGIU;AAMOR
DGLO;
DGNO;
DGNU;
DGOO;INOOV,INUUV
DGOS;
DGOW;AABNN,AHIKO
DGOY;ACHIM,CFIIN,FIIMN,IIKNS
DGRU;
DGSU;
DHIL;DDEIP,EIOOP,ERRUY,FOORY,GOOTW,GOPRT,GOTUY,IISTT,ILPRS,INRWW,KSSUY,MOOYY,OOPPY
DHIN;BORRT,CILLW,CLMOO,EELUY,GHOPT,IIOPR,ILRWW,INNRY,IOORT,MORUY,ORTWW
DHIS;COOPZ,IILTT,OOOPR,OOPRZ
DHIW;ACKOR,AGKOO,AKNOR,BCOOR,CCEEK,CGINO,CILLN,DOOOW,EEMPR,ILNRW
DHKU;BCNOU,CCOOW,CNOOR
DHLO;CDHIO,CIMNO,COPRT,FNOUW,GIOTW,GIPRT,GITUY,NOOPT,NORUW
DHNO;BIRRT,CGIIW,CIIIT,CILMO,CMOOR,COORT,GHIPT,IIIPR,IIORT,IRTWW,LOOPT,OORYZ,ORTWW
DHOO;AACCL,ABBLT,ACCOW,CCKUW,CDHIL,CILMN,COTUW,DIOWW,LNOPT
DHOS;
DHOT;AAMRY,ABBLO,ABBOY,AHNRS,ALNNR,ANRRW,ARSTY,HOOUY,LNOOP,NOOSW,PRSYY
DHOW;ABLNN,ACCOO,ACCRT,ACLOR,ACRTW,AENNV,AGIKO,AMNOO,ANRRT,BCIOR,BENTU,CCKOU,CGIIN,CHIOT,CHNOU,CNOTU,COORT,COOTU,DIOOW,FLNOU,GILNT,GILOT,GINRT,INRTW,LNORU,NORTW
DHOY;
DHOZ;AABIR,ACIRY,AEGNU,AEINR,AEIPR,AELOW,CEIMR,EEIMT,EELMY,EIIMN,ELRYY,NOORY
DHSU;MOOPP
DHTU;AEEMX,HOOOY
DIIM;BCMUY,FGINW,GINVW
DIIN;DKKWY,FGIMW,FLSUU
DIIR;BDOWW,BHRTY,BHTYY,BTTUY,EFHOR,EFLUZ,EILQU,ORTTY,PTTUY
DIIV;AAFFT
DIIX;ACILN,ACLMS,AIOSS
DIJN;AAEPZ,AEELV,AEHMU,AHIMU,AIKRU,COTUY,EEILL,GIORY
DIJR;AABNO,AAGHR,ACOTU,AIKNU,GINOY
DIKL;AACHN,AHOTY,AINNU,ALNNS,CGOST,CHOOS,GNOPS
DIKN;
DIKR;ABCKO,BCDIY,COOPW
DIKS;
DILL;AAAFT,BDFNO,DDOOP,FMOTU
DILM;AALPU,ARUUV,BCNOW,BNNOO,CHNOO,GIRTU,GRTUU,IINOX,NOOOP,NPUUU
DILN;CHILW,HIRWW
DILO;
DILR;HINWW
DILS;
DILV;
DILW;ANORT,BCMNO,BDNOU,CHILN,GHNOT,GLNOR,HINRW,OOPTU
DILY;
DIMN;BCLOW,FGIIW,GIIVW,IILOX,LPUUU
DIMO;
DIMP;AALLU,AIORR,ANOOO,CINUY,HIIRU,IRTUU,LNOOO,LNUUU
DIMS;
DIMU;AALLP,EILQU,LNPUU
DINO;
DINR;
DINS;
DINT;BNRUW
DINW;CHILL,FGIIM,GHITT,GIIMV,HILRW
DIOR;OOVWY
DIOT;
DIOV;
DIOX;
DIPR;CKOOW,FNOOW,HIIMU,HIINO,INOXY,MNOUU
DIPS;
DIPT;ACCOO,ACLOO,AILLY,GHHNO,HKOOS,IILMY
DIQU;AABLN
DIRS;
DIRT;
DIRU;FOOTW
DIRY;EEHHM,EHIOP,HMOUX
DISS;FHORW,GIIMR,IIPRT
DIST;
DISU;EEEKL
DISV;
DISY;BDINN
DITT;AAFNR,ACIRX
DITU;BCFII,CEKKO,CFFIL,FOORW,IILQY
DITY;FFFLO,FLLUU,GHLOU,HINWW
DITZ;AAELN,AAEMR,ABENO,ACEIN,ACEIT,ACEIV,AEELM,AEELN,AEELR,AEENP,AEENT,AEERV,AEGGI,AEILM,AEILN,AEILV,AEINP,AELOT,CEEHI,EEEHR,EEENR,EEHMO,EEMNN,EEMNO,EIMOP
DIXY;AAPRS,ACPRS,AEMRT,CEELT,CEEMM,DEHOR,EERTT,ELPTU,INOPR
DJOO;ACRTU,AMMOR,BBBEH,BEHLR
DJOU;ACIRT,ACORT,BEIMZ,EENNY,EENRR,EENRY,EINTX,EMPTU,ETTTU
DJSU;GIINN
DJUY;AACNT,AACNV,ACIIR,ACLNT,CINOT,EENNO,EENOR
DKNO;ACMSW,ARRWW
DKNU;ADFNY
DKNY;
DKOO;ABIOU,AGHIW,CCHUW,CCLMU
DKOR;AABBC,AABCT,AABLW,AACRT,ABCIK,ACCNW,ANRWW
DKOU;ABIOO,BCELL,BEGIO,CCHOW,CEHMM,CEILL,EEILM,EGHIL,EINNV
DKSU;
DKUU;BCELN,BCHNO,BEENR,BELOT,CCEHP,CELNP,CMPRT
DLLO;BCDOO,BDFIN,BFLOU,FIMTU,IIMNO
DLLU;AACIR,AAGNR,ABNOR,ACDNO,ACORT,AGHIL,AIINT,AINOP,BFLOO,CIMOO,FIMOT
DLMO;BCINW,BINNO,BOORW,CHINO,IIINX,INOOP
DLOO;AACCH,CDHHI,CIOPT,HNOPT
DLOP;CHORT,CIOOT,GHIRT,HNOOT
DLOR;AAAPX,ACKTU
DLOS;
DLOT;BOOOR,CHOPR,HNOOP
DLOU;BFLLO
DLOW;
DLOY;ABBCK
DLSU;IIMUV,IKRUU
DLUY;CHINS,EFFIS,EFIMS,EHIOS,EIOSV,GGIJN,GHIOT,GINNY
DMOO;ABORR,AJMOR,BLORW
DMOR;AJMOO,BLOOW
DMOS;AADKM
DMOU;
DMOY;AEEMX,ENNSS
DMPU;AAILL,ALORW,CKRTU,HIIIR,IIRTU,ILNUU
DMRU;NOORW
DMSU;GNNUU
DNOO;BDNUW,GIOOV,IINQU
DNOP;AELLV,AELMY,AEMMP,ENOOT,HLOOT
DNOS;
DNOU;
DNOW;CKKNO
DNOY;FGIIM
DNRU;
DNRY;
DNSU;
DNSY;BDIIN
DNTU;
DNTY;CIIOR,HIIOP,HIIWW,HIMOS,HIOOP
DNUY;AAESS
DNWY;EEELR
DOOP;ACCIT,ACILT,AHILM,HINTY,HLNOT,HPPUY
DOOR;AJMMO,AORWW,IOVWY
DOOS;
DOOW;ACCHO,AGHIK,AORRW,BCHIR,CCHKU,CHHIT,CHHNU,CHORT,CIKPR,CKKNN,DHIOW,DNORU,HNRTW,INPRT,MNRRU
DOPR;AAAHI,AAAIP,AGHII,CIINY,GIINV,HIIIN,IINXY
DOPS;
DOPU;HOPPY
DOPW;AEFGG,CIKOR,ILOTU
DOPY;ASSSU,BCRTU,HOPPU
DOQU;CEENR,CELLO,EEHNO,EELRY
DORR;BNNOY,MNOUW
DORS;
DORT;BLOOO,BLOOW
DORU;
DORW;BDIIW
DORY;
DOSS;FGOOT,FOOTW
DOST;
DOSU;
DOSW;
DOSY;ABBFO,AEFRR,APSSU,EIITT,MPPPU,MPPUY
DOSZ;BIRUZ,BRUWZ
DOTU;ACKLR,ACLLR,ACRRY,APRRY
DOTW;CHHIO,CHOOR,DFIOR,FIORU,HINRW,HNORW,ILOPU,INOPR
DOTY;BBILU,FFFIL,HHOOU,HIMNS
DOUX;AABEI,ABEHL,CEIIR,EFILN,EFLMM,HIMRY,ILNPS
DOXY;HOORT,IINPR,LMOOR
DOYZ;ACHIR,AELMT,AELTU,EEHLM,EHLRY,ELPRY
DPSU;BFFIR
DPUU;AEGLN,ALQRY,CCEHK,CEKLN,CELNO,CKMRT,EEHIZ,EGGLN,EJMOT,ELLOT,ELNZZ,EOTTT,IIMRT,ILMNU
DRRU;INOPT,MNOOW
DRSU;
DRSY;
DRTU;ACJOO,ACKLO,ACLLO,ACORY,ALMOO,CKMPU,FIOOW
DRUY;BIITT
DSSU;BHMOW,BLOOU
DSTU;
DSUW;ABLLN,ACKKL,AEEEG,AEGIY,AEOTT,BORZZ,CCOOO,EEFGL,EEGIV,EEIRV,EELLP,EHOOO,EIOOP,EMOOO,FFOOR,HINTY
DTUY;AACJN,AALOR,ABBLO,ABEGR,ABELT,ACEOR,ACFNT,ACJLN,ACORR,AEFOR,AEHHO,AELOZ,ALORW,BCOPR,BEHNO,BIIRT,EEHNO,EELLO,EENOR,FILLU,GIIRT,HHOOO,IIILQ,IIPRT
DUUW;
EEEP;EFRRZ,ENORY,FRRRR,GMRRR
EEEW;ABHLS,ABIRS,ABLNR,ABSSX,ACHHR,AHRSS,AHSSY,ANSSS,BDLMO,BGNOO,BIRRS,FHORR,FMNOR,FNSSS,HLLSS,HMORS,HNRSS,LRSSS,NNSSS,NOSSS
EEFJ;DGORU,DIILL
EEFK;CCHOR,EGNRU,NOORT
EEFL;AEHLN,BHOUV
EEFM;GIRUV
EEFN;INPVY
EEFR;
EEFS;
EEFT;AAINX,CINTU,IIMNY
EEGH;AAKLW,ACEPR,AEMRT,AGMOU,ALPRT,AMRTW,BIRTY,FIRRT,HIITT,HIRTT,ILMPR,LOORT,LOOTT,LOOTU
EEGK;AAMQU
EEGL;
EEGN;
EEGO;AGHMU,EGRTT,FHIRW,HIRVW,IMORV,RRTTU
EEGP;IILOZ
EEGR;
EEGS;
EEGU;AAKMQ,ACDOP,ADGOP,ADIVW,CORTT,DGIRZ,FIKLU,HLOOT
EEGZ;ACIIL,AIKLU,AMOOT,AORRV,DGIRU,GIILN,GILOO,IILNT,IILOP,IINRS,IISTT,ILOPS,INOOS,INORR,INOXY,INPRS,INQSU,INRSY
EEHL;BBEMU,BINOR,EILNZ,EINNP,GLNOP
EEHM;BBELU,CCILY,CDINY,ILLLW
EEHR;
EEHT;
EEHW;ABIMT,AGGSS,FIJSS,FIOSU
EEIN;BBEER
EEJL;AACTU,ADINV,AGMOU,AHHRR,CGKOT,DGIKU
EEJP;ADDOR,ADORR,CDIRU,CDORT,DIRUZ
EEJR;ADDOP,ADOPR,AHHLR,AMOTT,CDIPU,DDIRU,DIPUZ,DNORU,DOOVY
EEJS;
EEJT;AKRRW,AMORT,DGMNU
EEJZ;AIPRS,DIPRU
EEKK;ABCNR,ORRWY
EEKL;IJLLY,MOOTU
EEKM;CCLNO,CHNOR,INNRT,INORT,LOOTU,ORRTY
EEKN;CCEIP,CEEIP
EEKP;
EEKR;
EEKS;
EEKT;ACIPZ,ADLPP,LMOOU
EEKW;GHINT
EELM;
EELP;
EELR;
EELS;
EELT;
EELV;
EELW;BGGOR
EELY;BIKLL,FIMPX,HHOPT,HIOPT
EEMM;CDIXY
EEMN;CEEHV
EEMR;
EEMS;
EEMT;ACFFL
EEMU;BBDHT,EHIPZ
EEMV;AERTW,BELNT,EENNT,EGNNT,ELNRT,ENRTT,KLPRT
EEMW;AACRR,AAHLT,ABHIT,ACIRV,AERTV,AFIRR,AGHRT,AHLLO,ARTTT,FHORR,HILLL,HIPRR,IILLT
EEMZ;AAMPT,ABRRU,ADIIN,AGHRT,AGINR,AGOOT,AHIPT,AHITT,BEILM,CEIRR,CHNOR,CHOOR,CIILN,CINOO,CIRRU,DHIOT,DINNT,EHIPU,IOORT,MORTY
EENN;AACMU,CCINO
EENP;
EENR;BBEEI
EENS;
EENT;
EENV;
EENW;
EENY;ABJLL,ABJLO,CCFLU,HHIPZ,INNNP
EEOV;ACINW,BCIJT,BISSS,IINNR,ILPSX,IQQUU
EEPP;AABKL,AALLT,ACCDI,ACNTY,ADNNT,AILNN,AILNP,DIINN,FIRRR,ILMNR
EEPR;
EEPS;
EEPV;ACCIT,ACHLM,ACILO,CDIIT,CIINT,FINNY,HINOW
EEPW;AALRR,AAPRR,ADDLP,ILLOZ
EERS;
EERT;
EERV;
EERW;
EERY;CORTX
EESS;
EEST;
EESV;
EESW;
EESX;
EESY;
EESZ;
EETT;ABTYZ,CIMMO
EETV;
EETW;AGGHI
EETY;AAMMP,ABCMO,ABTTZ,ACCHI,CCLOU,CDILX,CDJOR,CDORR,CHIMR,CKLOU,CMORR,CMORT,CORRX,DDLOV,DILRR,DLLOU,HMORR,KMORR,MMORZ
EEVY;ABGLT,AGLLT,DDLOT,ILMOT
EEWX;
EEZZ;ACHIR
EFFI;AABLX,AAILT,ACETV,CCIIL,CEETV,CIKLL,LMUUV
EFFJ;
EFFM;ACDOR,ACELT,ACIKR,AINTX,EETTU,EFNOT,EINRU
EFFS;ACCKU,AFKLU,ANOOS,CCHKO
EFFT;AAIIL,ALNOP,GHIIR
EFGL;ACHIT,HHIRY,HIIRT,HIPRT,HITWY
EFGS;AACOU,AAITT,AHHIS,AHTTU,HIIPS,OOOOT
EFHM;AARTT,AASST,AIKST,AINST,AORSU,COORT,DITYY,IISST,IISTT,LOORS,LORSW
EFHS;EINQU,FIKWW
EFHT;DNOUX
EFIK;EGLUU,EHILT
EFIL;CCFII,EGKUU,FMUUV
EFIN;ENPVY
EFIR;
EFIS;BIMOZ,IMMMU,IPPUY
EFIV;AAANU,ACDLU,ALLUZ,CDEET,CDELU,CEEFT,DELLO,ENNPY,FLMUU
EFIW;CEENR,EERRT,ELNTU
EFKR;BELUU,CCEHO,EFFLU,ELOOY,ENOOT,FFLUU
EFKS;
EFKY;CCNOY,CIINT,ELOOR
EFLL;EKTTU
EFLO;ACCCK
EFLP;AABLP,AACNT,ACEHN,ACEHR,ACTUU,AKOOR,AOOTT,BDEII,EIILN,ILMOU,OORTW
EFLS;
EFLT;
EFLU;
EFLW;AEGNN,AHHOT,EINTU,KMNOO
EFLX;AAHRT
EFLY;
EFMR;
EFMS;
EFMU;AACNX,AAINO
EFNO;ABBCD
EFNR;GHLUU
EFNS;
EFNT;AACLP,AALRR
EFNU;BIOPR,CEITT,CIITT,FILOX
EFOR;
EFOS;ABCKO,CCFHK,CEOPT,COPTY,EHIUW,GOOOT
EFRS;
EFRT;
EFRY;DKSSU
EFSS;
EFST;GOOOO
EFSU;IIPPY
EFSW;AAADY,ACEHY
EFSY;AAADW,DEIIM,EENNP,IIPPU
EFTT;GNOOR
EFTW;
EFUZ;AABLN,AAFLN,AILNN
EGGL;
EGGS;ENOOS
EGGT;AHIKN,AIMMN
EGGY;
EGHP;BNOOY,CIILO,CIOTY,ELLNO,GHIRU,HINNY,HOPYY,IINRR,ILLOO,INNOY,IRTTU,LNOOY,LNOYY,NNOYY,NOTYY,OTYYZ
EGHU;AADNY,AEGMO,AINPP,AINPV,FIMNY
EGIL;
EGIN;
EGIS;
EGIT;AEMMV
EGIV;AAITT
EGKS;BOOTU
EGLN;
EGLO;
EGLS;
EGLT;MOORY,MOOYY,OOORY
EGLU;
EGLY;
EGMN;
EGMR;
EGMS;
EGMU;AACHH,AAEKQ,HHOTT
EGNO;BBGOW
EGNR;
EGNS;
EGNT;
EGNU;
EGOR;
EGOS;
EGOT;CEJKL
EGOV;
EGOY;ACHMR,AHKMR,CINNV
EGPS;
EGRS;
EGRT;
EGRU;
EGRW;DDIII,HIITT,HMNOO
EGRX;AAFIS,AALSV,ACEHN,AFNOT,AHOPY,AHTTU,AILSW,CINSU,DINTU,EFILN,EIILU,FILNU,GINPU,ILNOP,INTTU
EGRY;FHHIL
EGSS;
EGST;
EGSU;
EGTU;BCKTU
EGTY;
EGVY;ABELT,AELLT
EHHS;ACCKO,AELNZ,BCORS,DEGGO,DEGOP,EKKOO,ELLLO,ENOPP,INOPP,OOPPR
EHHT;BGOTU,BLLOR,BLMOU,DDNRU,DGOTU,GMOTU,GNOTU,LOOOP
EHIK;AIKKL,CEELL,CLOPU
EHIL;AALLU,AIKKK,DDDIP,DRRUY,EELNZ,EENNP,FGHRY
EHIR;
EHIS;
EHIV;ENOPW
EHJU;ACDEI,ADIMN
EHKO;AEMMR,AGMRT,AMMPR,IOOTT
EHKS;
EHKT;AGMOR,AORRW
EHKU;BCETT,BCMRU,BMOSS,BNOSU,COOOS,EELOS,EEOPS,EILOS,EOPST
EHKY;AELLR,AILPR,ILNPR
EHLL;AAABG,AABBC,AABBI,AABGI,AABGU,AABIN,AACDN,AAGPY,AAMNP,ABCEY,ABGIP,ACEGN,AEIKW,AGMPY,BFITU,EEINZ,EILMW,FGNTU,FTTWY,IINPT
EHLM;GIILT,INPRY,IPPRY
EHLO;
EHLP;EEINN,EEINT,GILOO
EHLR;FGHII,FGHIY,FGNUU
EHLU;BEFOV,BFILT,DOOTW,EFMOT,EIOPR,FLLOT
EHLY;DEFLU,FFIRW
EHMO;BHOOP
EHMP;ADITW,BHOOO,IOPRR,OORRX
EHMR;
EHMS;BUUZZ
EHMT;
EHMV;ACORT
EHNO;
EHNR;AAMMM,AEMMM
EHNS;
EHNT;
EHNW;ADNOV,AMRRY,BDOTU,BORTU,DGORU,GHORU,GMOOR
EHNY;
EHOP;AAGGI,ABHLO,AHILL,AIMXY,GHPYY,GILLO
EHOR;
EHOS;
EHOT;CCHKT
EHOV;
EHOW;ADNNV,EINPV
EHPS;
EHPT;BCIIL,CIIIL,CIILN,CIINP,CIIPP,CIIPY,CIMYY,EEILN,IILLN,INRRY,NNRUY
EHPW;ADIMT,AINRU,CINNR,GORRT,MNOOS
EHPY;CEOTT,CGIOT,CIIPT,GHOPY,GOTYZ
EHRS;
EHRT;
EHRU;DFIIT,EPPRY,IIPPT
EHRY;DLOYZ,FFILW,FGHIL
EHSS;
EHST;
EHSU;BMUZZ,EENNQ,EFINQ,EINNQ,EINPQ,EINQZ,FFINS,IINNQ,IIPPY
EHSW;
EHSY;
EHTT;BOOPU
EHTW;
EHTY;GNOPY,GOPYZ,NNPRU
EHWW;AEIRT,AILLT,AIRTT,EHIRT
EHWY;FFILR
EIJV;BCEIT,BCEOT,CEINT
EIKK;AAAHT,ACFJN,ACHLL,AHIKL,AITTW
EIKL;
EIKM;ABCQU,BOORT
EIKN;
EIKP;AAHLT,AILZZ
EIKR;
EIKS;
EIKT;AIKTW,KKOOT
EIKV;CHORT,COQRU,CORRT
EIKY;
EILM;
EILN;
EILP;
EILR;
EILS;
EILT;
EILU;CDDFI,CDEFV,DEFIQ,DFIIQ,DIIQR
EILV;
EILW;EKRTY
EILX;CCCOY,CDGNU
EIMM;
EIMN;
EIMR;
