AAAARR;0
CIMRSS;20351
CIMRUU;5385,5732,5755,17650,19680,22486,22668
CIMSSU;22675
CIMSTU;2961,17783,17875,22182,22649
CIMSTY;17969,19543
CIMSUV;10655,11184,22139,22631,22670
CINNOS;11173,17975
CINNOU;8667,20751,21864
CINNOY;291,1716,2801,2924,2925,2967,5150,5576,5748,5749,7569,7736,9721,10256,10417,10664,10729,10982,11009,11010,11173,11187,17833,17981,19044,19077,19320,19605,19675,20316,20593,20936,20974,21685,21687,22142,22215,22456,22481,22580,22682
CINOOP;10291,11186,11256,19078,19692,19707,20298,20305,21289,21891,22021,22229,22581
CINOOS;2948,10597,10987,22323,22325,22689
CINOOV;8610,19375,20298,21300,21363,21703,21706,21723,21727,21755,22026,22113,22144,22680
CINOOZ;19618,21363,21840,22395
CINOPP;22532,22581
CINOPT;19707,20532,22624,22691
CINORS;
CINORT;
CINORZ;19317,21363,22430
CINOSS;
CINOST;
CINOSU;20558,22323,22325
CINOSV;7814,22611
CINOSZ;2964,10784,19618
CINOUZ;8431,8455,22460,22464
CINRSU;22685
CINSTT;2881,19081,19889,19899,19911,20789,21028,21051,21334
CINSTU;
CIOOPT;5683,5693,7741,11256,19692,19707,20452,20919,21039,22021,22228,22229,22691
CIOORT;8725,10466,10646,10898,20561,21565,21754
CIOPRS;19093,19689,22551,22571,22661
CIOPRT;17983,22353,22476
CIOPSS;2885,11246,19641,19671,19683,19684,21341,22590,22618,22645,22661,22696,22706
CIOPST;22691
CIOPTT;17987,19692,21342,21392,21394,21884,21904,21929,22108,22156,22157,22158,22250,22483,22519,22629,22687
CIOPWY;22476
CIOQSU;885,9347,10150,20007,21535,22666
CIORSS;2752,10903,20583,22645,22706
CIORST;
CIORSU;22559
CIORTT;17987,17988,20525,22622
CIORTV;
CIOSST;22706
CIOSTU;11067,17783,17875
CIOSTX;11213,11226
CIPPSU;7159,9344,11001,19390,22254,22559
CIPRSS;19641,19671
CIPRST;10930
CIPRSY;17966,19713,22512,22592
CIPSSU;2627,10934,17586,19684,19710,21861
CIRRSU;22652
CIRSTT;22612
CIRSTU;19052
CIRSUY;
CIRTTY;913,7136,9069,20525,21076,21349,21871,22215,22534
CISSSU;5642,5676,19708,22575,22705
CISSTU;22427
CISSUV;914,1982,20361,22037,22045
CJKOOS;17471
CJNOSU;2086,2884,8668,10904,20558
CJNOUY;9816,10847
CJNSUU;17978,20558
CKKNOS;8705,10226,10851,17945,22628
CKLNOS;
CKLNOU;19540
CKLNOY;1646,17833,21115
CKLNSU;
CKLNUY;21115
CKLOPU;2469,7553,10225,19540
CKLPSU;
CKLPUY;11172
CKLSSU;
CKMOPU;22109
CKMOSS;19541,20802,22630
CKNORU;19540,22444
CKNRSU;10850,22443
CKNTUU;
CKOORS;
CKORST;
CKOSST;11299,17704,19696,20583,22630
CKOSTY;19585
CKRSTU;2037,22569
CKRSUU;
CKSSTU;
CLLOOP;9725,10257,10649,10853,10859,10864,10865,10969,11027,11186,11188,17476,20566,22483,22523
CLLOOY;2755,5728,7745,8527,8615,8706,10620,10905,10906,11027,11181,11182,11193,11304,11308,19716,19828,20566,21008,22268,22272,22483,22523
CLLORS;19715,22350,22536,22571
CLLSSU;1719,2906,5753,8735,22669
CLMNOU;10651,11093,17947,19519,21712,22449
CLMOPS;22670
CLMOPY;2492,2757,5598,7139,10239,11033,11178,17752,19662,19663,21421,22363,22526,22572
CLMOSU;17606,19327,20155,20567,20589,22357
CLMOSY;2918,2989,8343,10493,11099,11206,11207,11304,19399,19678,21298,22485,22616
CLMOUU;1742,5608,17895,19680,22280,22668
CLMPSU;20589
CLMPUY;11075,22484
CLMSTU;17606,21422
CLMSUY;17477,20589,22485
CLNOOS;11301,19717,20557,22713
CLNOOU;10906,11196,17855,21594,22449
CLNOOY;2682,2755,2757,5644,8736,10511,10906,11208,11311,11312,11315,17981,19457,19500,19717,20329,22142,22272,22286
CLNOSU;
CLNOSW;10507,10668,20815,20922,21555
CLNOTU;2814
CLNOUW;9817,10874,17927,21556,21769
CLNRUU;1652,5732,5760,7793,10243,10299,10528,11306,22040,22148,22280,22318
CLOOPS;17851,19500,19590,19717,21416,21601,22399,22517,22525
CLOOPT;
CLOORS;22350,22351,22536
CLOORU;2680
CLOORY;2995,7745,10532,11181,11193,11212,11235,11315,17926,17956,19457,19702,21008,21764,21770,22133,22158,22268,22363,22576,22679
CLOOST;19715
CLORSU;20567,22357
CLORSW;10668,20590
CLOSSW;8732,20815,21520
CLOSTU;22370
CLOSTY;916,2989,8616,11206,17477,22370
CLOSUU;7834,19704,19818,20564,20573,22368,22370,22577,22638,22685
CLOTTY;916,2074,7717,11078,19274,19481,20002,20091,20294,20480,20525,20812,21076,21298,21781,21871,22158,22483,22519,22677
CLPRUU;22277
CLPSSU;19684
CLPSTU;11202,20568,20572,20573
CLRTUY;278,7774,11172
CLSSUU;929,11203,19402,20571
CLSTUU;295,2595,2999,10650,11233,19704,20568,20573,22370,22497,22577,22632,22638
CMMNOO;7621,19664,20575,20827,22449,22578
CMMOOR;9411,11134,21764
CMMOOS;10376,21133,21889
CMMOOT;22640
CMMRUY;11033
CMMSUY;
CMNNOO;2077,7426,7746,9384,10510,19707,20152,20596
CMNOSY;2346,2816,2892,2918,8280,17981,19678,21450,22616
CMOOPS;10771,17963,19093,19666,19689,22525,22582,22663,22695,22698
CMOOPT;11252,11256,19707
CMOOSS;5780,10376,17932,17984,17985,19822,20481,21414,21441,21442,21445,21454,21554,21735,22499
CMOOSU;8581,10376,10494,10771,10987,11039,11328,17985,20551,20589,22600,22663,22666,22676,22691,22697
CMOPST;22649,22650,22699
CMORSU;235,8617,10700
CMOSTU;
CMOSUU;11325,21957,22698
CMOSUY;11077,11304,20589
CMPRSU;5767,8617,11324,11329,22649,22678,22695
CMPRUU;22486
CMPRUY;20392
CMRSSU;20838
CMSSUU;11203,17954,17985,22698,22699
CMSTUU;19052,20568,21957,22632
CNNOOR;2077,2992
CNNOPY;7736,11009,11331,19077,20593,22178,22484
CNOOPU;11013,11256
CNOORS;
CNOORT;20561
CNOORY;2682,5644,7824,10381,10883,17987,19175,19457,19702,19808,20480,20529,20537,21361,21773,22217,22226,22286,22452,22512,22516,22605
CNOOST;5643,10597
CNOOSV;7839,22712
CNOOTT;619,7801,7813,10663,11243,11256,11264,17949,22021,22051,22384,22545,22599
CNOOTY;930,2087,2755,19175,22142,22272,22286
CNOOVY;10511,10905,10906,22142,22272
CNOPTU;3000,19707,22406,22510
CNORSS;3007,5780
CNORST;
CNORSU;22685
CNORSW;2645,5780,10668,17750,17932
CNORSY;21361
CNORUY;1677,5150,5750,11217,11303,19086,19451,20529,22341,22538,22605
CNOSSY;11042
CNOSTU;
CNOSTY;2346,2760,9421,11118,11325,19097,21150,22616,22626
CNOTUY;1496,9816,10847,10924,11041,11187,19694,20425,20504,21435,21552,21774,22272,22418,22677
CNRSTU;
COOORZ;
COOPRS;7152,19093,19689,22536
COOPSS;9641,10918,11042,19098,19460,19477,19683,19684,19795,20199,21154,21848,21969
COOPST;9653,10053,21154,21744,21929,21969,22228
COOPTU;11013,11256,19707,22629
COOPUY;11341,21945,22286
COOPWX;
COORSS;1740,8650,8651,8703,22596,22597,22605,22710
COORTU;
COORUU;19599,20591,22280,22668
COOSST;9563,17704,19696,20503
COOSTY;5646,22592
COPPRY;11021,11318,22530,22592
COPRRS;10654,10698,10742,17950,19689,22582,22587,22647,22695
COPRSU;5767,8617,22650,22661,22695
COPRTY;7141,8541,11327,11338,11341,19038,19667,20358,22158,22250,22277,22353,22533,22537,22564,22576,22594
COPRUY;2610,10497,11033,11310,11341,21473,21489,21560,21945,22273,22277,22286,22650
COPSSU;2687,5157,17706,19684,19795,20199,22661
COPSSW;8643,8732,10058
COPSUY;1731,2610,2938,5625,7412,9570,10033,10506,10866,10979,11310,19694,21489,21898,22650
CORRSU;1750,8737,19719,22372,22711
CORSSU;
CORSSW;22570,22595
CORSTU;
CORSUV;2994,2997,5765,10655,11240,22139,22161,22289,22631,22661
CORTUY;5646,10922
COSSSU;19708,19721,22575,22705
COSSTU;
COSTTU;22372,22600,22703,22711
COTTUU;10660,10666,11274,22677
CPRSTY;2659
CPRSUY;2610,7412,11238,11310,21119,21489
CPSTUU;20568,20573,22497,22638,22699
CRRSUY;890,5566,7266,21325
CRSSTU;
CRSSUU;929,9458,10404,10878,11169,11203,17896,19402,19424,21412,22254,22360,22698,22699
CRSTUY;5646,22370
CRSUVY;10524,22093,22257
CSUYZZ;
DDDDEO;22717
DDDEEE;11344,22716,22718
DDDEEI;3010,22716,22726
DDDEER;
DDDEET;11355,22718,22730
DDDEEW;22717,22718,22730
DDDEGO;3013,5784,5787,22723,22734
DDDEHO;1752,11349,11360,22717,22734
DDDEIK;
DDDEIL;
DDDEIR;
DDDEIU;1753,7846,7847
DDDELO;
DDDEMO;
DDDEMU;
DDDENO;
DDDEOP;
DDDEOR;1752,3013,7845,11360,22731,22737
DDDEOS;22717,22734
DDDEOT;11359,22730,22742
DDDERU;
DDDEUW;19728
DDDILY;
DDEEEH;1758,1759,11364,11375,19740,22759,22770
DDEEEM;22747,22753
DDEEEN;19751,22784
DDEEER;22749
DDEEES;3019,22753
DDEEEV;22793
DDEEEW;
DDEEFI;7854,11403,22820
DDEEFN;11405
DDEEFU;
DDEEGG;
DDEEGH;3010,11398,22759,22827
DDEEGK;7858
DDEEGL;1761,22831
DDEEGR;18008,22827
DDEEGS;19738
DDEEGW;11409
DDEEHL;
DDEEHN;
DDEEHR;
DDEEIL;7871,22831
DDEEIN;
DDEEIR;
DDEEIS;
DDEEIT;22802,22844
DDEELM;
DDEELN;
DDEELP;
DDEELR;935
DDEELS;22743
DDEELU;11427,11492
DDEELV;19790
DDEELW;
DDEEMN;
DDEEMO;22850
DDEENN;1762,3024,7166,18015,22804,22828,22829,22856
DDEENP;
DDEENR;
DDEENS;
DDEENT;
DDEENU;
DDEENV;22726,22860,22865
DDEENW;
DDEEOR;22850
DDEEOS;3029,11437,17994,18005,18015,22717,22723,22799,22830,22839,22850
DDEEPR;11420,22851
DDEERR;
DDEERT;
DDEERW;
DDEERY;19760,22770,22900
DDEEST;
DDEESU;3044,22850,22898,22900
DDEETU;3044,11427,22844
DDEEUX;
DDEFFO;
DDEFFU;11507
DDEFGI;
DDEFGU;3021,11400,22801
DDEFIL;
DDEFLO;11510,22916,22917
DDEFLU;
DDEFNO;7857,22914
DDEFNU;
DDEFOR;11513
DDEGGI;11515,19801,22733
DDEGGO;943,7890,22733
DDEGIL;18031,22831,22911,22931,22933
DDEGIN;
DDEGIR;
DDEGIT;1761,11515
DDEGIU;7894,11400,18005
DDEGJU;
DDEGLO;1771,3061,18030,18031,19802,22831
DDEGLU;
DDEGMO;11420
DDEGMU;11529
DDEGNO;22926
DDEGNU;
DDEGOR;943,22827
DDEGOS;
DDEGRU;
DDEGRY;936,3056,5788,11518
DDEHIN;3010,11398,11430,18035,22913,22924,22955
DDEHIR;19804
DDEHIS;22960
DDEHLO;5160,11424,11542,22962
DDEHLU;5161,11427,22826,22962
DDEHNO;11360,19808,22924,22955
DDEHNU;
DDEHOO;7905,11360,11540,18036,19808,22734,22737,22827,22961,22962
DDEHOR;18036,22737,22926,22947,22961
DDEHSU;
DDEIIK;22965
DDEIIM;19804,22755,22802,22804,22968
DDEIIO;11562,18032,19813
DDEIIS;22771,22842,22854
DDEIIT;11542,22802,22968
DDEIIV;19766
DDEIIW;22965
DDEIKL;4938,7858,19106
DDEIKN;22950
DDEIKR;4938
DDEIKS;
DDEILL;22825
DDEILM;5819,11542,11564,22968
DDEILN;11545,19815
DDEILO;7873,19106,19741,19772
DDEILP;
DDEILR;
DDEILS;
DDEILT;
DDEILW;
DDEIMM;167,168,19778,19799
DDEIMN;11561,19804
DDEIMS;
DDEINN;3057,7166,7914,11569,11570,22804,22829,22856,22910,22983
DDEINR;22956
DDEINS;
DDEINT;
DDEINU;
DDEINW;
DDEIOP;11459,19741
DDEIOS;
DDEIOT;22844,22947
DDEIOV;
DDEIPP;1773,7862,11459,11588,22786,22854
DDEIPR;3052
DDEIRR;
DDEIRT;
DDEIRW;
DDEIRY;3036,3056,11466,17480,18027,18041,22900
DDEISS;19723,22726,22950
DDEITT;11384,11554,11584
DDEITU;22844
DDEJRU;
DDEKNU;22901
DDEKNY;22965
DDEKOO;
DDEKOU;
DDEKSU;19105,19827,22741,22921,22978
DDELLO;3061,7901,19828
DDELLU;
DDELMO;11542,19828,22967,22968
DDELMU;5819,11427,11564
DDELNO;955,7893,11565,11599
DDELOO;3061,19747,19828,22831
DDELOP;
DDELOR;
DDELOT;11424,11492,18049
DDELOY;955,3061,11505,11556,11599,17480,18027,18048,18049,19815,19828,19829,22922,22926
DDELPU;22789
DDELRU;17480
DDEMOO;11601,11603,19828
DDEMOR;7900,11539,11593,11603,22827
DDEMPU;11603
DDEMRU;11603
DDENNO;22856,22983
DDENNU;7914
DDENOP;22926
DDENOR;22926
DDENOS;
DDENOW;
DDENOY;955,7905,11505,11549,11556,11599,18027,18048,18049,19808,19815,19829,22922,22926,22955
DDENPU;19812
DDENRU;
DDENSU;
DDENSY;22970
DDENTU;
DDENUY;11536,11596,11597,18041,18048,18049,19829,22739,22922
DDEOOR;11360,11562
DDEOOS;22734,22823,22908
DDEOOW;7903
DDEOPP;11459,11492,22759
DDEORR;943,959,4968,5810,11360,11565,11599,18036,19827,22946
DDEORS;22799
DDEORT;19827,22947
DDEORV;
DDEORW;
DDEOSS;22799,22850,22987
DDEOST;11541,11560,19827,22908
DDEOSU;5810,11511,18047,19105,19827,22898,22916
DDEOSW;
DDEOTT;
DDEOTU;11492,19827,22844
DDEPPU;11483,11489,11492,11603,22751
DDEPRS;
DDEPRU;11603,22751,22851
DDERRU;
DDERSU;
DDESST;22987
DDESSU;19795
DDESTU;
DDESTY;7881,11560,22814
DDFILY;
DDFIOR;
DDGINU;22989,22993
DDGIPU;
DDGMOO;
DDHIIS;1499,7895,11610,19805,19807,22951,22954
DDHINO;11620,22913,22955
DDHIOS;11543,22960
DDHIRY;
DDHISU;7923,11429,22803,22848,22957,22958
DDHOSY;11559,22948,22954,22999
DDHPUU;22849
DDHSUU;5812,18009,19763,22849,22927,22957
DDIIKK;
DDIIKV;
DDIIMS;7171,7925,18056,22992
DDIIOS;5827,11610,11616,11623,18050
DDIIOX;
DDIKNO;634,7893
DDIKOS;
DDIKSY;23000
DDILNR;1780,11545
DDILOS;
DDILPY;11406,22834,22874,22875,22880
DDILTY;4971
DDIMOY;
DDIMRU;
DDIMSU;
DDIMSY;18056,22814,22931
DDIOPY;22875,22954,22955
DDIORS;5828,23002
DDIOTU;7927,11623,22839,22844,22995
DDIOTY;7927,19815,22981
DDIRSU;7923
DDLMUY;
DDLPUY;11490,22874
DDMMUU;
DDMRUU;19039
DDNORW;11613,22996
DDOOOO;
DDOPSY;19792,22875,22954,22999
DDPSUY;22900
DEEEFR;7936,19110
DEEEFS;11369,19849,19850,22753,23072
DEEEFZ;11370
DEEEGK;19869
DEEEGR;23105
DEEEHL;3100,3104,11364,23138,23140,23151
DEEEHR;11695,23105,23151,23155
DEEEHZ;11683,23024
DEEEIP;11708,11720,11729,18076,22780,23074,23138,23139,23140,23176,23181,23182,23187,23209,23231
DEEEJL;
DEEEJP;
DEEEJR;
DEEEKK;
DEEEKL;964
DEEEKN;3019,7176,11739,19869,19884,23040,23093
DEEEKP;5181,11736
DEEEKR;964,3103,5180,7932,19884,23040,23093
DEEELN;3100,5839,11672,19862,23007,23043,23140,23176,23177,23179,23181,23183,23244
DEEELP;23074,23140
DEEELR;11705,23110,23259
DEEELS;
DEEELT;
DEEELV;23177
DEEEMR;23100,23150
DEEEMS;22753,23072
DEEEMT;23176,23243,23244
DEEEMX;23074,23199,23200
DEEENP;23139,23140,23176,23179,23181
DEEENR;11695,19934
DEEENS;
DEEENT;5848,18065,23012,23139,23176,23179
DEEENV;23177
DEEENW;5839
DEEENZ;11669,11683,18081,23124,23171,23181
DEEEPP;3108,7959,11728,11729,11787,22759,22786,23105,23187,23230,23294
DEEEPR;23105
DEEEPS;
DEEEPV;
DEEERR;
DEEERS;
DEEERT;
DEEERV;
DEEERW;
DEEERY;5788,23240,23258
DEEESV;
DEEETW;
DEEFFJ;
DEEFFR;
DEEFGL;965,3111,11796
DEEFHT;18099,22802,23332,23333
DEEFIL;23074
DEEFIN;19121
DEEFIR;
DEEFIS;11809
DEEFKR;23093,23367
DEEFLL;965,3100,11814
DEEFLM;23074
DEEFLS;19846
DEEFLT;
DEEFLU;
DEEFLW;23004
DEEFLX;11822,22818,23074,23372
DEEFLY;3022,19855,19956,23083
DEEFNR;
DEEFNU;18062,23312,23314,23380
DEEFRS;
DEEFRT;
DEEFRY;
DEEFSS;3115,5837,11653,11809,19960,22721,23331,23337
DEEFSU;
DEEFTT;23318
DEEFTW;
DEEFUZ;
DEEFZZ;
DEEGGI;17627,18107,23318,23400
DEEGGK;5184
DEEGGL;17627,18107,23400
DEEGGP;3118,11794,23318
DEEGGR;18106
DEEGGV;18107
DEEGHP;11657,11658,11870,11876,23320,23406,23416
DEEGHR;22827,23319
DEEGHS;8001,23420,23426,23428
DEEGIJ;
DEEGIN;
DEEGIR;
DEEGIS;
DEEGIT;1761,23318,23444
DEEGIW;
DEEGKR;11804,19973
DEEGKS;19869,23114,23459
DEEGLL;18107,22825,23110,23408,23411,23412,23461
DEEGLN;
DEEGLP;23416
DEEGLR;
DEEGLS;
DEEGLU;23444
DEEGLY;5796,11406,11412,18108,19862,19975,22825,22834,23411,23415,23443
DEEGMM;
DEEGMN;23015
DEEGMR;11862,11863,11865,11957,22827,23506
DEEGNN;11953,23131
DEEGNR;18008
DEEGNU;4972,19978
DEEGNV;
DEEGOS;11894,17481,23129,23473,23485
DEEGRS;
DEEGRV;
DEEGRW;
DEEGRY;11863,11864,11957
DEEGSS;
DEEGSU;
DEEGSW;11674
DEEHIL;1813,5796,11406,23140,23416
DEEHIR;
DEEHLL;3100,11364,22825,23408,23411
DEEHLM;1813,11427,11994,11996,12039,19999,23408,23413,23518
DEEHLP;3028,3131,3142,11406,11657,22849,23138,23140,23416,23516,23532,23572,23573
DEEHLV;11364
DEEHMM;3135
DEEHMS;11347,11435,22850,23332,23333,23518,23525,23565,23578
DEEHMT;11427,19991,22802,22844,23332,23333,23408,23518,23535,23575
DEEHNN;17628,18065,18136,19996,23139,23140,23409,23526,23574
DEEHNR;11695
DEEHNT;17630,17633,19125,23027,23157,23535,23575
DEEHPS;11809,23520,23526
DEEHRR;
DEEHRS;
DEEHRY;3028,3133,8026,11401,23157,23423,23425,23532
DEEHSW;11408,11437,22717,23330
DEEHTW;18070,22844
DEEHWW;11971
DEEHYY;
DEEILM;18070,19136,19886,19999,20063,23074,23110,23604
DEEILR;
DEEILS;
DEEILV;
DEEILX;3134,3163,3165,8065,8068,11822,12069,19862,22818,23074,23372,23688
DEEILY;19855,19892,23717
DEEIMN;
DEEIMP;7931,23074
DEEIMR;
DEEIMS;
DEEIMT;20063,22802,22844
DEEIMV;12207,18072,18169,18171,23177
DEEINN;17620,19897,22804,23339
DEEINP;12007
DEEINR;3172
DEEINS;
DEEINT;
DEEINV;23171
DEEIOR;5191,7200,8164,11725,19786,23065,23315,23669,23671
DEEIOV;18107,23068,23149
DEEIPR;
DEEIPS;23342,23526
DEEIPZ;8074,11935,11987,20047,23138,23212,23526
DEEIRS;
DEEIRT;
DEEIRU;11400,23024
DEEIRV;23171
DEEIRW;
DEEISS;23517
DEEISV;23591
DEEISW;23330
DEEISX;12206,18178,22818,23372
DEEISZ;1833,8090,18132,20022,20038,20047,23079,23348,23433,23440,23477,23560,23561,23618
DEEITV;23591
DEEITX;3134,12102,23688
DEEIVW;12207,20138
DEEIWZ;11688
DEEJKR;23040
DEEJLL;
DEEJSS;12254,23674,23675
DEEJST;12031,23352,23675
DEEJTT;19914
DEEKKL;
DEEKLP;626,3188,7192,11804,23532
DEEKLW;5848,23367
DEEKMP;3188,11738,23680
DEEKMS;
DEEKNN;8048,19996,20062
DEEKNR;22901,23040,23093,23815,23816,23817,23818
DEEKNT;11979
DEEKOV;
DEEKPP;
DEEKPR;3188,11804,18150,19997,23532,23679
DEEKRV;
DEEKRY;23532
DEEKSW;12034,23330
DEEKSY;5934,23330
DEEKUY;8048,20142,23819
DEELLM;8009,8096,20063,23110,23408
DEELLP;
DEELLW;
DEELLY;19153,19956,22825,23822
DEELMR;19999,23110
DEELMS;
DEELMT;18152,20063,20152,23244
DEELMU;20063
DEELMW;11744,23043
DEELMY;17655,18152,22874,23178,23242,23464,23825
DEELNR;23815
DEELNS;
DEELNT;23007
DEELNW;5848,8177,11744,12153,23043,23368,23568
DEELNY;23242
DEELOO;5186,5948,12289,17482,20059,23255,23416,23418,23820
DEELOP;8031,23416
DEELPP;22854
DEELPR;
DEELPT;17630
DEELPX;23074,23688
DEELPY;11406,22834,22874,23140,23717,23830
DEELRS;
DEELRU;
DEELRV;
DEELRW;
DEELST;
DEELSU;
DEELSV;
DEELSW;
DEELTT;23444
DEELTU;23241
DEELTW;1852,5886
DEELUX;12143
DEELVV;
DEEMNN;978,1853,5209,11744,12094,12121,12298,22804,22856,22857,22873,23043,23242,23339,23340,23353,23574,23586
DEEMNO;
DEEMNR;
DEEMNS;
DEEMNT;
DEEMOR;11863
DEEMOT;5914
DEEMOU;19136,20109,20173,22844,22850,23485
DEEMOV;
DEEMOW;11744,11769,22844,23026,23043,23150
DEEMPR;
DEEMPT;12048,23575
DEEMPU;11497,12048,20109,20173,23575
DEEMQU;
DEEMRS;
DEEMRT;
DEEMRU;11863
DEEMRY;11863,12132,12262,23178,23242,23576,23729,23730,23825
DEEMSS;3210,22729,23839
DEEMST;19991
DEEMSU;
DEEMSW;18088,18172,23341
DEEMSY;12013,23730
DEEMUY;11863,11957,17655,22874
DEENNO;11744,17620,19041,23043
DEENNP;11876,19751,22905
DEENNR;3172,7943,23041,23048,23246,23339
DEENNT;
DEENNY;11412,11799,18144,22834,23140,23491
DEENOP;
DEENOR;
DEENOS;11437,23426
DEENOT;
DEENOV;7206,23088
DEENPR;11804
DEENPX;
DEENRR;12253
DEENRS;
DEENRT;
DEENRU;
DEENRV;
DEENRY;17652,23576,23659,23705
DEENRZ;3032,11858,11935,11987,12009,12067,18177,23171,23402,23452
DEENSS;1507,23008,23274
DEENST;
DEENSU;
DEENSW;
DEENSY;23156,23423,23426,23561,23775,23862
DEENTT;20190
DEENTU;
DEENTV;1853,1857
DEENTX;1857
DEENUV;18025,22789
DEENUY;5939,12153,17655,20159,23698,23822
DEEOPP;8086,8159,20046,20047,20109,20131,20199,22759,23105
DEEOPS;
DEEORS;
DEEORT;
DEEORV;
DEEORZ;5191,11895
DEEOSX;
DEEOTV;
DEEPPP;23717
DEEPPR;23105,23230
DEEPRS;
DEEPRU;11864
DEEPRV;
DEEPRY;11864,11934,11935
DEEPSS;
DEEPSW;20149,20202
DEEPSY;11934,18184,19792,20164,23823,23824,23830
DEEPTT;23280,23318,23859
DEEPTU;
DEEQUU;985,20062,20177,23357
DEERRS;18197
DEERRW;
DEERSS;
DEERST;
DEERSU;
DEERSV;
DEERSW;
DEERSY;23423,23775
DEERTT;
DEERTV;
DEERTX;
DEERVV;
DEESSS;11684
DEESST;23517
DEESSU;3210
DEESSW;11846,11978,12056,19794,19875,23008,23048,23086,23274
DEESSY;22880,23391,23830
DEESTT;
DEESTU;19944
DEESTV;23591
DEESTW;
DEESTX;
DEESTY;19140,20091,20164,22814,23154,23333,23443,23540,23558,23559,23560,23561
DEESTZ;5905,8039,8076,8090,11941,12091,12176,12233,12273,20038,20055,20130,20183,23194,23348,23553,23560,23561,23618,23730
DEESUX;
DEESWY;23239,23330
DEETTV;23829
DEETTW;
DEETTX;23169
DEETUV;23149,23444,23591
DEETWY;
DEFFFU;20205
DEFFGO;1858
DEFFHU;
DEFFIM;11646,12339,23062,23063
DEFFIN;23875,23876
DEFFIO;23315,23877
DEFFIR;23315
DEFFIT;
DEFFIV;8218,19947
DEFFLU;12345
DEFFLY;11505,22909,23311
DEFFMU;
DEFFNO;
DEFFOR;
DEFFPU;
DEFFRU;7983
DEFGGI;23318
DEFGGO;23318
DEFGGU;
DEFGIR;
DEFGIS;20208
DEFGIT;23318
DEFGLO;1858,1860,20208
DEFGLU;1860,12366
DEFGLY;12367,22911,23898
DEFGOO;12348,12365,23880
DEFGOR;23319
DEFGOS;20208,23880,23890,23907,23908
DEFGOW;12363,23065,23328
DEFGSU;11795,12366,23908
DEFGUU;12350
DEFHIS;20208,23330
DEFHMU;23917,23918
DEFHOO;
DEFHOU;12374,19949,23319,23909,23917,23918
DEFHOW;22914,23065,23914,23916
DEFIKN;12369,19121,19955
DEFIKR;20213
DEFIKS;20211,23330
DEFILL;
DEFILM;12339
DEFILO;19960,20208
DEFILR;
DEFILS;20208
DEFILT;
DEFILX;11822,23074
DEFIMR;19165,23085
DEFIMS;19165,23940,23941,23946
DEFINN;22804,23087,23309,23312,23339,23379,23380,23941
DEFINO;11823,12349,18203,22914,23068,23088,23313,23379,23879,23909,23937
DEFINR;
DEFINS;18203
DEFINU;18062
DEFIOO;12403,19799,19947,20224,23315,23381
DEFIOT;8235,23318
DEFIRT;
DEFIRV;7991,8218,11824,12408,19947,23068,23904,23936
DEFIRZ;12372
DEFIST;
DEFISX;23382
DEFITT;12380,23318,23882
DEFIZZ;
DEFJLS;
DEFKLU;
DEFKNU;
DEFKOR;12365,23093
DEFKSU;22921,23950
DEFKSY;23330,23950
DEFLLU;3225,12366
DEFLMU;1860,3225,3227,23917,23918
DEFLMY;
DEFLNO;
DEFLOO;
DEFLOR;
DEFLOT;
DEFLOU;1860
DEFLOW;23953
DEFLOY;11505,12413,18027,18205,22922,23938,23951
DEFLPY;12413,23374,23391,23938
DEFLRU;
DEFLST;3226,12413,23880,23955
DEFLTU;18099,23932,23945
DEFLTY;3022,12413,23388
DEFLUU;22922,23357,23875,23917,23918,23932
DEFLUX;11792
DEFMOR;8221
DEFMRS;19165,23085,23099,23393
DEFNNO;303,7857,12349,12390,12391,18028,23379,23903
DEFNNU;18062,23312,23380,23888,23941
DEFNOR;11844,23068,23088
DEFNOU;
DEFNOY;7185,8244,11505,18205,19121,19964,20209,20231,22922,23397,23892,23896,23951,23958
DEFNRU;
DEFOOR;19947,19949
DEFOOT;23960
DEFOOW;23953
DEFOPP;
DEFOPU;23394,23396,23397,23938,23958,23960
DEFORT;
DEFOSS;304,11844,18207,22721,23909,23916
DEFOST;23880,23955,23960
DEFOSW;22732,22914,23907,23916,23954
DEFRRU;11507,23894
DEFRSU;19165
DEFRTU;
DEFSSU;3229,5960,18207,23909
DEFSTU;3229,11849,23385,23920,23952,23959,23960
DEFTTU;3219,3229,7935,8241,11849,12402,12418
DEFTUZ;12394
DEFUZZ;
DEGGGI;
DEGGHO;7890,11514
DEGGHU;11514,12425,23961
DEGGIJ;8247
DEGGIL;1871,1872,3233,11855,12427,12436,12437,18107
DEGGIN;8246,8248
DEGGIO;8247,12423,18107,23318
DEGGIP;5219,12423,12425,23318
DEGGIR;18106
DEGGIT;8246,23318
DEGGIW;
DEGGIZ;11858,12437,12443,23400,23402,23963
DEGGJO;8247,23879
DEGGJU;
DEGGLO;
DEGGLU;
DEGGMO;
DEGGMU;12422,12450
DEGGNO;65,23970,23973
DEGGNU;
DEGGOR;
DEGGOS;
DEGGOT;7890,23318
DEGGOU;12425,12439,12441
DEGGPU;8248,12423,12425,12441
DEGGRU;
DEGGRY;23971
DEGGSU;
DEGGTU;
DEGHHI;18031
DEGHIN;
DEGHIR;23998
DEGHIS;23426
DEGHSU;17662
DEGIIK;8263
DEGIIM;17485,19860,23408,23431,23986
DEGIIN;
