AABB;AILT,CINR,CIRR,ELNN,MMOZ
BBIS;ACLY,AHNO,CLMU,CLRY,CLTU,CPUU,GINN,GINR,IILM,LRTU,LTUY,ORTU
BBLO;ACKW,ALLW
BBLU;EOTW,LOYY
BBMO;AAMZ,ACCK
BBOO;ENRW
BBOS;BITT,EINT,EITY,HINS
BBOU;ABST,ACEH,AILT,CKLS,ELLY,ELTW,LLYY
BBRU;ACEE,ACKN,ADOR,AEEQ,AEIM,BMOO
BBSU;EHMT,HINS,HOOW
BBUU;BDRY,DDEN,DENR
BCEI;CERR,CHRU,EEHR,ENOT,FFIR,GHLN,GHNN,GINO,HMRU,HNNO,ILNV,MRRU
BCEK;AACH,AALM,AALP,ABNU,AFOO,AGLL,AGMU,CHOX
BCEU;ACFL,AFFL,AILT,ALMT,ALTT,AOPU,EFLT
BCHI;BGIN,BLUY,CDKO,DDEL,EGLN,EGNN,ENNO,GNNU,GNPU,LNUY
BCHU;AAAL,AAAM,AIMR
BCIR;BGIN,CEER,CTUU,DEIR,EFFI
BCKO;ABCM,ABDN,ACOT,ADNW,ADOW,AEFO,AHOP,AJOT,CDHI,CEHX,DNOO,KOOO,OOPY
BCKU;ABEN,AEGM,AFLL,AGLM,AILT,DILL
BCLO;AAHO,ACOO,COOO,FOTU,HNUX
BCLU;ADEE,ADHN,ADLN,AEFF,AEMT,AENU,AETT,AFKL,AGKM,AHLU,AKLP,AKOT,ALPY,BGIN,CKOT,DEEG,DEEI,DEEN,DIKL,EEFT,FOOT,GIKN,HINY,HNOX,IMOT,INOY
BCMO;ABCK
BCOS;AATT,DHOU,EIOP,EIOS,IOTT,OOSU
BCRU;AAAN,CITU
BCSU;BGIN,BIPU,CSUU,DIIP,OOOS,TUZZ
BDEE;ACPP,CHOU,FFPU,GKNU
BDEI;
BDEL;
BDEN;IIIK
BDEO;
BDER;
BDES;
BDET;
BDEU;
BDEY;
BDII;AALR,ACET,ACMY,ACRT,AJLR,ALLR,ALRR,AORT,ARTY,BKMU,CETU,DHRY,EELL,EEPT,EKTZ,ELTY,HPRW,IORV
BDIN;
BDIR;BGNU,CCKO,CLOU,CNUU,FFPU,FNUU,GNOU,HIPW,IIOV,LNPU,LOOY,LOPY,NNUW,OOTY,OUZZ
BDIS;AACM,AADK,ACKL,ACLO,ALOT
BDIU;AAEO,AEET,AEHT,AETT,CEIT,FFPR,IMRU,ORZZ
BDLO;CIRU,FTUU,ITUU
BDLU;FOTU,NOOO
BDMU;AADR,AALN,AALR,AGIR,BIIK,BIKY,IIRU
BDNO;ABCK,ACKW,CKOO
BDNU;AALM,ACLL,ALLW
BDOO;CKNO,FGNU,NNTU,NPTU,NTUU
BDOR;CCIK,IIIV,ILPY
BDOS;
BDOU;AAEI,AIKL,GHOY,IILQ
BDOY;AINT,FRSU,ISTU
BDRU;AADM,AALM,BBUY,BGIN,CINU,FFIP,FINU,GNUY,IIMU,ILNP,INNW
BDSU;
BEEF;ACDK,ACEK,ACNT,ADIT,ADMO,ADMR,AFNO,CEKN,CLTU,DFPU,DFRU,DFTU,DGGO,DINN,DITT,DRRU,FLMU,IIRZ
BEEH;AALL,AAMR,ABRR,AIRZ,ALLL,ALLP,BLOW,ELWW,GLMR,IKLR,LOOR
BEEL;BHOW,FFMU
BEEN;AACY,ACOZ,AFFO,ARRR,BIRR,EERZ
BEEP;AAMR,ACDP,ACRT,ADTT,AHNP,ARRY,ATTY,BITY,CRTY,DFFU,DIIT,DORW,GOOR,KMOR,MORT,NOTY
BEER;FIIZ
BEES;AABI,AQUU
BEET;AIUX,APTY,ATUX
BEGI;
BEGO;
BEGR;
BEGS;AEPW,AOTT,NOTT
BEGY;AABC,AAMN,ACKR,AEMT,AHRR
BEHL;EEWW,EGMR,EIKR,EOOR,EOVY,GIIP,GNOU,IMRW,INPY,IORR,OOPY
BEHR;DGHI,EGLM,ELOO,ILMW,ILOR,IOOP
BEHT;CNOP,GNOU,KOTU,MNOY
BEIJ;AGTU,AMNN
BEIK;LLOT,LMOT,NNOT
BEIL;ACKK,ACKP,ACNN
BEIN;AACM,AILV,CILV,DIIK,IIKM,IQUU
BEIR;CCHU,CEEH,HOOP
BEIS;EFIW
BEIT;AGJU,BIKY
BEIV;ACGK,ACNR,AEGR,AGHN,AHOR,BDMO,EORT,KOOW,MORR
BEIX;AELL,AELP,ALSU,DNSU,DOSU,EGIL,FSSU
BEIZ;
BEJN;AADX,AAOZ,AASX,ADGI,AILO,IORW
BEJO;AANZ,AILN,AKLU,IMUZ,INRW
BEJU;ACKL,AKLO
BEKM;AAET,ACGU,IIIN,INNR
BEKO;
BEKR;
BEKS;
BEKU;ACGM,AJLO,AMNT,BLOO,EGLY
BEKY;BIIT,EGLU,INRR
BELL;CKNU,HOOT,LLPU,MORT
BELO;ABEY
BELP;AADT,AANT,AANW,ACIK,AGHI,AIPR,AIRZ,AJMU,ALOW,AMPU,AMTU,BGIN,CIIO,CIRU,DIRU,GHII,HIRU,IMTU,IOPW,IRTU,IRTV,LLLU
BELS;
BELT;
BELU;ACCF,LLLP
BELW;AAGN,AAHS,AAKL,AANP,AAST,AETT,AHKL,CLRU,DEEU,DEIR,DELU,DILN,EEHW,ELTU,GINU
BELY;EHOV
BEMO;EHHT
BEMR;IINN,IKNN
BEMW;
BENO;EHOP
BENR;EEEZ
BENS;LLPU
BENT;
BENU;ESSS,IIMN,IIQU,ISSS,ISSU,LLOS,LOSU,SSSY
BENW;AADV,AALP,AILN,BDEU,DILL,GIIT,GILU
BEOO;ACHT,AMMN,CHRY,EHNP,ERRV,HIMN,HIPR,HMOX,MNXY,RRRW,RRVW
BEOP;ACHU,ACUU,AELN,AHIU,AILN,ALLW,CHNT,CIIL,ENTY,HLOY,HOOZ,ILPW,LLTY,NNYY
BEOR;
BEOS;
BEOT;ACHM,ACHO,AFHO,EMPR
BEOY;ABCH,ABEL,ACLP,AHLT,ALLT,ALLV,BBCW,CCIL,EHLV,FILU,LLPT
BEPU;ACHO,ACOU,AHIO,AJLM,ALMP,CILR,HILR,ILMT,ILRT,LLLL
BERR;
BERS;
BERU;
BERV;ILPT
BERW;ACIM,ADTU,CLLU
BERY;
BEST;
BESW;EEJL,EFII
BESY;NSSU,SSSU
BETU;
BETY;BEIM,BIIK,CEPR,CERV,CHIR,CHOR,DIIL,HILL,HILM,IKLO,LLOP
BEUZ;DLLO,EILN,ELMZ,EMRT,IJMO,IMNR
BEVY;ALLO,ALMO,CERT,EHLO
BFFI;
BFFO;AEEN
BFFU;
BFIR;
BFIS;ACKN,ACKT,ACLO,ACOT,ADEI,ADHN,AEIS,AENU,AGLN,AHLL,CEHU,DLUU,EEIW,EGIL,EHNO,GOOT,HILL,HLOT,HLOW,HMNU,ILMO,LLSU,LOTY
BFLO;AAEM,AATT,ABOT,ACDE,ACDK,ACEN,ACKW,ADEL,ADER,ADOT,ADRT,AELW,AEMR,AGLO,AITT,AKLR,ALOT,ALRU,AMRY,BGIN,CIRY,COTU,DTUU,EERW,FTUU,GLRU,IKOP
BFLU;AAET,ACCE,ACKL,ALZZ,CEET,COOT,DDEE,ELLY,GIMN,GLOR
BFMU;CIOR,FFLU,GILN,INOR,IORT
BFOR;AEFK,AELM,AGUU,AKLL,ALLU,ANTU,ELUW,EMOO,GLLU,NOTW
BFOS;ACIT,ACKT,AGOT,AHIT,DEOT,EHIN,EIOT,GIOT
BFOU;ADNR,AGRU,ALLR,ANRT,CIMR,CLOT,DGNO,DINR,DLTU,GLLR,IMNR,IMRT
BFOY;EILU
BFSU;AAEG,ADRW,AEET,AHST,CEHI
BGGI;ACMO,EEMN
BGIL;AHHL,ALLR
BGIN;AHWZ,BIIM
BGIO;AACM,ACGM,AHPR,HHRW
BGIR;ABCO,ABDO,AHOP,ALLL,BLUY,HHOW,LMOY
BGIS;CIKT
BGLO;AANW,ACNX,AOOO,FLRU,LLOR
BGNO;HTUU
BGNU;DFOO,HOTU
BGOO;AFLL,ALOO,CIIL,ELVX,HPTU
BGOR;ILMY
BGOS;AAET,ACHK,AETT
BGOY;
BGRU;AAAT,ADIM
BGSU;ACZZ,ADLY,ALLM
BHIS;BLOS,BNOS,BNSU,DEEW,DMUU,EEEV,EEFL,EERV,FILL,FLOT,FLOW,FMNU,GHHU,GNOR,IINN,IKRS,ILMP,NORW
BHLU;AAAC,AACK,ACDN,ACLU,ADEE,ADEK,ADEL,AEGG,AEOT,CINY,CNOX,EGNO,GIMN,ILPW,IORY,KORW,LNOR
BHOO;AACL,AEMR,ALLY,BBUU,DGUY,EELR,EENP,EIMN,ELLW,ELPY,EMOX,EOPZ,IKLL,KMNY,KNOR
BHOS;BILS,BINS,CIIT,DMUW,EFIN,EINN,EINW,ELLP,FFRU,FILT,FILW,INRW,NSUW
BHOT;AAEL,ALLM,FILS
BHRU;AETY,ILOY,KLOW,LLNO,OOTT
BHSU;BINS,BOOW,DIMU,DMOW,FIMN,GHHI,INOP,NOSW
BHTU;DEEE,EILR,FGIN,GINR
BIIS;ABHM,ACCS,ACHH,ACHP,ACNS,AEGM,AINR,AMNR,ANRY,ARSV,BBGN,BEGT,BGJN,BGNN,BILM,BLLU,CGKT,CHSU,CLMU,CMRS,EEFW,EEGT,EENO,EEPT,EETU,EETZ,ELMT,ELMU,ETUZ,FHLL,GNNW,HINN,HLMP,KLOT,LOSY,MMNY
BIJS;
BIKL;BLOO,CCLO,CDLU,CELU,COOT,EKOO,ELOT,EMOT,FOOP,HLOO,LUZZ
BIKN;
BIKR;
BIKS;AADD,CGIT,COTT
BIKU;ACLT,ADLO,ALMO,CDLL,LLZZ
BILL;ACFK,ACKK,ADHN,AGHH,AHKW,AHPT,AKLM,BKOO,CCKO,CDKU,DFLO,DINW,HKOO,HPUW,KUZZ
BILM;
BILN;CEEF
BILO;DNWW,DTUU,INTY,TTUU
BILP;BEGN,CEIO,DERU,DNRU,DORY,EEGN,EGHI,EHNY,EHRU,EOPW,ERTU,ERTV,FKOO,GINP,GNOO,HLUW
BILR;
BILS;
BILT;CHIY,CHOY,CIOY,CKOO,GINT,GINY,IMOY,INOY,OORT
BIMN;AACE,ACEE,AEHO,AMOO,CERU,CGRU,CGUU,EEGG,EEGT,EGOX,EHOO,ERUZ,GHTU,NUUU,RRUU,RUUV
BIMR;CGNU,EINN,EKNN,EORV,GLOY,ILLO,NRUU,NUUV
BIMS;DHUU
BIMZ;ENRU
BINR;
BINS;HIIN
BINT;AAAC,AMRU,DRUU,HKMU
BINY;ABCO,ADOT,IMMS,IOTV
BIOR;ABDG,ADDH,AEHV,AGHP,DUZZ,GHHW
BIOS;KOUU
BIOT;CHLY
BIRR;BNOY,CCNO,CHOT,HLOY,LLUY,MNUU
BIRS;
BIRT;
BISS;CHIU,DHOU,GHPU
BIST;CGIK
BISV;AAAT,AAOR,ACOU,ACRU,AILO,AIRS,ALOR,ALRU,AORT,RSUU
BITT;AAAC,AAAL,AALO,AFLO,CHOU,CIIO,LOUU
BJOS;AFRU,AGIO,ALMO,BIMO,BLOW
BKLU;CCOT,CDIL,HORW,ILZZ
BKNO;CDOO,DOOR,HMOY,HOOR
BKNU;AEMT
BKOO;ABKN,ACCT,ACDW,ACHP,ACJT,AHOT,CDNO,IINT,IUUZ
BKOR;HLUW
BKOS;IILT
BKOU;ADIL,AEJL,ELRV,EORT,ERTW,HLRW,IOUZ
BKOY;ADER
BKRU;CHNO,HLOW,MOOZ
BKSU;
BLLO;AELR,AEMR,AFKR,BIKO,BUYY,CCIK,DFIL,EEIK,EGIV,EHOT,EIKT,EMRT,EPTY,FGRU,GLOR,GNOY,HIKO,HNRU,LLOY,MORW,PTUU,TUUY
BLLU;CDIK,CEIK,CEKN,EEIN,EEMU,EGIL,ELLP,FGOR,FIMR,HIPW,HNOR,IKZZ,OPTU
BLOO;CCOO,CFTU
BLOS;
BLOT;CIIY,CIKO,DHOO,IIMY,IINY
BLOW;HKRU
BLRU;CMOO,FGLO,HKOW,HLNO
BLRY;AACR,AAIV,ABCI,ABOP,ACOX,AOPT,AOPV,CFIO,DIMO,DIOO,DIOP,GIMO,GOOY,HIOR
BLSU;IINQ
BMNU;AADL,ADOW,ALRU,CGIR,CGIU,DIOR,EIIN,EILU,FIOR,GHIT,HTTU,INUU,IRRU,IRUV,OORR
BMOO;AANN,AEMN,EHIN,EHOX
BMOR;AADN,AAGR,GILY,IILL
BMOS;
BMOT;ADHU,AHNY,AHOR,EEHH,EEPR,ERUW,HPTU,NOOW
BMOU;CCIL,CILT,HPTT,LOOT
BMOW;ALLP,GRRU,KOOR
BMOY;AFLR,AHNT,AIRS,GILR,IILT
BMPU;
BMSU;CJKU
BNNU;BLLU,DOOT,EIIM,IMUU,OTTU
BNOO;BIKL,CDKO,CIIM,CLMO,EEHP,EHIM,ELNN,EMXY,HKMY,IILV,ILLU
BNOR;
BNOS;
BNOU;AAHT,AFFT,EGHL,GHTU
BNOY;HKMO,IITV,OOSU
BNRU;
BNSU;ELLP,IILQ
BNTU;GHOU,HIKM,HMTU
BOOR;EERV
BOOS;COSU
BOOT;CFLU,ELUV,ETZZ,MNOW
BOOY;CEHR,CHIR
BOOZ;IKUU,KMRU
BOPR;AAAL,AADL,ABLY,ACDK,ACDU,ADMO,ALOR,ALTY,ALVY,AOTT,DILY
BOPS;AACI,ACKT,ADNT,AGLY,AILT,AITU,AKNT,AKOS,ALUU,ALYY,HKOO,LMUU
BORS;
BORT;CEEJ,EEMP
BORW;ACDK,ACKK,COOT,DKOO,DUZZ,GHHI,HKLU,KKOO,KMOO,KOOT
BORY;DILM,DILP,GILM,GLOY,HILR,HILU
BOSS;COOU,DHIU
BOST;
BOSV;AIIL,EGLU,EIMT
BOSW;AKNN,BHOU,CDIN,DDOU,DGOO,DINO,DNOW,DOOW,KNOT,NOOT
BOSY;AADT,AATT
BOTT;AAGR,AFHO,AOPR,CHIU,CIII,HMPU,ILUU
BOTU;
BOTY;ADIL,AELM,ALMS,BILS,CIIL,CIIP,EIKL,ELLP,IILM,IILN,IINV
BOUY;BELL,BLLY,CKLL,DGHO,EFIL,EGRR,EHNN,HILR
BOUZ;AELT,DELL,DIRZ,DRWZ,EIJM,IKOU,KMOR
BOXY;ACLR,BBOS,BERR,EFRR,EMNO
BPRU;ACDO,CEIL,DFFI,DILN,EHIL,EILT
BPSU;
BPUY;ACLL,CILL
BRRR;AAET,AAOT,AATY,ABEY,AEEN,AEET,AEHO,AEOT,AETY,DEEO,EEII,EOOW
BRRU;IMNU
BRSU;
BRTU;
BRUX;
BRUY;AAIT,ACKO,AIOT,DFOS,KOSW
BSSU;CHII,COOO,DHIO,GHIP,IMRX
BSTU;CUZZ,DLLU
BSUY;ADMR
BTTU;CHIO,HMOP
BUZZ;DIOR,DORW,EELM,IKLL
CCEE;AALT,AANT,ABLP,AEPT,AHIT,AHST,AINV,ALOS,ANNS,ANST,ASSS,CILT,DDOT,FFOT,HINZ,HKNS,ILMU,ILPY,IMNU,INOV,ITTU,LMNY,LOSS,MMNO,MOPS,NNOS,NSTU
CCEO;AHHK,AHPT,AITV,APTU,EFFT,EINV,EMMN,FFHK,FLLU,GILO,GINN,IILN,IINN,INNV,INOZ,IOTX,IOTZ,ITXY,LMPT
CCHI;
CCHO;
CCKO;DOOW,IKTT
CCOO;BILR,DIIN,DKOW,EGIL,EILM,EIMN,EINR,EIRT,EITX,ENRT,FKLT,ITXY,KPRT,LMPU,TTUU
CCOR;ANTT,ARTY
CCOY;CEGS,EINT,EIPT,EITX,ENRT,IINT,INPS,INPT,IOTX
CDEE;MOPT,NNPY
CDEI;
CDEK;EHTV
CDEO;
CDER;
CDEU;
CDHI;AAIS,AANP,ABCK,ACMO,ADIO,ADOY,AGNY,AIPS,AKNP,ANSW,BCKO,CIKP,CNOO,DHSU,GNNU,GNOU,IOSZ,MOSU,OOPW,OPSY,OSUV
CDIK;ABCH,ABLR,ABNW,ABRU,ACEH,AEHJ,AGIP,AHNP,AHOR,AHOT,AILP,ALTU,AMOO,ANPW,BCHO,BCOR,BLLU,CHIP,FMNU,GLOR,IMNO,KOPR
CDIO;ADHY,BCHK,HOPW
CDIS;
CDIT;
CDIU;AAOT,AATY,ABGN,ACIN,ACTY,AOOT,BEIT,BNRU,EEGR,EERT,EETV,EIRT,EIRV,GHNN,GHNO,GINN,NNQU
CDKO;AABL,ABBN,ABFL,ABHL,ABNW,ABOR,ABOW,ABRW,ADLN,ADRY,AHIR,AHIT,AHRR,AMMR,BCHI,BCIR,BNOO,CCLO,COOW,FOTU,GILR,IIMN,IKPR,LNOW,LOPR,OORW,RTUW
CDKU;ABIR,AILT,AKLW,BILL,CEOO,FIMN,FOOT,ORTW
CDLO;CCKO,GOOY,HOOT,KNOW,KOPR,LLOP,NOOW,OOTW,ORTY
CDNO;AAAN,AAMN,ABBK,ABKW,ADHK,ADKL,ASTW,ASUU,CIIS,IIKM,IIMU
CDOO;ABKW,ACGH,ACIR,ACXY,AFHL,AITU,ALOR,AMPR,APPR,APTY,CCKL,CKOW,DORW,FKTU,HILP,HIPW,HOPW,HRRU,ILPZ,ILTY,IRRR,KLPR,KORW,LLLP
CDOR;KLOP
CDOS;
CDOU;AAIT,AHPT,AIOT,ANOT,DMMU,FKOT,GHIN,GNOT,MNOP
CDRU;AAJQ,AAMM,AMPT,BINU
CDSU;
CDTU;FKOO,GNOO,IILY,IIPY,KORW
CEEH;AFWY
CEEP;
CEER;IOXZ
CEES;ELLU,LLLU
CEET;AADV,AAUV,AAVX,ACDP,ACEP,ADDV,ADKP,AKMP,CDDO,CITU,DDDU,DDKO,DKOP,HMOY,HOPT,IPPU,MOOY,OQTU
CEEX;AATV,AGHN,DNOT,DNOV,EGIN,GINO,GINY,GIOR,INOR,IORZ,IPRU,KOPR,RTUY
CEFH;CFKO,EORU,KOOR
CEFI;ACFY,BFIR,BLOR,DNNU,EGLN,ELLY,ENPP,FILR,ILLM,ILNO,LLLO,LOUV
CEFK;ABEE,ABIR,ABOO,ACFU,AEOR,BEEN,CFHO,EHIR,HOOR
CEFL;BEIN,BIOR,CLOU,DEII,DIII,DORY,EGIN,ENOR,FIIR,IILM,IINO,ILLO,IOUV,NRUU
CEFY;ACFI,ADER,AEHW,AEPT,AIMN,AIPR,ARTU,DIIT,DIOR,DLOR,ENRV,IILT,LOPT
CEGK;AART,ABIV,ABLL,ABMU,ABRY,ADIM,AEIL,AENR,AERW,ARTU,CHIN,CILN,EHIN,EILN,HILN,HINT
CEGL;CIKN,CIMY,CIOO,DEOO,DIIP,EFIN,EHOW,EIKN,EIOT,EIRT,FIKN,FINT,FNUY,IIMO,IIOP,IIOZ,IJOU,IKKN,IMMN,IMNO,LOOU,NOTY
CEHH;AADE,AADY,ACKO,AIPS,AIRR,CIIR
CEHK;
CEHL;
CEHM;EHNN
CEHO;
CEHP;CDIU,IIMT,KNUY
CEHR;
CEHS;
CEHT;CDOO
CEHW;
CEHY;AADH,ADNR,KNPU
CEHZ;AAAL,AAIR,ATTU,EIIT,IMOR,MOOS,NOSS,OOOR,OTTU
CEIL;
CEIM;
CEIN;COOZ
CEIP;AATT,ADFI,AGIM,AITX,CDHU,GNOO,GNOY,HIMO,HIMT
CEIR;
CEIS;
CEIT;AIPX
CEIV;
CEIW;ABKZ,ABMR,ABRS,AERS,AHKL,AKLL,BMOS,DLOO,DMOO,ERRS,KLSS
CEKK;AALW,ABIL,ABRU,AMRU,CILO
CEKM;AAIT,AAPR,AARR,ABGU,AEPT,AHPU,AINN,ANRT,IIMR,IOPT
CEKN;ABBD,ABDN,AIMN,EENP,PRUU
CEKO;ABFO,EJTT
CEKP;AABL,AHMU,CHIN
CEKR;
CEKU;ABGM,ACFF,AHMP,AHOT,CDOO,CHOT
CELL;BKNU,EENR,ERVY,GRYY
CELM;ERTU
CELO;
CELS;
CELT;
CELU;CEIM
CELW;AABY,AAKK,ACYY,AIKL,ALTY,DIKY,NORT,NORY,OORT
CEMO;CEMN,DDNU,EGNY,ENYZ
CEMR;
CEMY;CGIL,EOOT,GINO,GINU,IILN,INNO,OTXY
CENO;CEMM
CENS;
CENT;
CENU;
CEOP;
CEOR;
CEOS;AFFF
CEOT;CEFF
CEOV;
CEOZ;HTTU
CEPR;
CEPS;
CEPU;AHKM,CDHI,EIPT
CERS;
CERT;
CERU;
CERW;ABIM,ABRY,ATTU
CESS;
CEST;
CESU;
CESY;ACNN,DILX,GILN,GINN,ILNN
CETU;
CETY;ADNT,AGOT,AMMO,DENN,DFII,DIIW,MOXY
CFFO;AHNR,AKRT,CEHK,KKNO
CFFU;ABKP,ACEK,IRTY
CFIL;BEEN,DEEI,DEII,EEGN,EELY,EERY,INUU
CFIO;AACC,ABEN,ADNR,AHNU,CINR,CKNY,GHNO,HINO,HIRR,PRUY
CFIS;
CFIU;AGTY,ALOT,BMOR,CERR,CIRX,CLLO,EEPR,EFOR,ELOV,MNOR,NNOT,OPRY
CFKU;ABFP,ABLL,ACEF,CHLO,DIMN,DOOT,EEHL,FILN,LRTU
CFLO;BOTU,CELU,COOO,DERY,EENR,EPTY,HPUU,LORU,NORT
CFNO;ADEW,AEMO,AGKP,CGIL,CIIR,CIKY,EIIL,EOTT,FKKO,GHIO,GIKL,HIIO,LORT,NORT
CFOO;AACG,ABEK,ACLN,ACRT,AEMN,AEPT,AERT,ALMN,ALNN,BLTU,CKLT,CLOO,DKTU,EKLR,ENTT,ERTU,FKKN,ILMR,LLRU,LNRT,NNRT,ORTW
CFOR;AALP,AHLO,ALSU,CIIN,HIIR,IPUY,LLOU,LNSU
CFOT;ABKS,AEOP,AEPS,AKST,AMTU,APST,BLOU,CEEF,CKLO,DKOU,ELPY,ENOT,FILP
CFRU;BIMO,CEIR,CIIX,EEHL,EEHO,EEIP,EFIO,EFLO,ELNU,IMNO,IOPY,LLOO
CFSU;
CGHO;AALL,AAPZ,AEMR,ALLR
CGHU;BINN,BINP,DINN,EINQ,EMRY,FFIN,GGIN,HINN,IINQ,IMMN,IMNN,IMNP,INNP
CGIS;AATY,AEFP,BBNU,BIKT,CENP,DDNU,DEEN,DEKN,DELU,DENY,DNTU,EEEN,EEMN,EKNP,ELMP,FFNU,GGNU,GLRY,GNNU,HMPY,IKMM,IKPT,KPTU,LPTY,MMNU,NNNU,NPPU,NTTU
CGKU;ABEM,ABLM,AERT,AINN,AINQ
CGLO;AAHL,ABNX,AHLR,EEHW,ENTY
CGOR;EELL,EEMM,ELLY,MNNO,MNNU
CGOS;AIIM,AKMM,CCEY
CGSU;ABZZ,AEFL,AILR,ALLP,APPU,BBIN,DDIN,DINT,EEQR,EIRT,FFIN,GGIN,GINN,IILN,IIMN,IINN,ILLN,ILMN,IMMN,INNN,INPP,INTT
CHIK;DEEL
CHIL;BBSU
CHIM;
CHIN;
CHIP;AJKW,CDIK,DOOW
CHIR;
CHIS;
CHIT;
CHIU;AGGN,ALOP,BBLY,BGNN,BGNP,BOTT,CGHO,DGNN,GGGN,GHNN,GNNP,LOTY,OPTT
CHIV;AACZ,AALR,AORT,GNOU,KNOO
CHIW;AEKL,AFRS,AJKP,AKKS,AKLL,AKRS,DOOP
CHIZ;AABC,AACV,AAER,AAKK,AAMN,CINU,EEIT,EMOR
CHKO;AAKZ,ABDL
CHKU;AEMP
CHLO;BNUX,CFKU,FPUU
CHLY;ACFT,AGOO,AHSU,CHRU,DOOP,OPST
CHMO;
CHMU;AAAB,AACH,AEGM,EGRY
CHNO;BKRU,BLUX,MRRU
CHOO;DRRU,ORYZ
CHOP;
CHOR;
CHOS;
CHOT;
CHOU;AAHR
CHOW;CHOW,DIOP,DNOW,DOOP
CHRU;AAHO,ADMO
CHSU;
CHTU;APTY
CHUY;AART,AEGL,AILR,AIMT,APTT,ARRT,BERT,EGMR,EKPT,ELLO,IPRR
CHWY;AAHT,ACRT
CIKK;CIPW,COTT,DNOW,DOPR,GNNO
CIKL;ABDR,ADIP,ADTU,AHLW,AHMY,AHPT,AMOT,BDLU,BOOT,DGOR,IOPT
CIKM;AAET,AANW,AENN,AGLN,CHPU,DINO,EIMR,ENOR,EOPT
CIKN;AAMW,ABDW,ACKN,AEMN,CFOY,COPR,DIMO,FIIN,IOOT
CIKP;ADGI,ADIL,AFLT,AHJW,AHLT,CDHI,CEHN,CHMU,CIKW,CKLO,FIKL,ILOT
CIKR;ADRY,DGLO
CIKS;
CIKT;AAEM,ACKT,ACLO,ADLU,AFLP,BLOO,CKOT,DNOW,ILOP,INOO
CIKW;AAMN,ABDN,ABEZ,ABGN,ADNP,AEHL,AELL,AGHN,AHJP,AHLL,CIKP
CIKY;
CILL;BBUY,BCKO,BDKU,BPUY,CCYY,CGOY,COTY,GGOY,IMTU,INOP,MNOR,NOOT,OOOT
CILO;AAIM,AAJM,ALLP
CILP;CKKO,DOOZ,FIKK,GNOP
CILR;ADDW,ADFM,CGIN
CILT;
CIMO;AAIL,AAJL,ELLY,OOTZ
CIMR;BILU,GRUY,ITTU,LMUY
CIMS;CINY,DIIN
CINO;EEPU
CINQ;AGKU,AGLU,APUY,DNUU,NUUX
CINU;CDIL,DNQU,NQUX
CINZ;AAEL,AAHM,AEFR,GHIZ
CIOR;
CIOT;BHTU,EHMW,MOOZ
CIOX;
CIOZ;DLOP,GLOO,HIMR,HLOO,ILOT,IMSY,MOOT,OOTX,OPTY
CIPR;FILO,GNOP,GNOU,IINP,IRTU,PRUU
CIPS;BBUU,IINT,INTU
CIPY;AALL,ADHO,ADIN,ADLL,AENU,ANQU,BLLU,EEEE
CIRS;
CIRT;BCUU,GILU,ILUU,IMTU,IPRU
CIRU;BCTU,CFIX,GMRY,IMTT,IPRT,PPRU
CIRY;AACT,AADT,ACOS,ADIT,ADKR,ADTW,BHOO,CITU,FFTU,GMRU,HHMT,IMST,INOS,MNOS
CISS;BHIU,CHNU,HRRU,LOUU
CIST;AIPP,IINP
CITU;AADO,ADOO,AIMV,AOPT,DIPY,HOPT,IMRT,IOQX,IPRR,KORT
CITY;AACR,AAGS,ACIN,ACNO,AERR,AFNS,AIMN,AINN,AINT,ANNR,ANNS,ANST,ANSY,AOOZ,AOSS,BCIU,CINO,CIRU,COOX,FFRU,IINO,IINV,INOT,IOTX,JOOS,NNOS
CJKO;AGIJ,ALLR,EETT
CJOO;AENN,BERT,NNTU,NRRU
CJOU;EGIL
CKLO;DGIR,IIPT
CKLU;BDIL,FRTU
CKMO;ABBC,ABOR,ABRR,ADMR,AKPR,DIIN,EIPT,MRUW,NOOR,OOOR
CKMU;CHIP,CHNU,CKLU,MORW
CKNO;ABBD,ADDH,AFGP,AHOT,BDOO,DIIM,IIOT
CKOO;ABCT,ABDW,ABEF,ABEL,ACLL,ACOP,ACOT,AEMN,ALPW,BDNO,BILT,BKOO,CCDL,CDOW,CFLT,DFTU,DLNW,ELLV,FFKN,IINT
CKOP;ABHO,ACOO,AERV,AERW,AFGN,AKMR,CIKL,CINR,CORT,DIKR,EERX,IILT
CKOR;DGIL,DIKP,MMUW
CKOS;FFFU
CKOT;ABCO,ABJO,ACIL,ACOO,AILN,BCLU,BILO,CFLO,CIKT,DFOU,DINW,EEJT,IILP,IINO
CKOW;BIRR,CCOR,CDOO,DLNO,DOOR,EORR,KORR,MMRU
CKOY;AALW
CKPU;CHIM,EHNY
CKRU;MMOW
CKSU;
CKTU;ABIL,ADIL,BCLO,DFOO,EILL,EILO
CKUY;EHPT
CLLO;BCIK,FORU,FPRU,HIOT,IINP,IMNR,INOT,IOOT
CLLU;ABDN,ABFK,ABHU,ABIR,ABKP,AEFF,AFMR,AMNO,ARTU,BDIK,BEIK,BEKN,FOOR,FOPR,IIMT
CLMU;ABGK,AFLR,CEEI,EFIR,IMRY
CLNO;AMRY,BHUX,DJUY
