AAAADNP;ILOTT
AINOSVY;EERRR
AINPPRS;AACTY,ACITT,AHITZ
AINPQTU;AEIOR,CDEEL,CELOU
AINPRSS;AHKMM
AINPRST;
AINPRSU;CIORV
AINPRSW;
AINPRTT;ACHOU,BIILY,CIIRU,CNOUU
AINPRTU;ACHOT,CDLOO,CNOTU,DIIOT,LOPUY
AINPRTW;BEGOO,FGGIP
AINPSST;COPTY,HMOOT
AINPSSV;AEGLR,EERUU,ILOOR
AINPSTU;
AINQRST;
AINQRTU;
AINQRUY;EFGIL
AINQSSU;ACDOR,AITTT,CIIOT
AINQSTU;
AINQSUY;BELOT,EELLT,ELMOU
AINRRTY;ABNOR,ABOOP,ADIOT,AELLM,AILLO,ALLMU,BEEPS,CEENT,CEEOS,CENOU,COOPS,EEOPS,EOOTX,HOSSS,INOTU
AINRRUY;AGOTU,ALLMT,CENOT,DGOST,EGLSS,ELOSV,INOTT
AINRSST;
AINRSTT;
AINRSTU;
AINRTTT;ACHIR,AELOP,AGOOU,AOOOU,BDEUU,CEORU,EELUX,EEOOX
AINRTUY;ACEMS,AGORU,ALLMR,DGORS,LOPPU
AINSSTT;
AINSSTU;ADGRV,AIQTT,BGJOU,CIIOQ,GOORR
AINSSXY;
AINTTVY;DEELO,EEELR,EEMRS,LORSU
AIOORRW;DEHRT
AIOORSS;AAMNP,ABDLR,ABHPT,ACCNY,AEHLR,AEMNP,AEMPZ,AHMNP,AMPPT,BEHPR,BEMTT,BNNTU,CCHRU,CDEHN,CHMPY,CHTTY,CMPRT,CPRTT,DINNT,DPRUU,EENRU,EGHNP,EGMTT,EMTTU,GHPRT,GHPTZ,GMMPT,GMRTU,GNRTU,GNUUV,GRTTU,HKKRW,HMNPT,HNPPT,HNRTU,IMNPT,IMNPU,MRTTU,RTTTU
AIOPPRR;ABELP,ACDEI,ADGNP,AEHMN,AHMMS,BEELX,CEELT,CEGHR,CEGHT,CEITT,CELTT,CGHNO,CHLOS,CHOST,DEIST,EEETV,EENTT,EINST,EMSSU,EMSTU,EORTX,ESTTU,IMORT,LNOOT
AIOPRRT;CCCHI,CGHHO,IMOPR
AIOPRRX;ADENU,BEELP,BEETV,BEGNT,BENOT,EOPRT
AIOPRST;
AIOPRSV;BITTY,INORY
AIOPRTT;ABEHO
AIOPRTY;ABNOR,EENRS,EGHPS,EHMOS
AIOPRUV;EINTT
AIOPSTU;DILLV,EHORX,GHHLO,HMOPP
AIORRRW;
AIORRSU;AACHN,ABLPT,CDGPT,CDIOV,CHOPZ,CINPV,DELNP,EENOS,EPPTT,EPRTT,HLPXY
AIORRTT;EMUVY
AIORRTX;ACDDE,BEEPV,BEGNP,BENOP,EEMNT,ENOTY,EOPPR
AIORSST;ACFTY
AIORSSU;
AIORSSV;
AIORSTU;
AIORSTV;
AIORSTY;ACCKK,ACFST,CCGHH,CEETU,CHOST,EENPR,EGHPP,HNRSS
AIORSUV;ELNNN
AIOSSTT;ABDHV,ACFRY
AIOSSYZ;GHPPY,ILNTT
AIOTTUW;
AIPPRRS;AAAGH,AACHT,AAGHN,AAGHT,AHMMO,CHLOO,CHOOT,IOOTT
AIPPRSU;AHHOT,BCILN,ENOPQ,GILNO,HMOOT
AIPPSST;AAKNO,CNOTY,NORUU
AIPRRTT;AACEH,AEGIN,AGHSY,AHINS,BEEUV,CEEHN,CIINU,EEENT
AIPRSST;
AIPRSSW;EEMNP,EGNRT
AIPRSTU;AEGHO,CDGOR,CFIOR,EHOOX
AIPRSUY;ACILR,BCESS,CEILR,DEMMO,DEMOT,EELSV,EGHHW,EGRTV,GHMOT,GLNSS,GMMNO
AIPRTVY;ALLSU
AIPSSTT;ACHRU,HIIPR,IILRU
AIPSSTW;CGHNR
AIPYZZZ;
AIPZZZZ;
AIRRSST;ABGGM,ACNNU,CNOOP,COOPT,FILOS,ILNOS
AIRRSZZ;
AIRRTZZ;
AIRSSSU;ADNOP,BBMNU,EEFNN,EELQT,EENNW,EEPPR,EHNQS,FNNOT,GILNT,ILTVV,INOPT,NORTU
AIRSSTT;
AIRSSTU;CHIIR
AIRSTTT;BILUY
AIRSTTU;ACCIR,BDEIV,BDIRY
AIRSTTY;CHOOS
AIRSTTZ;
AIRSTVY;ACLNO,ALLPU,IINTT,LMNOU,LNOTU
AIRTUVX;
AISSSST;AHLPP
AISSSTX;HNOOP
AISSTTT;
AISSTTU;AINQT,GLMOO,GLOOT
AISTTVY;ACIOV,EEMNR,EHIUX,EINRR,IINRT,LNORU
AISTUVY;AELLS,ALLPR,EEHLX,EELLL,EGPRR,EHITX,ELMPS,LMNOR,LNORT
AJKMNNU;
AJKMNTU;
AJKNSSY;
AJLLRUY;CIIST
AJLMORY;
AJLNORU;CCNTU
AJLOORS;DEPUY
AJLOPPY;
AJMNRUY;
AJMOPST;CEEGR
AJMRSTU;DEENT,DENNO
AJNORST;DEMNU,EERUV
AJNRSTU;CINOO,DEEMT,DEMNO,EEORV
AKKKOOS;
AKKKORU;
AKKLRSY;
AKKLSWY;
AKKMOOT;
AKKNRSU;
AKKOOPS;
AKKOQSU;
AKKORSU;
AKLMMSU;
AKLNOSU;DEGRU,EEEGM,EIILR,GIPRT
AKLNOSX;
AKLOPRW;
AKLOSST;GIORY
AKLOSTW;
AKLOTTU;
AKLOTUW;
AKLPRSY;BEERR
AKLPSTU;ENPRT
AKLPSUW;
AKLRSTY;ACGIN,BCEER
AKLRSVY;
AKMNORW;EGILT,GIRSY
AKMNRTU;ABEEL,AELNO
AKMNSSU;
AKMOORT;
AKMOOSS;HILRW
AKMORST;EEERT
AKMPRSU;
AKMQTUU;
AKMRSTU;
AKMSTUU;
AKNNOOS;LOPTZ
AKNORSU;DEGLU
AKNORSY;BDEGI,EEIKS,EIIKS,GIMRW
AKNORTU;ABCCM,AELMN,BCCEM,CEMMY
AKNOSTU;
AKNPSYY;
AKOOPRT;AELNN,CLNNY,ELMNN
AKOORRS;EFLLW
AKOOSTU;EEGNR
AKOPRRU;AEGHN
AKORRTW;
AKORRWW;
AKORWWX;
AKOSSTU;
AKOSTTU;
AKOSTWY;
AKQRSSU;ACELV
AKQSSUW;
AKQSUWY;
AKRSSTU;CFGIN,EENPR
AKSSWYY;
ALLLOST;BCCEE,CEHMS,CEINR,CGIIY,CHIIY,GIOSS,IISTY,INPUU
ALLLOYY;BCIMS,BCIPS,BELPS,CCCIN
ALLMNOP;AARRY,AINSY,BCEET,BEEUY,CCETY,CEEMT,CEHIY,CEIMT,CEIOT,CEIOX,DEEEI,EEGOR,EEGSY,EEHNY,EEHOT,EINRY,EIRSY,FISTU,GISSY,GISYZ
ALLMNOT;AACIY,ABFYY,ACISY,AENRY,AFIMU,AIIIT,AITUY,BCEEP,CCEPY,CEEGI,CEEMP,CEIMO,CEIMP,CEIOP,CIISY,CIORY,CORUU,EEHOP,EGIRS,EMNUY,FIPSU,GIIST,GIORY,IIIIT,IOPSY
ALLMNOY;AACIT,ABFTY,ACEIT,AITTU,BEEPU,CCEIO,CCEPT,EEHNP,EELTV
ALLMNPU;BEEOY,CDIIT,EEHIN
ALLMOOS;ABGIT,ACEGI,ACGIT,ADINT,AEHJT,AHIJT,APPRT,BCGIY,BCINY,CCGIO,CCINU,CDILU,CEGII,CEGIU,CGIIT,DORUY,EHHIT,EHUXY,EIIST,GHPUY,GINNU,GPUYY,HHIMT
ALLMORS;AACNY,ACGIY,AGGIR,AGINY,AHIPX,AOPPT,APXYY,CIUUY,DIITT,DOOUY,IINTU
ALLMORY;CEHSY,CISUU,DIIPR,EEHMW
ALLMOSS;AHMRW,DDINR
ALLMOST;AOPPR,BORYY,CEEEN
ALLMOSW;
ALLMPUU;
ALLMSUV;EIITY,EINRT,EINTT
ALLNOPS;HHTXY
ALLNOTY;BCLOR,CCEMP,CCEPU,CEEPS,CEEPU,CERRU,CETUX,DEGIS,DEIOV,DHISU,EELMV,EGISU,EMMNU,GHOOR,HIORZ,IILOV
ALLNOYZ;CEIOT,GIMPS,HIORT
ALLNRUU;ACITT,AESST,BEENV,BEEPS,CEFGY,CEIMT,CIITV,CMOOT,EFOSY,EIMPS,GOOSY
ALLNSTY;AAHMP,AAINR,ACDIY,ACIMO,ACIPY,BCERU,CEEOP,CINOY,CIOPY,DHIOU,DIRTU,HHOPX,IMOOP,IOOPT
ALLNTUU;ACIRT,CFHWY,CIIRV,CMOOR,FFHIY,FHKNY
ALLOOPS;AAALZ,AALLO,AGHMU,AMPRT,CDIIU,CDIRY,CDIUU,CGHIR,CIITY,GHMUY,GMUYY
ALLOOST;ADERR,ADIIN,ADIMN,AEHJM,AHIJM,AMPPR,DEIRR,DIRUY,EHHIM,EHIRU,EPPUY,HHIMM,HIRTU,IINNP,IINPT,IINPY,INPTY
ALLOOTX;AEHNZ,AHIMY
ALLOPRS;AGTTU,AHIMX,AMOPT,CGHIO,ILNOU,NOOPR
ALLOPRY;AAMNR,CDEII,CFIIL,CIINV,DIIMR,IMNNO
ALLOPSW;ACEGS
ALLORSS;ABGMY,AHMMW,CCHOY,CGIMO
ALLORWY;EEHMM,EHOTT
ALLORYY;ACHPP,AMPSX,BDEHS,BDEHZ,BMOST,CDHIN,CEHMS
ALLOSSW;EEKMP
ALLOSTT;AAINU,ABINU,AGPRU,AIINN,BGINU,CDEPY,DIIIN,EHHPY,EIIIV,GIIMN,GIINP,IIINN,IIINT,IINOP,INOPY
ALLOSTU;AAINT,ABINT,AEIRT,AGPRT,AIRTY,BGINT,DERUY,DIIPV,DIORY,EGINY,EIPRT,EOPPY,IIMMN,IIMNR,IINRT
ALLOSTV;CIIIN,DIIPU,GIIIN
ALLOSTW;
ALLOSWW;
ALLOSWY;
ALLOTTY;ABFII,ACCNU,ACINR,ACIPU,AIMNU,CCHIP,CEEKS,CEEMP,CENUX,CHHIP,CIINR,IILSS,INOPS,INOPY
ALLOTWY;ABIIL,EHORT
ALLOTYY;ABFMN,BMORS,CINNS
ALLPRSU;DEEFT,EEESS,ILNOO
ALLPSSY;ABHYY,GIMNO
ALLQSSU;
ALLQSUY;CIOOU,EEINT
ALLRRUY;ACENV,ACIPT,AEMTX,AIMNT,BCETU,CDEOP,CENOT,CIPST,CSTTU,IOSTT
ALLRSTU;AEMNN,AENSU,AIMNN,CCFOO,DEEFP,DIINY,DINTY,DIOOY,FIIIN,FIINR,GIINT,HIOOT,IIMNO,IINOT
ALLRSUY;ACCFI,AEMNO,AEMNY,BIOSU,CGNOO,CHIOV,DENOS,DIOOT,DMOOO,EEFGP,EFNOU,EFOTT,GNOOU,IORTT
ALLSUUY;BIORS,CIOOQ,DGLNO,EFNOR,GMOOR,GNOOR
ALMMSUW;
ALMMSUY;ABLOX,ABNOR,BENOR,CENOT,GNOOO,HOOPT
ALMNNUY;AABEG,ABFOT,ABGII,AEILS,BCIOS,BEOST,EFGIL
ALMNOOP;ACHMY,AEFTT,CCCEU,EEFTT,EEHLT
ALMNOOT;ABDDZ,AEFPT,AEHXY,CEENU,CEESU,CLRUU,EEFPT,EEHLP,EOPSU,OSUUY
ALMNOOW;CCINU
ALMNOPS;ACCUY,BCHRU
ALMNOPW;
ALMNORS;AACLY,BCCIK,CIUUU,CNOOS,GNOOU,OPUYY
ALMNORU;DHIIP,EHORU,ENOOT,GIINZ,GIOPS,GNOOS,HIOSY,IINTT
ALMNORY;AGPSS,EEESY,HIOSU
ALMNOSS;CNOOR,CORTY
ALMNOSU;ABMNT,ACCPY,GMOOY,GNOOR,GOPTY,HTXYZ,OOTUY,OPRYY
ALMNOSY;ABCEF,ACCPU,AGPRS,AOPST,BCINU,BEMRU,BENTU,BIRTU,CDEIU,CEMTU,EEERY,EIQUU,GIOOO,GMOOU,GOPTU,HIORU,HTUXZ,IRTUV,OOTUU,OPRUY
ALMNOWY;
ALMNPSU;BEERT,BGIOU,EERRT,EHRUY,GIOOR,GOOTY,OORYY
ALMNRSU;ABTTY,GNOOO,OOPYY
ALMNSUU;AILPR,BDEIT,CCEOR,CEPRU,DEERY,DEITT,EHPRY,EILPR,OOOTY
ALMOOPY;ACHMN
ALMOORS;
ALMOPPT;
ALMOPRT;ACCTU,AHIMU,HIOOY
ALMORRU;ABEPT,BEEKT,EEINT,EHNOU
ALMORSS;ABGLY,AEGPT,AGNPY,AHLMW
ALMORST;AAAGM,ACCUU,BEFOT,BLOYY,CEHOS
ALMORSU;
ALMORTU;AHIMP,BILLU,GGINP
ALMOSST;AGIMM,BGINO,CIMNU,CINUU,CNORY
ALMOSTW;
ALMOSXY;ABLMU,CIILN,EHINT,EHLOU,HNTUZ
ALMOTTU;ACCPR,AGHOY,AGORY,BIIOY,CEEOP,EFIIL,INTUU
ALMRSTY;ABNTU,AGIIT,BLOOY,CCIOR
ALMRSUU;AILNP,DEENY,EEHPR,EHNPY,EILNP
ALMRTUU;AACFN,ABFNO,ADENN,AINOT,BCIOR,BENOS,BILLO,CCEEP,CCFIO,CEEPR,DEFNO,FIIOS,IIOSV
ALMSSUY;BEIOT,EIPTV
ALMSTUU;ABEFN,BENOR,FIIOR,IIORV,NOOOY
ALNNOOR;CHIIT,CIOTT,DEIIT,EIITT,FIITU
ALNNOPY;ABDRU,CCEET,CCIIM,CKORT,DDEEH,DGHIR,EEHLM,EGIMP,EIIOT,GHORY,ILMOR,IMOOT
ALNNRSU;BCGIM,GMOOO
ALNNSUU;BCIIT,BEHIP,BHIPY,EGOTT,EIORT,IMMOT
ALNOOPR;BEEHY,EGIVY,GGHHI,GGHYY
ALNOOPT;AEFMT,EEFMT,EEHLM,HKLNO
ALNOOPV;EFIRT,EGIRY
ALNOORT;BDUUY,BHIIY,DEIIN,EIUVY,IIITV,NNUVY
ALNOOSS;ADEMY,AEPPR,AERTZ,AMPTY,BDOTT,CCEIN,CDEPR,CEIIL,CEILN,CMNOR,CMRTY,EMOPU
ALNOPPY;ACILT,CHIOT,CISTY,GGHIR,HHIRT,HIRST,HORST,IRTUU
ALNOPRS;
ALNOPSS;BEPUU,BGIOT
ALNOPTU;BCIMY,CEELY,GGILO
ALNOPYY;CHILT,GGHOR,GHNOR,ILOTT
ALNORST;
ALNORSU;AHRTY,HIMOY,MOPYY
ALNORUY;ABDNP,ABENS,ABMMS,ADMNW,AHRST,BCENT,BCIIT,BEGNV,BFIPT,CEILT,CELRT,CIILN,CINTT,EESTX,EFLSU,HIMOS,IPPTU
ALNORUZ;AIIRT,CEIMM,DEFIO,GGIIM,GIIJN,GIIMN,GIIPP
ALNOSST;ACERT,AEORZ,CCIIY,CEELT,CMORY,IIRRS
ALNOSUZ;CDEII,CEIMM,HMTXY,IIITT
ALNPRUY;ABDNO,AENST,BDGII,BFIOT,EEHSS,EGILL,EHMSU,GISSS,HIMTT,IOPTU
ALNPSTU;AERRU,BEEMR,CDEHR
ALNPTUY;AEISX,AELNS,AENRS,BDIIS,BFIOR,HIMRT,IOPRU
ALNPTXY;AEISU
ALNRSUY;ABENO,ABENW,ABMMO,ABMTT,AENPT,AHORT,BEFFI,BEITT,BEMMO,BIMOT,CCENT,CEHIT,EEHPS,EEOTX,EFLOU,EHMPU,EHOPT,GLOOU,HIMOO,MOOPY
ALNSSTU;BEEOQ,BEGUU,CEFHW,EEPRR,EFHKN
ALNSSVY;
ALNSTUW;CEFHS,EEFSS,EIMNO
ALNSUUU;CEGIT,CEMPR,CIMOR
ALOOPSS;AEGMU,AMNTY,BCITU,CCEOU,CCHIY,CDENR,CEOTU,CHIIP,CHLRT,DEENT,EERRT,EFHHT,EFIRR,EFNTU,EMNOU,GGHRY,HIPTT
ALOOPYZ;BEHLT,EGLOO,GHOOT
ALOORRS;ABDTU,AGHPP,GMPTU,LNOPP
ALOPPRS;HINTY
ALOPPRU;EINOT,GIINZ
ALOPPRY;CCENO,CHIMR,EHSTU,GIOST,HHINT,HINST,HNOST
ALOPPST;BIIOY,CEENR,CEEPR,CIINU,CINYY,DEEER,DHHIY,GHIIN,GHIRY,GIORY,HINRY,HIOST
ALOPRRS;ABDET,AGHOP,CEEHS,CEEHT,CHIIV,EEOST,EGGHO,EGHHO,EGHPY,EGHXY,LNOOP
ALOPRRU;ABEMT,BEENT,BEENV,EEFMT,EOTVY,FGHOY
ALOPRST;
ALOPRSU;GHMOO,MNOYY
ALOPRSY;AGMNS,CEIKM,CGNOY,DEJOU,GGHOS
ALOPSST;
ALOPSSU;FFGHT
ALOPSSW;ACEGL,EEKLM,EKRRT,HIMNP
ALOPSUV;DIINT,EERTU,IIRVY
ALOPTUY;ACILT,BCIMN,BFINR
ALOQRRU;BEIIT
ALOQRSU;AADIM,DIILN,EEFPW
ALOQSTU;BEENS
ALORRST;ABDOU,ABRUY,AHNUY,CCIMY,FIINT,FIISS,GILNO,GMOPU,IINSS,IINTY,IOTUY
ALORRSW;BEEHW,CEKQU,EFKLO
ALORSST;CHMOP,CMNOY
ALORSSU;DIRTT,DISTY,EIRTU,HIIIT,ILRTT
ALORSSV;AEORU,CHIIP,IMNTU,INTTU
ALORSTU;ABRRY,ACCMU,AHNRY
ALORSUV;ABGIN,BBEEN,BEELN,EEPTU,EINNN
ALORTWW;
ALORTYY;AEESS,BLMOS,CDENO,CEGMN,CHHIT,CHIMS,GGHPP
ALORUVY;BEGNN
ALOSTTU;CFIIY,CNORY
ALOSTUW;EIMNN
ALOSTUY;ACCIL,ACILM,AHNRR,CDIRT,CDNSY,DILOR,DIRRT,FGIIL,HMNXZ,ILRRT,IORRT,MNOOU
ALOSTXY;DEHRY,EENRU,EHIMN,EHINP
ALPRRSU;ACSTU,CEIIY
ALPRSSU;
ALPRSSW;ACEEK
ALPRSTY;CLLUU
ALPRSUU;AILMN,CEMNU,EEHMR,EFIOP,EHMNY,EILMN,IOORY
ALPRSUW;EEFOQ
ALPRSWY;GIINT
ALQSTUY;BEINO,EEILN,EESTU
ALRSSUU;ACOTT,AKNOY,FINOT,GIMTT
ALRSTTY;ABMNU,ACNPY,CLRUU,CNOOU
ALRSTUU;ACCET,ACEQU,ACIIR,AELNS,CEENT,CEGIR,CEILR,CEIQU,CIITV,EGOOY,EIORS,FIIMO,IIMOV,IINOX
ALRSTUW;
ALRSUUV;AAEQQ,ACMTU,CCIOY,CHINO,CIITT,EEOPT,EIOPT,IIMOT
AMMMNOS;CEILS,EGORR
AMMMOSU;
AMMNOOR;CHOSY
AMMNOOT;CEHLW,EENSU,EFILN
AMMNOPS;AHINY,CCELO,CERTT,DEINU,GGIRR,GIRUY
AMMNRUY;ABLOS,CEKOT,COOST,EELOT,GIOPS
AMMOORR;CEMOT,CGIPR,EEHNT,EHINT
AMMOPTU;AHILR,CEERT
AMMORST;AAAGL,ACIIS,CDHII,HIOPU
AMMOSXY;ABLLU
AMMPSUW;
AMMRRSU;BCGIO,BEEST,CEIIL,CEIOT,EIITT,INOTU
AMMRSUY;ABLNO,BELNO,CNOOT,DEIOP,GINOP
AMMSSTU;CNOOR,HIOOP
AMNNOOX;
AMNNORS;CLOOS,HHIOP,HIIOU,HIOUU,IIITT,IIKPS,IISST,INNTU,IPTTU
AMNNOSW;
AMNNOSY;BCILU,CCCIO,CCEEH,DEHLU
AMNNOTT;ACIIR,AIILP,BHIIR
AMNNOTY;ABFLU,ADNOR,AELLR,AEORU,CDEOR,EEHPR
AMNNOUW;CCILO,CORTY
AMNNSTU;ABLMO,AEFOO,CEENO,CEEOR,CEGII,EEMOO,EGGII,EGNOR
AMNOOOS;BIRTY,CEHRU,CHMRT,CHMRY,DEGIL,EGPTT,ELPSU,ELPTU,EPRTZ,ERTXY,GILOY,GISTU,IIRTT,IPRTT
AMNOOPP;CCHIT,GHIPT
AMNOORS;AEHPS,AEIPS,AHIPS,AIMNY,BIIPT,CHMOY,CLNOS,EHIPP,HHINP,HIPST,IIOTT,IIPST,IIPTT,IIPTX,IOPTT
AMNOOST;AEFNU,EEMNU,ELOPU,GLPUY
AMNOOTT;AEFLP,BGIOR,CEHIL,COXYY,EEFLP,EIILY,GIIUZ,HOPRY,IIIPZ,IIORZ
AMNOOTZ;ABDDL,ADIIN,AIILR,AIINR,BIIIL,GIITU,HIIIN,IIIPT,IIORT
AMNOPPR;AACHN,ADGIS,AEHIR,AGIKY,DEESW
AMNOPRT;GHOYY,HOOTY,HOSXY
AMNOPRY;AALLR,EGHHR,EILLN,HOOTT,ILLNO
AMNOPST;ALORY,CELNT,EGOOT
AMNOPTU;BCILY,CDIIL,CEINR,CGIOR,GGILR,GILOR
AMNOPTY;BCIIL,BCILU,CINOS,EEGRS,GIOST
AMNORRS;GIKWY
AMNORSS;ABILM,AGLPY,AIILM,BCHIU,BCHOP,CLNOO,DDILL
AMNORST;IIINT,IIOOT
AMNORSY;AGILL,GIKRW,HILOU
AMNORTU;ABCCK,ABFLU,CLLOU
AMNOSST;
AMNOSTU;ABLMN,DOOOT
AMNOSTV;AHIKS,AIIIS,AIILS,CEEIP,CEIMU
AMNOSYZ;CEIIT,GILLP,HLTUX
AMNOTUY;ABFHL,ABFLN,BCILP,CEKMR,EELMR,ELLMN
AMNPSTY;AAHLL,ALOOR,ALOOS,GLOOU,HOORX,IILOR,ILLOO
AMNPTYY;EHLOS,GHOOR
AMNQTUU;
AMNRRUY;AILLT
AMNRSTU;
AMNRTTU;CCEEO,CCEIU,CEEIV,DEEIN
AMNSTTU;DOOOO
AMNSTUU;ABEFL,ACEFR,AINRR,BCIOR,BDEIL,BEIIR,BELOR,CCDEO,CCIOO,DENRT,DERRT,EEORV,EGIOR,IIOPT,IMORR
AMNTUUY;IIMOT
AMOOORS;BDHIP,BINTY,CEHNU,CHILP,CHMNY,DDENT,EHMPT,ENPTZ,ENTXY,GHLPU,GLNNU,IINTT,INPTT
AMOOPRS;DDENU,EGRRV,HHINN
AMOOPRT;AHILN,CEHHU,EEERV,EFRRY,EHHIY,EHHLT,GILNU,HILOY,HNOTY,IIPRR
AMOORSU;AEHTT,AETTT,BDRZZ,DDENP,EEGHT,EENPT
AMOORSV;CEIIT,EGPRR,IIPRT
AMOORXY;AILLR,HNPST
AMOPPSY;ACILT,CHIMT,EHILN,EHLRR,EILNR,GGHHR,HIRST
AMOPSTT;AAHLY,BEEER,CEMNR,CIIIL,EGNOO,GILOO,GOOVY,HIOPR,IIINO,INNOU,INNRU,INOOR,ORRRY
AMORRST;
AMORRSU;BDOZZ,CEOPT,DEPST,DEPTY
AMORRSW;
AMORRTY;CCILS,DEHHL
AMORRUY;
AMORRWY;EEHST
AMORSST;ACOPS,ACOTY
AMORSSY;ABGLL,ACDHP,ACOTT,AGLNP,CHINN,CLNOT,GGHMP
AMORTTU;AAABR
AMORWWX;
AMOSTUW;ABHIT,EILNN
AMOSTUZ;EILRT,HLNXY
AMOSUYZ;HLNTX
AMPRSST;ACOOS,CHLOO
AMPRSUW;
AMRRSTU;AINNU,CGOOP,GLOOP,HIINN,IIOPP
AMRRSTY;ABOTU,AEQRU,CCILO,DEOPU,EEHOW,EENOP,FGINO,OOPRT
AMRRSUY;AEQRT,DEOPT,DGHRY
AMRRTYY;CEHOP
AMRSSTU;CMNOO
AMRSTTU;AGHUU
ANNNOSY;ACHIT,CHIIP,CILTT,DHIOP
ANNOPRS;BGIKW,CEENU,CEGIM,CGIMN,DEISU,EEHIP,EEINS,HISTU
ANNOPSS;DEHRY,EEHRW
ANNOPST;
ANNOPTY;ACEIP,AEGLL,CCEEL,EIILO,ILMOO
ANNORST;AAHIZ,HIPSU,IIMSS,IMNNU
ANNORSW;AABDE,BDGIO,BGIKP,DDESW
ANNOSST;
ANNOSTW;AGHII
ANNOSTY;ACILP,CIILU,CILLY,EHHIP,EILTY
ANNOTTY;AEHIP,AEIMU,CIILU,CILRU,EILLR,EILSY,EIOPR,IIRRU,ORSTU
ANNPSSU;ABIOT,HHIMT,HIORT
ANNPSTU;AEERU,CELOR,EEORR
ANNRTYY;ACILL
ANNSSTU;
ANNSSTY;AADFL,AAILO,AGILW,AIIKO,AORRU,CDIIO,CFGII,CIOOP,FGIIU,GIILU
ANOOPRS;IIRVY
ANOOPRT;AIIVZ,DHNOO,EEGHV
ANOORST;
ANOORTT;CEQTU,EEHKN,HMOPY
ANOPRRS;ACEEM,ACGHO,ACHIM,CCEIO,CEEGH,CEGIU,CGHHO,CGHOO,CIIUV,EEGHI,EEHIL,EGIIL,EGIIV,EIIVY,IIOVY,LLOOP
ANOPRSS;AGLMY
ANOPRST;
ANOPRSW;BGIKN,CDEEL
ANOPRTV;EEGHO
ANOPSTT;CEELM,CEGHL,CELMN,COOPR,EEEGL,EGMOO
ANOPSTU;AGHOP
ANOPSUY;ACCEO,ACCLM,ADHIL,CGILU,DEILR,DHHOR,EHOST,GHHOT,GIMMR,GLMOT,HIOST
ANORRSW;
ANORRWW;
ANORSSV;AEELY,BEELP,CCEEN,CEORT,EEHRS,EENSU,GIOUU,ILMTU,ILTTU
ANORSTT;
ANORSTU;GGHHU
ANORSTY;EEIPR,EELUX,EERSX,EHRSS,HIRSS
ANORSUU;ADMQU,AGIRT,AKLSY,CCELM,CDILU,CEEPT,CHILV,EEMTV,EFLLY,EFNTT,EILNT,EISTV,GGHHT,IILTX
ANORWWY;
ANOSSTZ;IILMO,IILTY,IINOO
ANOSTTU;EEMQR,NORTY
ANPPSUW;
ANPRSSU;EEOPW
ANPRSTU;
ANPRSUW;
ANPRSUY;AEEGT,DHHOO,EEHLS,EHLMU,EHLOT,GILSS,GIMMO
ANPSSUW;
ANPSTUU;AILOV,BDEIL,ELOSS,IIMOT,ILLLO
ANRSSTU;ABDRR
ANRSSUY;ANORT,CEOTT,CHNOO,EEHLP,EHNOT,GILPS
ANRSTTU;NOOTY
ANRSTTY;ABLMU,ACLPY,ADORU,NOOTU
ANRSUWY;
ANSSTTU;AIIQT,BCCOR,BGIKN,HHOPR
AOOPPRS;ACGHN,AGHSU,AHMRU,BDETT,CGHOU,CNOTT,EHIMN
AOOPRTT;AELRX,EHHLM,IIINP
AOOPSTT;GILMO,GMOVY,HILPS
AOORRST;ABDMR,CCHIP,CHIPR,GILLN
AOORRSY;BCDHN,CCENT,CENTV,EFGRT,IINPV,ILPUU,ILTTU,MPRTT
AOORRTT;ACFIN,ACIIN,ACINT,AIILN,CCDEI
AOORRTU;DFGHP,DHIIM,DHNWY,EFGHH,EGHPV,ELPVY
AOORRTY;ACILL,CCENS,CINPS,CNOPS
AOORSTT;ACHMU,AILSU,BDEFH,CCHIL,CHISY,CHMOY,EEGHL,EEGIL,EGGIL,HILLU
AOORSTU;AEHMT,BBIMN,EEGHM,EHILL,HHILN,HILLT,NNTTY
AOORSTV;AHKNT,BENNN,EEGLV,GIINR
AOOSTTT;ACINN,AEMSU,AIILN,AIMNS,IRRSU,NNRUY
AOOSTUZ;EGILT,EGINR
AOOTXYZ;
AOPPPSU;EINQR,GHHIO,HIMOT
AOPPRRT;DEEEN,DEENN,EEEIV,EEGHR,EEINT,IIMOR,ILNOO
AOPPRST;CNOOT,HLNOY
AOPRRST;
AOPRRSU;CDGIT,CFIIT,CGMOT,CHIOZ,CIINV,DHOOT
AOPRRSW;
AOPRRTY;EEHIN
AOPRSST;AFRRW
AOPRSSU;DHIIT
AOPRSTU;CDGIR,CFIIR
AOPRSTW;
AOPRSUV;EELTU
AOPRTTU;AEFIL
AOPRTUY;BFILN
AOPRUVY;EIRTT,ELORT,IILSV
AOPSSTU;ACGHO,CCIOR,DGOOR,DHIIR,EGOTY,FFGHL
AOPSTTX;AEELR,AEIIN,BEELR,CEEER,CEEIN,CEENR,EIINR
AOPSTUY;EHNOS,GHHNO,GHHOP,HINOS
AOPSTWY;EHIRR
AOPTTUU;
AOQRSTU;ACCTY,CDINO,GINNR,IIINN
AORRSST;AFPRW,ANNUY,CINOP,DNNOP,FIILS,HLPUU,IILNS
AORRSSU;ANNTY,CCHIO,DIOPU,DOOPP,HLPTU
AORRSTW;
