AAAARR;8,24,33
CIIKLY;16523,16882
CIIKNP;
CIIKNW;
CIIKST;17055
CIILMN;4754,9114,15044,15190,15205,15663,17075,17214,17215
CIILMU;1473,7584,8394,14528,14645,14885,14966,15087,15374,16538,16634,16890,17110,17113,17214,17217
CIILNP;844
CIILOP;2466,2518,6368,6369,8971,9142,13583,15059,17222
CIILSV;13647,14713,14963,14964,16640
CIIMMS;14925,15209,16768
CIIMOT;13930,14570,15689
CIIMSV;
CIIMTV;15593,15791,15873,16861
CIINNU;4331,4508,5738,5868,7587,8039,8907,9115,15581,15594,16286
CIINOP;17174
CIINOR;
CIINOS;
CIINQU;1683,7103,14717
CIINRS;
CIINRT;144,255
CIINSV;757,1657,1858
CIIOTT;1331,2637,8486,13915,13927
CIIPRS;
CIIRSS;6307,17169
CIIRTV;7615,9107,9113,15791,15873,15880
CIISTY;1877,2468,2584,2637,8357,8954,9089,17084,17101
CIJKOR;
CIJNOO;16338,16659
CIKKLS;8799,8879,14719
CIKKNS;572,16341,17202
CIKKPU;
CIKLNO;
CIKLNS;17202
CIKLRY;
CIKLSS;15083,15721
CIKLSY;2486
CIKLTY;
CIKMNU;7574,16343
CIKMSU;
CIKNPU;16343
CIKNPY;
CIKNSS;13919,15721
CIKNYZ;
CIKORR;
CIKOSS;4357,7125,8065,13919,15672,15721,16346,17086
CIKOSY;1596,2638,8489,14719
CIKPPU;16343
CIKPRS;
CIKPRY;
CIKPSS;15721
CIKPTU;16269,16344
CIKQSU;2485
CIKQUY;
CIKRST;13918,17055
CIKRSW;
CIKRTY;
CIKSST;
CIKSTY;
CILLOU;1603,2491,2646,2655,4732,8231,8779,8971,9172,13798,13880,15084,17053,17212
CILLSU;1534,2534,15084,17053,17212
CILMNY;300,854,4368,4754,4783,8959,15663,16351,16546,16797,16798,16799
CILMSS;2291,14545,15083
CILMUU;4612,4786,14885,15723
CILNOO;299,15189
CILNOS;
CILNOU;15820,16035
CILNPU;13724,14923
CILNST;
CILNTU;13739
CILOPU;9172,14923,15723,15890,16352
CILOPY;1544,6334,7500,17222
CILORS;
CILORT;15053,15723,17126
CILOSU;15722
CILOSV;14963,14964,16552,16942
CILOSY;6369,7500,7902,8589,14719,14767,15722,16547,16946,17222
CILOTU;16670
CILOYZ;5859,8514,8921,9175
CILPSU;
CILQUY;2685,9076,9169,9183
CILRSY;
CILSUY;13794,13932,14846,15003,16517,16534,16892,16937,17054,17212,17222
CIMMNU;4368,6390,9210
CIMMOS;
CIMMOT;2502,14783,16670
CIMMOX;
CIMNNO;306,2541,17061
CIMNNU;306,2693,5868,9115,17049,17061
CIMNOR;
CIMNOS;
CIMNOU;2367,15820
CIMNRU;
CIMNSU;
CIMNUU;4612,6298,8367,8617,9210,13703
CIMOPY;2689,15078,15692,17149
CIMORS;13903
CIMORU;9007,9171,13656,14570,15005,15723
CIMOSS;
CIMOST;
CIMOTY;2417,8905,8926,13930,15689,16565,16617,16670,16944,17149,17216
CIMPRS;
CIMPRY;15078,15692,16298,17087,17149
CIMRSS;
CIMRUU;2446,4612,4786,8499,9007,9171,9210,13703,15723
CIMSSU;
CIMSTU;
CIMSTY;14851
CIMSUV;1992,17217
CINNOS;
CINNOU;5868,7963
CINNOY;1574,2322,2541,2689,2699,4302,4369,4657,4782,5744,7424,8034,8464,8625,8919,8922,8963,9000,9170,14833,14882,14903,14980,16375,17058,17061,17129,17172,17225,17251
CINOOP;779,5750,13740
CINOOS;
CINOOV;6032,6716,15331,15523,16119,16512,16709
CINOOZ;4641,8822,17094,17108
CINOPP;
CINOPT;13935,15103
CINORS;
CINORT;
CINORZ;8532,15554,15667,16873,17073,17124
CINOSS;
CINOST;
CINOSU;15031
CINOSV;
CINOSZ;2564,5725,7126
CINOUZ;2628,8907,9085,14665,15339,17108
CINRSU;
CINSTT;13780,16252,17003,17193
CINSTU;17033
CIOOPT;15355
CIOORT;1552,2704,8078,15727
CIOPRS;17239
CIOPRT;15723
CIOPSS;14992,17248
CIOPST;
CIOPTT;14561,14946,15078,15082,15355,15720,15723,16445,16736,17005,17161,17162,17174
CIOPWY;2689
CIOQSU;5962,14859,15896,16412,17107
CIORSS;2413
CIORST;
CIORSU;15031
CIORTT;13915,15078,15082,15723,15727
CIORTV;
CIOSST;
CIOSTU;
CIOSTX;8743
CIPPSU;4765,7689,15603,15939,16810,17180
CIPRSS;
CIPRST;
CIPRSY;13936,13941,15072,17125
CIPSSU;8975
CIRRSU;
CIRSTT;
CIRSTU;
CIRSUY;
CIRTTY;2183,2279,2309,2496,7653,7697,7699,13943,14827,14845,14947,15571,15574,15727
CISSSU;13580,13929,17045,17106,17144,17237
CISSTU;
CISSUV;13719,13870,13878,15589,16935
CJKOOS;13581
CJNOSU;9091,17238
CJNOUY;16659
CJNSUU;13917,17238
CKKNOS;8799
CKLNOS;
CKLNOU;
CKLNOY;9243,16453
CKLNSU;16452
CKLNUY;
CKLOPU;
CKLPSU;
CKLPUY;
CKLSSU;
CKMOPU;16344
CKMOSS;
CKNORU;4559
CKNRSU;
CKNTUU;
CKOORS;13918
CKORST;4717,13918,17055
CKOSST;7125
CKOSTY;1596
CKRSTU;647
CKRSUU;
CKSSTU;
CLLOOP;2123,2211,7438,8028,8498,16793,17128
CLLOOY;1599,2648,4367,4678,4754,4776,4777,6309,6314,7154,7438,8514,9102,9108,13577,13880,14767,15208,15558,15669,16547,16793,17063,17212,17239
CLLORS;
CLLSSU;1377,1903,15084,17212,17258
CLMNOU;2367,4750,15820,17016
CLMOPS;
CLMOPY;200,300,1622,2554,2709,7543,16227,17149,17156
CLMOSU;13822,15108,15722,15956,17113
CLMOSY;309,1622,1861,6115,6331,13822,14567,15099,15722,16892,16946,17214
CLMOUU;4786,14557,14996,15530,15723
CLMPSU;15374,16860
CLMPUY;1606,1622,9063,16945,17207
CLMSTU;15108,15956
CLMSUY;15108,17214,17217
CLNOOS;
CLNOOU;4603,5729,6046,6196,6301,6381,7771,14993
CLNOOY;1599,2509,2648,4369,4754,4776,4777,6237,7780,8129,8514,8946,9102,9243,15178,15628,15651,15691,16453,16797,16798
CLNOSU;
CLNOSW;
CLNOTU;2515
CLNOUW;6381,14993
CLNRUU;259,1626,2653,9107,9245
CLOOPS;2509,8298,17157,17159,17180
CLOOPT;
CLOORS;
CLOORU;14889
CLOORY;2709,5684,6116,6237,7154,8168,9207,9243,14666,15099,15201,15208,15691,16547,16688,16732,17135,17168
CLOOST;2507
CLORSU;17238
CLORSW;
CLOSSW;13879,16803
CLOSTU;
CLOSTY;863,1379,1861,2714,14567
CLOSUU;9018,14998,15859,17051
CLOTTY;578,586,863,1621,2399,2651,2714,4370,6330,7139,8752,8801,8958,9106,9207,9251,13881,13928,14558,14827,14845,14965,14989,14995,15058,15099,15959,16467,16892,17054,17216
CLPRUU;15723
CLPSSU;17222
CLPSTU;
CLRTUY;8884,9247
CLSSUU;2713,2715,8137,9205,15113,15712,17133
CLSTUU;2497,2603,2678,2715,8093,8195,9204,15089,15091,17051,17132,17220,17238,17240,17245,17247,17249
CMMNOO;15661
CMMOOR;1381,8690,8936,13821,14953,16743
CMMOOS;2454
CMMOOT;1381,2453,17251
CMMRUY;7711,8660
CMMSUY;8672,8693,13939,15717,17023
CMNNOO;4756,7771,15203,17058
CMNOSY;712,2285,4776,9096,9097,14709,14847,16845
CMOOPS;15074,17159
CMOOPT;8999,13914
CMOOSS;14871,15108,15320,15680,16479,17024,17026,17253
CMOOSU;494,2454,2507,6377,8069,9117,14563,15103,15108,17021,17113,17136,17199
CMOPST;15071,15077
CMORSU;13826
CMOSTU;17199
CMOSUU;14563,17028
CMOSUY;1622,7159,13822,15108,15722,16698,17260
CMPRSU;2455,8853,8947,13826
CMPRUU;5998,7777,9210,15723,16893
CMPRUY;7711,8948
CMRSSU;16478
CMSSUU;15712
CMSTUU;13705,16482
CNNOOR;4756
CNNOPY;224,2322,2541,2689,2694,5869,5999,6357,8625,8963,8969,9243,14574,14850,15651,16375,17129
CNOOPU;13914,15186,16694
CNOORS;
CNOORT;
CNOORY;1524,1616,6237,8946,13659,13920,15047,15465,15628,15651,15691,16693,16722,16962,17046,17047,17152,17172,17260
CNOOST;
CNOOSV;15965,16498
CNOOTT;837,866,2693,8753,9156,9186,16694
CNOOTY;2641,2648,8514,15465
CNOOVY;2648
CNOPTU;
CNORSS;4746,9248
CNORST;
CNORSU;
CNORSW;663,15746
CNORSY;
CNORUY;9099,13656,13920,14839,14878,15054,15530,15651,16593,16675
CNOSSY;1903,7170,15665
CNOSTU;17199
CNOSTY;2363,9096,16845,17101
CNOTUY;1621,2375,4302,6230,7764,8517,8667,8670,9033,14653,14671,14890,15008,15011,15169,16659,16986
CNRSTU;
COOORZ;9134
COOPRS;8862
COOPSS;2460,8000,14946,15442
COOPST;
COOPTU;13914,14805,15186,16269,16694
COOPUY;8948,9033,15651,16970,17156
COOPWX;
COORSS;2717,6349,13919
COORTU;
COORUU;13884,15656,15686
COOSST;6668,6919
COOSTY;14529,15072
COPPRY;15082
COPRRS;8992,9164,15068
COPRSU;8862,9164,15048,17180
COPRTY;5684,15078,15082,15720,16878,17156
COPRUY;1577,4688,7041,7813,8625,8708,8948,13829,13892,15651,15720,17156,17258
COPSSU;2460,7920,15305,15704
COPSSW;2147
COPSUY;1577,1622,6369,8930,13829,13892,15011,15305,15445,16945,16986,17013,17217,17222,17249,17258
CORRSU;
CORSSU;
CORSSW;
CORSTU;
CORSUV;9209,14997
CORTUY;14529,15076,15720
COSSSU;4798,5874,13929,17045,17144
COSSTU;
COSTTU;15080,15687,17122,17199,17232
COTTUU;15723,16809
CPRSTY;307,9089,9111,9184,9244
CPRSUY;1577,6369,7323,8316,9111,9184,9244,17249,17258
CPSTUU;17249
CRRSUY;2602,4578,7323,8423,8790,9184,9247,14752
CRSSTU;
CRSSUU;2357,2713,2715,4575,15113,16392,17133,17249
CRSTUY;2714,8790,9244,9247,14529
CRSUVY;1831,6240,13815
CSUYZZ;
DDDDEO;
DDDEEE;
DDDEEI;17264,17266
DDDEER;
DDDEET;2721
DDDEEW;9263,13946
DDDEGO;17273
DDDEHO;6402,9263,17273,17276
DDDEIK;
DDDEIL;
DDDEIR;
DDDEIU;6403,9262
DDDELO;
DDDEMO;15114
DDDEMU;
DDDENO;15112,17276
DDDEOP;15112
DDDEOR;9272,17276
DDDEOS;
DDDEOT;9272
DDDERU;
DDDEUW;
DDDILY;
DDEEEH;1631,2728,6407,9259,9282,9292,17295,17297
DDEEEM;13954,17308
DDEEEN;13664,17285,17290,17294,17295,17297,17328,17329
DDEEER;17324
DDEEES;
DDEEEV;6421,9309,13958,17283
DDEEEW;17315
DDEEFI;17343
DDEEFN;13952
DDEEFU;17264,17337
DDEEGG;
DDEEGH;2730,9282,17291,17345,17346
DDEEGK;
DDEEGL;
DDEEGR;
DDEEGS;9265
DDEEGW;17344
DDEEHL;15143,17355
DDEEHN;
DDEEHR;17296,17337
DDEEIL;
DDEEIN;
DDEEIR;17337
DDEEIS;
DDEEIT;
DDEELM;
DDEELN;
DDEELP;
DDEELR;
DDEELS;
DDEELU;9292,9367
DDEELV;
DDEELW;
DDEEMN;15168,17392
DDEEMO;9350,15136
DDEENN;6430,6451,9388,17281,17282,17379
DDEENP;
DDEENR;
DDEENS;
DDEENT;
DDEENU;
DDEENV;17285
DDEENW;
DDEEOR;9350
DDEEOS;9320,17293
DDEEPR;
DDEERR;
DDEERT;
DDEERW;
DDEERY;13953,17268,17307,17345,17346
DDEEST;
DDEESU;
DDEETU;9264,9366,9367
DDEEUX;9299,9300
DDEFFO;
DDEFFU;9314
DDEFGI;
DDEFGU;9393,17336
DDEFIL;
DDEFLO;9318,9394
DDEFLU;
DDEFNO;
DDEFNU;13952
DDEFOR;
DDEGGI;9400,9401
DDEGGO;4821
DDEGIL;
DDEGIN;
DDEGIR;
DDEGIT;
DDEGIU;9393,9400,9401
DDEGJU;
DDEGLO;9281
DDEGLU;
DDEGMO;
DDEGMU;9412,9417,17404,17406
DDEGNO;9287,9332
DDEGNU;
DDEGOR;9402
DDEGOS;
DDEGRU;
DDEGRY;
DDEHIN;
DDEHIR;15174,17337
DDEHIS;17338
DDEHLO;4802,9281,9316,9424
DDEHLU;4195,9292
DDEHNO;9425,9426,17276
DDEHNU;
DDEHOO;5750,6402,6464,9402,15183,15184,17276
DDEHOR;17276
DDEHSU;17338
DDEIIK;
DDEIIM;15184,15192,17300,17404
DDEIIO;4821,9354,17354
DDEIIS;
DDEIIT;4381,9436,13666,15184,15192
DDEIIV;
DDEIIW;17344
DDEIKL;2733,6460
DDEIKN;
DDEIKR;6460
DDEIKS;
DDEILL;
DDEILM;880,9445
DDEILN;
DDEILO;
DDEILP;
DDEILR;
DDEILS;
DDEILT;
DDEILW;
DDEIMM;6413,9372,15192
DDEIMN;15190
DDEIMS;
DDEINN;1646,1653,6415,6430,9354,15115,15116,15126
DDEINR;
DDEINS;
DDEINT;
DDEINU;
DDEINW;
DDEIOP;
DDEIOS;
DDEIOT;15184,15192
DDEIOV;
DDEIPP;9443,17436
DDEIPR;
DDEIRR;
DDEIRT;14530
DDEIRW;9418
DDEIRY;2733,2736,13953,17307,17433,17434
DDEISS;
DDEITT;9337,15133
DDEITU;14530
DDEJRU;
DDEKNU;17406
DDEKNY;591
DDEKOO;
DDEKOU;
DDEKSU;
DDELLO;879,881,2746
DDELLU;
DDELMO;2756
DDELMU;880,9367
DDELNO;
DDELOO;1645
DDELOP;
DDELOR;
DDELOT;
DDELOY;879,2756,6471,9424,15178
DDELPU;9292
DDELRU;
DDEMOO;1327
DDEMOR;2756,15201
DDEMPU;9375
DDEMRU;
DDENNO;1646,9354,14573,17327,17374,17384
DDENNU;6478,15203
DDENOP;
DDENOR;
DDENOS;
DDENOW;
DDENOY;1646,9287,9426,15169,15178,17294
DDENPU;
DDENRU;
DDENSU;
DDENSY;17430
DDENTU;
DDENUY;6458,15169,15178
DDEOOR;17276
DDEOOS;4830
DDEOOW;
DDEOPP;9443
DDEORR;4830,9448,17276,17431
DDEORS;
DDEORT;4830
DDEORV;
DDEORW;
DDEOSS;15200
DDEOST;1647,4830
DDEOSU;2746,9264,9447,14580,15198
DDEOSW;
DDEOTT;
DDEOTU;
DDEPPU;2729,9307,17323,17393
DDEPRS;
DDEPRU;
DDERRU;
DDERSU;
DDESST;15200
DDESSU;
DDESTU;
DDESTY;2736,4830,9289,9318,9422,17363,17390,17426
DDFILY;9457,13985
DDFIOR;9455,15204
DDGINU;
DDGIPU;
DDGMOO;
DDHIIS;6430,9420,9464,13978,15180,15182,15183,17338,17358,17415,17419
DDHINO;5750
DDHIOS;885,9394
DDHIRY;
DDHISU;9421,13964,13979,17338,17359,17397,17438
DDHOSY;9291,15188,17363,17403
DDHPUU;
DDHSUU;
DDIIKK;
DDIIKV;
DDIIMS;9465,15206,15209
DDIIOS;2764,9464,13988
DDIIOX;316
DDIKNO;
DDIKOS;
DDIKSY;
DDILNR;17421
DDILOS;17438
DDILPY;17409,17427,17434,17435
DDILTY;2768
DDIMOY;6471,6486,9455
DDIMRU;
DDIMSU;
DDIMSY;
DDIOPY;17363,17364,17409,17434
DDIORS;2764,2769
DDIOTU;9264,9323,9445,17360
DDIOTY;2768,6472,15209,17363,17364,17429
DDIRSU;1660,15207
DDLMUY;
DDLPUY;17434,17435
DDMMUU;
DDMRUU;17392
DDNORW;
DDOOOO;
DDOPSY;17363,17390,17403,17409
DDPSUY;17435
DEEEFR;
DEEEFS;
DEEEFZ;
DEEEGK;
DEEEGR;
DEEEHL;4195,4801,4802,9259,9277,9281,9290,9292,17496
DEEEHR;14002
DEEEHZ;4801,9541,9545
DEEEIP;4839,9569,9593,17538
DEEEJL;
DEEEJP;17527
DEEEJR;
DEEEKK;
DEEEKL;
DEEEKN;13557,14597,15258,15259,15280,17492,17545
DEEEKP;14589,15259,15278
DEEEKR;13557
DEEELN;15212
DEEELP;9292
DEEELR;
DEEELS;
DEEELT;
DEEELV;
DEEEMR;
DEEEMS;
DEEEMT;15284,17506,17571
DEEEMX;9538,9539
DEEENP;4839,9593,15244,15283,17538
DEEENR;13557
DEEENS;
DEEENT;15248
DEEENV;
DEEENW;
DEEENZ;4801,4839,4854,6523,9557,9576,15248,17515,17538
DEEEPP;9313,9593,9598,15302,17321,17623,17647,17648
DEEEPR;
DEEEPS;
DEEEPV;
DEEERR;17466
DEEERS;
DEEERT;
DEEERV;
DEEERW;
DEEERY;2778,9577,15241,15282,15290,17577
DEEESV;
DEEETW;
DEEFFJ;
DEEFFR;
DEEFGL;17485
DEEFHT;9667
DEEFIL;
DEEFIN;
DEEFIR;
DEEFIS;
DEEFKR;15310
DEEFLL;14021
DEEFLM;1664,6562,9650,9685,13950,13952,17485
DEEFLS;
DEEFLT;
DEEFLU;
DEEFLW;
DEEFLX;15313
DEEFLY;1664,9664
DEEFNR;
DEEFNU;17651,17695
DEEFRS;
DEEFRT;
DEEFRY;
DEEFSS;17697,17701
DEEFSU;13678
DEEFTT;
DEEFTW;9695
DEEFUZ;17683
DEEFZZ;
DEEGGI;9498,17704,17711
DEEGGK;13588
DEEGGL;13588
DEEGGP;597,9701,17704,17706,17707
DEEGGR;
DEEGGV;
DEEGHP;9718,17718
DEEGHR;
DEEGHS;9507
DEEGIJ;
DEEGIN;
DEEGIR;
DEEGIS;
DEEGIT;17743
DEEGIW;
DEEGKR;6586
DEEGKS;2793
DEEGLL;17733,17797
DEEGLN;
DEEGLP;
DEEGLR;14034
DEEGLS;
DEEGLU;
DEEGLY;2730,9664,9718,9773,14603,17740
DEEGMM;9506,17758
DEEGMN;17451
DEEGMR;
DEEGNN;2776,6573
DEEGNR;
DEEGNU;9784
DEEGNV;
DEEGOS;893,9497,9721,17729
DEEGRS;
DEEGRV;
DEEGRW;
DEEGRY;9529,9773
DEEGSS;
DEEGSU;
DEEGSW;
DEEHIL;6591,9702,14037,15308,17714
DEEHIR;15308,17337
DEEHLL;6595,9718
DEEHLM;1664,9346,9506,9795,9803,9824,17717,17830
DEEHLP;9292,9315,9348,9702,9706,9718,9802,14037,17532,17714,17856
DEEHLV;9290
DEEHMM;2806,17670
DEEHMS;17338
DEEHMT;9346,9824,17344,17717,17812
DEEHNN;14025,17504,17538,17667,17812
DEEHNR;
DEEHNT;15244,17360,17504,17812
DEEHPS;9315,17804,17805,17807,17808,17809
DEEHRR;
DEEHRS;
DEEHRY;897,901,902,2719,2778,2814,2817,9277,9291,9316,9317,9350,9804,9830,9835,14037,17548,17714
DEEHSW;1671,9833
DEEHTW;
DEEHWW;
DEEHYY;
DEEILM;14042,15212,15408,17571,17937
DEEILR;
DEEILS;
DEEILV;
DEEILX;908,6591,9573,9574,9666,9796,9869,15313,15376,15408
DEEILY;15334,17736,17766
DEEIMN;
DEEIMP;15408
DEEIMR;17337
DEEIMS;
DEEIMT;17571
DEEIMV;2847,6709,6710,14612,17540,17571,17821,17956
DEEINN;15223,15309
DEEINP;15347
DEEINR;
DEEINS;
DEEINT;
DEEINV;
DEEIOR;17354,17611
DEEIOV;17611
DEEIPR;
DEEIPS;
DEEIPZ;2795,15347,17444,17538
DEEIRS;
DEEIRT;
DEEIRU;17337
DEEIRV;
DEEIRW;
DEEISS;
DEEISV;
DEEISW;
DEEISX;9848
DEEISZ;1673,9545,9815,17524,17570,17805,17809,17847
DEEITV;
DEEITX;9539,17568
DEEIVW;
DEEIWZ;
DEEJKR;1674
DEEJLL;9718
DEEJSS;9801,15117,15450
DEEJST;9986
DEEJTT;9986
DEEKKL;
DEEKLP;9802,15215
DEEKLW;17870
DEEKMP;6734
DEEKMS;
DEEKNN;4920,17377,17874,17926
DEEKNR;
DEEKNT;15279
DEEKOV;
DEEKPP;14615
DEEKPR;15310
DEEKRV;
DEEKRY;
DEEKSW;913,17992
DEEKSY;4405
DEEKUY;15359
DEELLM;17571
DEELLP;14021
DEELLW;
DEELLY;14021,17797,17929
DEELMR;
DEELMS;
DEELMT;15212,17571
DEELMU;15284,17571
DEELMW;17937
DEELMY;17577,17762,17766
DEELNR;
DEELNS;
DEELNT;
DEELNW;
DEELNY;4801,9277,9290,9317,9991
DEELOO;9650,9802,13588,15308,17355,17616,17736,17743,17766
DEELOP;9802
DEELPP;
DEELPR;
DEELPT;
DEELPX;
DEELPY;14021
DEELRS;
DEELRU;
DEELRV;
DEELRW;
DEELST;
DEELSU;17881
DEELSV;
DEELSW;
DEELTT;
DEELTU;
DEELTW;17344,17870
DEELUX;
DEELVV;9866,9870
DEEMNN;915,1696,5780,9856,13587,17538,17800,17812,17933
DEEMNO;
DEEMNR;17392
DEEMNS;
DEEMNT;
DEEMOR;
DEEMOT;9824,15284,17766
DEEMOU;9350,9761,9824,15284,17959
DEEMOV;6709,6710
DEEMOW;17759,17937
DEEMPR;
DEEMPT;
DEEMPU;15112
DEEMQU;
DEEMRS;
DEEMRT;
DEEMRU;
DEEMRY;9350,9804,15239,15377,15454,17307,17501,17572,17577,17839
DEEMSS;
DEEMST;
DEEMSU;17338
DEEMSW;
DEEMSY;17266,17501
DEEMUY;9824,9908,10010,15169
DEENNO;14573
DEENNP;15217
DEENNR;15217,15223,15285,15309
DEENNT;
DEENNY;9290,9664,9903,14019,15309,17672,17740
DEENOP;15347,15408,17538
DEENOR;
DEENOS;
DEENOT;
DEENOV;6641
DEENPR;
DEENPX;15408
DEENRR;
DEENRS;
DEENRT;
DEENRU;
DEENRV;
DEENRY;14064,15434,15465
DEENRZ;17887
DEENSS;
DEENST;
DEENSU;
DEENSW;
DEENSY;17551,17659,17702
DEENTT;15469
DEENTU;9784
DEENTV;
DEENTX;2867,9360,9786
DEENUV;17860
DEENUY;2837,6549,9994,14603,15169,15287,17325,17573,17627,17943
DEEOPP;9783,14615,17611,17703
DEEOPS;
DEEORS;
DEEORT;
DEEORV;
DEEORZ;
DEEOSX;
DEEOTV;
DEEPPP;
DEEPPR;15226
DEEPRS;
DEEPRU;
DEEPRV;
DEEPRY;
DEEPSS;
DEEPSW;17443
DEEPSY;6754,15305,15445,17266,17390,17807,17808,17809
DEEPTT;15244,15355,17810
DEEPTU;9792
DEEQUU;9384,10002
DEERRS;
DEERRW;
DEERSS;
DEERST;
DEERSU;
DEERSV;
DEERSW;
DEERSY;9350
DEERTT;
DEERTV;
DEERTX;
DEERVV;
DEESSS;15305,15473
DEESST;
DEESSU;
DEESSW;4931,9833,15448
DEESSY;17572,17583,17807,17839,17856,17888,17891,17945,17950,18000
DEESTT;
DEESTU;
DEESTV;1708
DEESTW;
DEESTX;
DEESTY;17465,17765,17797,17807,17808,17809,17944
DEESTZ;1673,2737,2849,6527,6710,9514,9541,9545,9547,9815,9851,9926,17570,17805,17809,17847
DEESUX;
DEESWY;17465
DEETTV;318,9837
DEETTW;14042
DEETTX;318,319,9735,9887,10001,15355
DEETUV;17571
DEETWY;17465
DEFFFU;
DEFFGO;
DEFFHU;17652
DEFFIM;10024
DEFFIN;
DEFFIO;
DEFFIR;
DEFFIT;
DEFFIV;
DEFFLU;
DEFFLY;10023
DEFFMU;10024
DEFFNO;
DEFFOR;
DEFFPU;
DEFFRU;
DEFGGI;
DEFGGO;
DEFGGU;
DEFGIR;
DEFGIS;
DEFGIT;18030
DEFGLO;17485
DEFGLU;
DEFGLY;9664,18037
DEFGOO;17394
DEFGOR;17485
DEFGOS;10031,15480
DEFGOW;
DEFGSU;
DEFGUU;10024,14068,18027
DEFHIS;
DEFHMU;
DEFHOO;17670
DEFHOU;2879,9666,18028
DEFHOW;6554,17669
DEFIKN;6550,15310
DEFIKR;15310
DEFIKS;4204
DEFILL;
DEFILM;2883,13950
DEFILO;15313
DEFILR;
DEFILS;
DEFILT;
DEFILX;6784,9666,15313
DEFIMR;9656
DEFIMS;18052
DEFINN;15223,15309,17695
DEFINO;2739,4941,4942,17668,18053
DEFINR;
DEFINS;17398
DEFINU;
DEFIOO;6779,6785,10074,17694
DEFIOT;5808,18046
DEFIRT;
DEFIRV;9661
DEFIRZ;4941,10071
DEFIST;
DEFISX;
DEFITT;6553,6777,6780,10062
DEFIZZ;
DEFJLS;
DEFKLU;
DEFKNU;
DEFKOR;
DEFKSU;
DEFKSY;
DEFLLU;
DEFLMU;
DEFLMY;1664,2883
DEFLNO;
DEFLOO;
DEFLOR;
DEFLOT;
DEFLOU;
DEFLOW;
DEFLOY;6788,14069,15178
DEFLPY;14021,18061
DEFLRU;
DEFLST;
DEFLTU;
DEFLTY;9318,10076,17698
DEFLUU;15489
DEFLUX;6784
DEFMOR;
DEFMRS;
DEFNNO;921,4941,10036,14587,17482
DEFNNU;10061,14068,17495,17695,18068
DEFNOR;17668
DEFNOU;
DEFNOY;2884,6563,6788,9317,15178,17684,18046
DEFNRU;
DEFOOR;
DEFOOT;17399,18062
DEFOOW;
DEFOPP;
DEFOPU;9690,17700,18046
DEFORT;
DEFOSS;10075
DEFOST;
DEFOSW;17669
DEFRRU;9696
DEFRSU;
DEFRTU;
DEFSSU;4945,10035
DEFSTU;14071,17655,18048
DEFTTU;4943,6562,6784
DEFTUZ;17683
DEFUZZ;
DEGGGI;
DEGGHO;10027,14073,18071
DEGGHU;10080
DEGGIJ;
DEGGIL;2887,10088,17289
DEGGIN;
DEGGIO;9498,17703,18075
DEGGIP;17704
DEGGIR;
DEGGIT;
DEGGIW;
DEGGIZ;18073,18075
DEGGJO;
DEGGJU;14024
DEGGLO;9498
DEGGLU;
DEGGMO;14074
DEGGMU;
DEGGNO;9498,17703
DEGGNU;
DEGGOR;
DEGGOS;
DEGGOT;
DEGGOU;
DEGGPU;
DEGGRU;
DEGGRY;
DEGGSU;
DEGGTU;
DEGHHI;17703
DEGHIN;
DEGHIR;
DEGHIS;
DEGHSU;14079,18025
DEGIIK;
DEGIIM;17344,17717,17736,18024
DEGIIN;
DEGIIR;2907,4949
DEGIIW;17344
DEGIKN;18121
DEGILL;
DEGILM;180,1732,6817,18091
DEGILN;
DEGILR;
DEGILS;
DEGILU;
DEGILY;15334,18092
DEGIMN;18024
DEGIMP;
DEGIMR;77,17501,18092
DEGIMS;
DEGIMT;18024
DEGINN;
DEGINP;17444
DEGINR;
DEGINS;
DEGINT;
DEGINW;
DEGINY;
DEGINZ;14089,15495,17730,18075,18081
DEGIOO;10217,17394,17743,18075
DEGIOS;
DEGIPP;10154,10210,15334,17703,17743,17757,18107
DEGIPR;
DEGIRR;
DEGIRS;
DEGIRT;15330
DEGIRU;
DEGIST;
DEGISU;
DEGITT;6583,10217,14093,17717,18106
DEGITU;14024
DEGITW;
DEGJRU;
DEGJSU;
DEGJUY;10237
DEGKLU;
DEGKNU;4380,4430,17720,18148
DEGKOR;925,4872,9741,17406,18121,18148,18149
DEGLLU;18079
DEGLNO;
DEGLNU;
DEGLNY;9664,10237,15530,17798
DEGLOO;2746,10217,14034,15516,17797,17798
DEGLOP;
DEGLOR;14034,15530
DEGLOS;
DEGLOV;10112
DEGLOW;18099
DEGLOZ;10115,10217,14089,17766,18075,18091
DEGLPU;
DEGLRU;
DEGLSU;
DEGLSY;2730,9773,18090
DEGLUY;9778,15530,17348,17402,17798,18026,18037,18166
DEGMMU;
DEGMNO;
DEGMNU;
DEGMOR;18092,18148
DEGMOS;18048
DEGMPU;
DEGMPY;17736,18040
DEGMRU;
DEGMSU;10024
DEGNNU;
DEGNOO;10127
DEGNOP;
DEGNOR;
DEGNOT;
DEGNOW;18099
DEGNRU;
DEGNSU;
DEGOOP;6815
DEGOOS;2746
DEGOPR;1669
DEGOPS;2936
DEGORR;
DEGORS;17500
DEGORT;
DEGORU;
DEGORV;
DEGORW;
DEGOSS;
DEGOST;
DEGOSW;18070,18099
DEGOSY;4955,6797,6800,6833,6838,10131,15508,18090
DEGOTU;
DEGOUV;326,9661,9721,18082
DEGPPY;10131,15334
