AAABC;CR,HT,IR,MR,OR,TW
CEIOV;AM,HT,MT
CEIOZ;BN,EH,GN,IN,IP,MU
CEIPR;IM,LM,MU
CEIPS;CI,HK,HN,IM,IN,MU
CEIRR;BB,CL,DE,ET,MM,TT,TX
CEIRS;
CEIRT;AG,AR,AT,FY,RT,RX,TX
CEIRU;BB,BN,DK,DN,GK,KY,PP
CEIRX;EM,ET,PY,RT,TT
CEIRY;AL,EH,FH,FM,FT,GN,LS,NO,OV,SU
CEISS;CN,GN,HN,IK,IM,IN,IS,KN
CEIST;AA,AC,AK,AT,EX,KT,KW,KY
CEISV;DE,EN
CEITU;AN,AQ,AX,DN,DX,GH,HH,HO,IV,PQ
CEITV;DE,DR,EE,FI,HO,IL,IU,MO,OR
CEITW;BH,DH,FH,HN,HS,OS
CEKKS;EL,ES,IR,OP
CEKLO;AB,AG,BI,BL,FL,IW,LP
CEKLR;DE,EF,EH,FY,LY
CEKMS;AD,AL,AO,AR,BO,CH,DI,DO,II,IL,IR,IT,IY,LU,NO,OR,RU
CEKNS;AA,AD,AL,AO,AR,AT,BE,BO,DE,DO,EH,ER,LO,MO,OR,OT
CEKOR;AG,BU
CEKOS;AC,AM,AN,AW,BM,BN,BU,CI,CP,ES,EY,IO,IP,JY,KP,MN,OY
CEKPS;AL,AR,AT,CO,HI,IL,IO,IR,IT,KO,LU,OT,RU
CEKPY;IN
CEKRS;PY
CEKRT;DE
CEKRW;DE,ER,NY,OT
CEKSU;AW,BI,BO
CELLO;BK,BW,EG,EN,FK,HM,HY,KP,NO
CELLS;AA,AB,AD,AE,AH,AI,AP,AR,AT,HN,HY,II,IM,IT
CELMO;AL,AN,AT,AU,CI,DI,HK,HL,IT,KN,LU
CELMS;EY
CELNO;AC,AG,AM,AN,AP,AT,AZ,BW,CY,EL,ET
CELNU;CE,CY,EF,EH,FY
CELOR;GG
CELOS;FF,GG,PP
CELOT;EM,EN,EU,EV,EX,NU,PU,TU
CELOU;AG,AM,AT,CD,DD,DT,DY,TT
CELOV;
CELOY;AR,CN,ER,GO,HL,RV
CELOZ;AI,AN
CELPT;EI,ER,II,IO,IU,MU,OU
CELPU;CY,DE,DI,DM,EL,IT,MT
CELPY;AB,AH,AL,AR,CU,EE
CELRU;CH
CELST;
CELSU;BS,CH,EX,FF,GH,HQ
CELSW;AA,AD,AR,DO,EH,ER,NU,OR,RU
CELTU;EO,FH,MP,MU,OP
CELTY;ER,HI,HN
CELUX;AS,DE,ES
CELUY;AQ,CN,CP,DO,DR,FN,IQ,LR,PS
CEMOR;EO,FI,FY,IN,IO,IT,IW
CEMOS;CI,DI,DK,IM,IX
CEMOT;CI,DI,EL,II,IL,IN,IR,IT,IV,IX,LR,MN,MO,MU,NN,OU
CEMRS;BU,KU,MU,NU,TU
CEMRY;ER,FI,FO,IK,KO,RU
CEMSY;AP,AR,EL,EN,ET,IK,LU
CENNO;EU,EV,LU
CENOP;AH,AI,AL,AT,CT,EH,ET,HI,IL,IT
CENOR;CW,HV
CENOS;EJ
CENOT;CF,CJ,CP,MM,PY,TX
CENOU;CD,DD,DI,EN,IV,MM
CENOV;AC,EN,HR,KO,RU
CENOY;AJ,AN,CG,CK,CL,DL,GR,IR,JK,KM,MO
CENOZ;AB,AL,AN,BI,DE,DI,EO,ER,GI,II
CENPU;EH,EI,HI,HR,TX
CENST;MU,RU
CENSU;ER,HH,HM,HR,HT,MR,MT,NR,RT,RW
CENTU;DF,DI,EH,ET,HR,HS,HY,IS,PX,RR,RS,RY
CEOOR;DR,EM,HM
CEOOY;DE,GL,MN,PR,RV
CEOOZ;AI,AT,EN
CEOPR;AF,AH,AL,AX,DE,DH,KR
CEOPS;CK,ET,KK,KT,LM,LP,MO,MT,TY
CEOPU;AT,HI
CEORR;CE,CU,EH,EU,EV,LO,LU,PP,PU
CEORS;GG
CEORT;CE,CW,DF,EG,EJ,EW,FF
CEORU;AB,AG,AM,BK,CR,ER
CEORV;AB,HN,HU,NU,PU
CEORW;BH,CN,CT,ET,HT,KT,NT,OT
CEORY;AL,DE,EL,FM,GN,GR,IN,IV,KM,KO,KR,LV,OV,RT
CEORZ;EN
CEOSS;AE,AG,AM,EK
CEOST;BH,BJ,EP,GH,HH,HP,HU,QU
CEOSU;AT,BK,QT,TT
CEOSV;HU
CEOSW;AG,AK,AP,BB,IP,IT
CEOSX;DE,IM,IT
CEOSY;EK,HK,JK
CEOSZ;
CEOTT;CO,IK,IL,IM,IN,IY,NN,NX
CEOTV;DE,DO,EL,HI,IM
CEOVY;IR,LR,OR
CEOYZ;
CEPRS;
CEPRT;DY,NY,SY
CEPRU;DM,EI,ER,IM,MR,UV
CEPRY;AC,AL,AM,DT,NT
CEPSS;EN,ER,HL,HY,RU,RY
CEPST;DE,EN,EO,ER,EX,EY,KO,MO,OR,OY,RY
CEPSU;EY,GG,IM
CERRU;CO,HN,MP,MY,OP,PP
CERRY;EM,GO,KO,MU,OT
CERSS;
CERST;LY,PY
CERSU;FF,FW,MM,MN,NN,NU,NW
CERSW;AC,AH,AL,FU,IN,IT,LU,NU,PU
CERTU;BH,CW,EH,GH,HN,NY
CERTY;AK,AL,AR,AS,AT,AU,DP,EL,FI,IK,IP,LS,LU,OR,PS,SU
CERUV;AR,ER,HO,NO,OP,PU
CESST;EL,EX
CESSU;BL,EF,EX,FU,KL,LL,LM,MU,ZZ
CESSY;AC,AT,AU,HP,HT,NT
CESTU;BJ,EM,FF,MN,MO,NO,OQ
CESTY;EM,EP,IK,PR
CESUZ;
CETUY;AR,HN,NR
CFFHU;DE,ER
CFFIL;AA,AT,DE
CFFLO;
CFFOS;AT,DE,EE,EI,ER,IN,MU,TU
CFFOU;FK,MS
CFFSU;DE,EI,EL,ET,IN,MO,NU,OT
CFHIL;DE,ER,ES,EY,YY
CFHIN;AG,DE,EG,ES,ET,FO,SU
CFHIT;AS
CFHIU;
CFHOO;DE
CFIIN;GO,KY,LT,MO,OT,OY,YZ
CFIKL;
CFILO;AB,AN,AY,MY
CFILS;OR
CFILT;AF,DE,EI,EN,IN
CFIOS;DH,DU,FN,HW,IS,KS,LR,MT,NT,RT,RY
CFISS;ER,EU,FL,IO,KO,TU
CFISU;DI,DO,EF,ES,FN
CFKLO;DE,EL,ET,LU
CFKOR;DE,NU
CFKSU;AL,ER,PU
CFLOS;AN,AT,CU,IR
CFMOY;ER,IL,NU
CFNOS;AB,AL,ER,ES,ET,EU,FI,IT
CFOOS;
CFORT;DE,EF,ER,HU,MO,NU
CFOSU;CL,DI,FM
CFRSU;AE,AL,EK,EO,EW
CFRTU;AE,AH,AL,AN,AR,DE,HO,NO
CFSTU;AE,AM,AN,EF
CFSUU;BS,DE,ES,FN,KP,LP
CGGIY;
CGHIN;CO,KO,KU,MO,NO,OU,OW,TU
CGHIT;AN,EN,ES,EU,IN,NU
CGHLU;
CGHNO;CI,EI,ES,IK,IM,IN,IR,IS,IU,IW,LS
CGHOO;RT
CGHOS;AT,EE,EI,EN,ET,IN,IT,IY,LN
CGHOT;ES,OR
CGHOU;DE,IN
CGHSU;AE,AR,EL,IN
CGIIN;AL,EL,EP,JU,KK,KL,KN,KP,KW,LP,MN,NW,NZ
CGILN;DE,DO,EH,EI,EL,EP,ER,EW,IK,IO,IP,KO,LO,NO,OO,OT,OW
CGILO;DH,DN,IL,IN,KN,LN,NN,NO,NT,NW,NY,OO,RW,TT
CGIMO;
CGINO;BB,CH,FF,GG,HU,LL
CGINU;AM,AS,AV,CK,DK,DT,HK,HO,HS,HT,IJ,KM,KP,KS,KT,KY,MM,NN,NP,OP,OS,PP,SS,TT
CGIOR;DE,EG,EH,ET,LW
CGIOY;HS,TZ
CGKSU;IN
CGKUY;IN
CGLNU;
CGLOO;EN,EY,IN,IO
CGLOS;AU,BE,EG,EU,EY,HN,HU,LY,NU
CGNOO;AT,DO,EL,EN
CGOOS;DE,DY,ER,IO,IT
CGORS;BU,BY,DE,EG,EN,EO,ER,EU,GY
CGOSS;AE,AN,IN
CGOSU;BR,IN,LN,LO,NO
CGSSU;EN,IN
CHHIL;CS,DE,ES
CHHIS;CE,CI,CL,EL,ER,IK
CHHIT;CI,DE,ER,EU,NU
CHHIW;
CHHNU;DE,ES,IT
CHHOO;EI
CHHOT;AL,AS,DE,ES,LU
CHHTU;DE,EI,ES,IN,LO,RT
CHIIL;AD,CD,DE,GM,KM
CHIKN;AA,AG,CE,DE,EI,EW,GO,GU,IN,OO
CHIKO;BU,BY,CE,DE,EO,GN,LL,NO
CHIKR;AA,AY
CHIKS;BU,DU,EI,EP,EY,HI,IM,IS,PU
CHIKT;DE,EI,ER,ET
CHILL;AE,AO,AP,AT,AX,DE,ER,KO,MU
CHILM;BY,EY,GI,IK,LU
CHILN;IT,OO,OR,SY
CHILO;DE,DG,EN,IT,KL,NO
CHILP;DE,ER,ES
CHILR;DE,EF,EL,EP,ET,EV
CHILT;KY,LY,OR
CHILY;AS,AW,BM,EF,EM,ET,EX,FY,GT,IT,KT,NS,SU
CHILZ;ES
CHIMO;AG,AN,AX,DI,GN
CHIMP;AE,NY,OR
CHIMR;RY
CHIMS;CK,CY,IK,IU
CHIMT;AB,AE,DE,ER
CHIMU;IS,LL
CHINO;AM,AY,BR,DE,DR,EG,EL,EN,ER,EX,FF,GK,GM,GN,GR,GU,GW,HR,KO,LO,LR,OR
CHINP;IN
CHINS;CU,DU,FU,LY,PY,QU,RU
CHINT;GU,HU,UW
CHINW;AG,DE,EG,EK,ER,ES,ET,GO,TU
CHIOR;BN,GN,HN,NO,OZ
CHIPR;AA,AG,RU
CHIPS;BO,CU,EK,EL,EN,EO,ET,KU,NO,OT
CHIPT;DE,ER,ES
CHIQU;NS
CHIRR;AT,BI,MY,PU,PY
CHIRT;AA,AR,AU,AY,DY
CHIRU;BD,EM,PR
CHIST;CI,CO,GO,IO,OP,VZ
CHISU;BB,BK,CN,CP,DK,DN,GN,IM,KP,LY,NO,NQ
CHISV;AH,TZ
CHITT;
CHITW;AP,BE,CO,DE,EF,EN,NU
CHITY;DR,EL,GL,IL,LL,NS,NZ,RS
CHIVY;
CHIZZ;DE,ES,SY
CHKNU;GI,NU
CHKOO;DE,DR,EI,ER,IN,MM
CHKOS;RU
CHKOT;AE,AT,DE,ES,LO,OS
CHKOW;
CHKOY;BI,IR,LS
CHKSU;AB,AK,AR,BI,DE,DI,EL,ER,IP,OR
CHKTU;EP,PU
CHLMU;IL,PS
CHLNU;DE,EE,EN,ER
CHLNY;AO,DE,ER,ES,ET,IS
CHLOO;AL,IN
CHLOS;GN,SS
CHLOT;II,IR,RY,YZ
CHLRU;BE,CE,DE,EN,EO,ER
CHLSU;EG,EI,EK,EM,EP,EQ,IY,MP
CHMNU;AO,AR,DE,EI,ER,ES
CHMOO;DE,KM
CHMOP;AL,AR,DE,ER,IR
CHMOS;
CHMOU;AN,DE,EI,ER,KM
CHMOY;OS,SU
CHMPU;AT,DE
CHMSU;II
CHMTU;AP
CHNOO;AY,IK,IL
CHNOS;GL,NU,RR,RU,RY
CHNOT;OR,RU,UU
CHNPU;DE,EE,EI,ER,ES
CHNRU;DE,EL,EM,EN,EP,ER,ET,OT
CHNSY;AO,AT,DE,EL,EM,ET,IL,IP,IT,OR
CHOOP;DE,ES,IR,PS
CHOOS;BR,IR,PP,RU
CHOPR;DE,EM,EP,ES,ET,EY
CHOPS;BI,IN,IT,LT,NO,OP
CHOPT;AL,AR,LS,PU,UU
CHOPU;AC,DE,EI,ES,PT,TU
CHORT;BS
CHORY;AP,CI,DI,GU,IK
CHOST;BE,BR,EG,EH,EI,EK,EN,EP,ER,GI,II,IK,IN,IP,IR,IS
CHOSU;AC,AN,IN,NN
CHOSW;
CHOTT;AB,AK
CHOTU;DI,NU,PP,PU
CHOUV;DE,EE,ER,ES
CHOUX;
CHPSY;
CHRRU;AC,AG,AT,DE,EL,EN,IP
CHRSU;AC,AG,AK,AU
CHRTW;
CHSTU;
CHSUY;IL,KM,LO,MO,PS
CIILT;FN,IL,LY,OO,OP,OR,OS,OT
CIILV;ET,IN,LY,NU,NY
CIILY;AR,AT,BS,DL,DN,HT,JU,LT,LV,NV,PR,PS
CIIMM;AL,AN,ET,GK,KM,NO,RY
CIINO;AD,AN,AV,DT,DV,DZ,EN,EV,EZ,FM,FT,FY,HT,MM,MN,MT,NT,OT
CIINR;AD,AL,AM,IM,MY
CIINV;DO,EO,IL,LU,LY
CIIPP;AR,EL,ER
CIIRR;BH,HS
CIJUY;IL
CIKKL;IL,LO
CIKKS;ER,IM,PU
CIKKY;
CIKLN;BI,GI,GU,RY
CIKLS;AD,LO,MU,TU
CIKMS;CH,DE,EI,EL,ER,ET,EY,HI,IK,LY,OO
CIKMY;LS,LU
CIKNS;AG,AP,AR,AT,BO,GI,GO,GU,IP,IW,MU,OW,PU,PY,TU
CIKOS;AP,AR,BN,CE,DE,EO,EP,ET,GN,JR,LL,LN,MO,NW,RR,TU
CIKOY;BH,CL,DE,GN,HR,LP,LR
CIKPR;AM,AT
CIKPS;EH,EL,EO,ET,HU,IN,KU,NU,NY,PU,TU
CIKPY;IL,LO,UW
CIKQU;EI,EN,ER
CIKRS;AI,AN,AO,JO,OR
CIKRT;AA,AP,BO
CIKRW;
CIKSS;EE,EI,ER,HI,HR,MU
CIKST;AE,AN,BE,DE,EL,EM,EN,EO,EP,ET,EW,LU,MU,NU,OU,PU
CIKSW;DE,EI,EN,ET,IN,NO
CIKSY;AB,DE,EH,EM,ER,NP
CIKTY;AF
CIKWY;AL,PU
CILLS;EI,EM,EO,ET,KO,KY,NO
CILMS;KU,KY,NO,NY,OO,TU
CILNO;GI,GL,GN,GT,GW,GY,HR,IP,MP,PR,RY,XY
CILNT;FI,GO,HI
CILOR;BI,BO,GW,KL,KY,LO,NO,NP,NY,OU,PW,PY
CILOS;IT,KL,MO,OS,OT,PW
CILOT;CI,DY,GN,GT,HI,HS,IO,IP,IS,IT,OP,OS
CILOU;AB,BC,BE,ER,FR,OR
CILOW;CK,EK,GN,GR,KL,PR,PS
CILPS;HY,IN,IY,OW,RY
CILPT;EE,EI,EO,EU,GU,GY,IO,NU,OO,RU
CILPU;AD,AE,AI,DE,EK,ET,RT
CILRS;AB,AG,AN,AS,AT,AU,RU,UU
CILRU;FO,GN,LY,NP,OO,PT,RS,SU,SY
CILRY;IP,LU,NO,OP
CILST;CI,CY,IO,KU,MU,OO,OR,OU,TU
CILSU;HT,KM,KN,KT,MT,NT,RR,RU,TT
CILTU;AB,AR,AV,DM,GP,HS,KS,MS,PR,ST
CILTY;AD,AI,AN,AP,AR,AT,CS,DO,EH,GH,GP,HI,HL,IL
CILXY;EH,NO
CIMNO;DO,FI,IM,IT,LP
CIMNU;AG,AL,AP,GL
CIMNY;AA,AD,EZ,IR
CIMOR;AA,AE,EO,EP,ER,ET,EW,KR,OT
CIMOS;EX,KO,LO,PY
CIMOX;AH,ES,ET
CIMPR;AA,AE,AK,AT,DE,EI,EL,EO,ER,EU,HO
CIMRS;IT,NU,UU
CIMSU;HI,OR,RU
CIMYZ;EN,OT
CINNO;AC,AD,AI,AL,AT,AZ,FK,IT,JO,KP,KW
CINOR;CH,CY,FY,HH,HL,HO,LO,LP,LY,NU,OP,PX
CINOS;DY,FF,KW,PP
CINOT;BI,CO,CV,DI,DO,DU,IM,IN,IO,LU,NU,XY
CINOV;CT,DI
CINOY;AH,AL,AS,CR,DS,ER,FI,FR,HP,LR,LX,RT,TX
CINOZ;BE,DE,DI,EI
CINQS;EU,HU
CINRU;DE,EO,ER,EV,LP,NO,OT
CINSU;BU,CH,DD,DH,FF,FH,GH,GK,GS,HQ,KL,KP,LP,NU
CINSZ;DE,EH
CINTT;DE,EO,ER,EX,GO,GU
CINTU;GH,GK,GR,GT,HH,HW,IK,IN,IQ,IY,JN,KP,NO,OR
CINYZ;AE,EM,FI,GO,HT
CIOPS;AH,AK,BH,BI,GN,HN,IN,LU,LW,MY,NO,NP,OU
CIOPT;BI,CK,CU,DI,IL,KK,KP
CIOQU;AN,EM,OT
CIORR;AB,AD,AL,AN,AS,DP,NT,SU
CIORS;FY,JK,KR
CIORT;BK
CIORU;AB,BN,FL,GN,LO,NN,NT
CIOST;BI,BY,CH,CT,GH,GO,HI,HK,HL,IL,LO
CIOTX;AL,MM,NY
CIPRS;
CIPRY;CT,IL,IT,LO,TT,UV
CIPSS;HY
CIPSY;IL,KN,MO,OT,TT
CIPTY;CR,GL,IR,OS,RT,ST
CIRST;CI,IM,IN,IV
CIRSU;DI,LU,MS,MU,PS
CISST;AA,AD,AF,AM,AP,AR,AT,DY,MY,PR
CISSY;DN,DT,HP,MO,MT,OS,TU
CISTU;AC,AQ,AT,AV,KL,KP,LT
CIVVY;EN
CJKOO;DM,NN
CJKOS;AP,EY,HI,IR
CJKOY;
CJNOU;
CJOOS;IN
CJOSU;AA,AB
CKKNO;DE,ER
CKLNO;AM
CKLNU;GI
CKLOS;IL,PU
CKLPU;
CKLSU;IM,IT
CKLUY;IL,IM,IQ
CKMOS;AE,AN,AT,BE,BU,CO,CU,DE,EN,ER,IO,PU
CKMSU;BO,CO,EL,ER,OP
CKMUY;HS,IL
CKNOR;DI,DO,GI,OO
CKNOS;AE,AM,AW,BE,BI,CU,DE,DU,EM,ER,ET,GI,HO,IW,RU,TU
CKNOY;CE,EJ,EM,GI
CKNRU;AB,AM,AT,DE,EL,EM,GI
CKNSU;AB,AP,AT,BU,CO,DO,GI,IM,IP,IT,OT,TU
CKOOR;AL,CG,DH,DN,LL,LP,LW,NO,TU
CKOOS;CM,CU,EI,EY,IM,PP
CKOOY;LO
CKOPS;AH,AI,AJ,AL,AY,CE,CU,EI,EK,ET,LU,MU,OP
CKOPY;IL
CKORS;HI,HU,IJ,IR,NU
CKORT;AR,BI,OU,UW
CKORY;EM,EO,ER,HI,IL
CKOSS;AC,AL,EE
CKOST;AC,AM,AW,CU,HI,HO,IU,NU
CKOSW;IN
CKOSY;AP,EE,EH,EJ,EO,HL
CKOTY;BE,EL
CKOUY;
CKPSU;AB,AN,AT,CO,ER,FU,HI,IK,IN,IP,IT,MO
CKRSU;AB,AH,HO,OO
CKRTU;AN,OO,OW
CKSSU;EN,ER,IM
CKSTU;AB,AN,AP,CO,IL,IM,IN,IO,IP,NO,NU
CKSUY;ER,HM
CKUYY;
CLLOS;GY,IK,IN,MU,OP,UU
CLLOY;AB,AF,AK,AL,AV,EH,ES,IP
CLLSU;MO,OU
CLLUY;DI,ER,IK,IR
CLMOP;IN,OT,TU
CLMOU;AE,AR,BO,EL,KL,PT
CLMOY;AB,FI,HR
CLMPU;AN,BI,DE,ER,ET,OT
CLMSU;CU,IK,UU
CLMTU;DE,DI,EP,EU,OP
CLNOO;AM,AN,AR,AT,AV,RT
CLNOS;AA,AB,AF,AH,AS,AT,AX,GH
CLNOW;BE,DE,GI
CLOOP;AP,AR,CI,DY,ER,FW,KR,PW
CLOOR;AK,AL,AN,AP,AT,BI,IL,IN,KL,KP,KW,NT
CLOOS;AL,AZ,BU,IM,IS
CLOOT;AN,AR,II,KU,NR
CLOOY;DP,EG,KO,PT,ST
CLOPS;CY,EI,EP,EU,HT,IU,IW,KU
CLORU;BT,FI,FP,KL,TY
CLOST;II,IR
CLOSU;BO,CF,GO,KP
CLOSW;DE,IP
CLOSY;AP,GL,HK,HU,RS,RU
CLOTU;AE,AL,BR,DE,EE,EP,ER,ET,KO,KP,MP,PY,RY
CLOTY;AH,AP,AR,BH,DI,HR,HZ,OP,PU,RU
CLOYY;
CLPSU;FU,RU
CLRSU;IR,IU,IY,NU,PU
CLRUY;AB,BM,DE,EL,IL,IS,MP,OO,OS
CLSSU;AA,AE,AI,AT,BE,EI,EM,EO,NO,OT
CLSTU;IK,IN,IT
CLTUY;AF,CH,HS,OP
CMMOO;DE,DO,EV,HK
CMMOS;ER,PY
CMMOY;PS
CMOOP;EN,NY
CMOOS;AI,AT,CK,DI,DN,DT,IK,IL,IR,IT,NN,TY
CMOOY;AC,EN,HS,NP,ST
CMOPS;ER,EU,IY,KU,MY
CMOPT;AC,AI,AR,AU,LU
CMORS;HO,MO
CMORU;AE,AL,DE,DK,EH,TW
CMOSU;BK,CK,DI,DW,FF,IN,KP
CMPRU;DE,EI,EL,ER,ET
CMRSU;EI,EK,EM,EN,ET,IN,IU,MY
CMSSU;EL,EO,HK,OT
CMSUU;AL,AV,BC,CL,DN,EL,IR,LU,PR
CNNOS;HU,MO,OR,PY,UY
CNOOR;FM,IL,IM,IP,KO,PP,PU,RW
CNOOS;AC,AP,CO,MM,MN,OP,PU,UU
CNOOT;AG,AL,CC,CI,CU,DI,EE,EH,EI,EN,II,KU,MO,WW
CNOOV;AL,EK
CNOPY;CU,GI,HI,MO,RT
CNORS;HR
CNORT;FU,HU,NU,PY,UY
CNORU;BI,FT,GI,HT,IN,IT,NT,NW,OP,OT
CNORW;CE,DE,DY,ER,ET,GI,NU,OR
CNORY;CI,DW,EG,EI,FI,FL,GI,IL,IT,PT
CNOSU;AG,AH,CK,CS,DK,GO,HN,NY,OP,OU
CNOSY;AH,AI,AN,DI,GI,NP,NU,OV
CNOTU;CD,CO,DI,DN,DW,FR,HR,HU,IN,IR,KO,NR,OR
CNOTY;EP,IR,IX,PR
CNOUY;AH,CP,FL,FM,NS
CNRSU;AE,AR,AY,BU,EE,EL,EM,EN,EU,EW,LU
CNRUY;AH,AS,AT,AZ,CH,ST
CNSSY;DI,ER,ET
CNSTU;EH,EM,HU,KU
CNSUU;BI,BK,BR,DM,FF,HT,IN,KT,LR,OO
CNTUU;MP
COOPS;AN,AU,DE,EH,EN,HN,HP,IN,IU,KP,NO,NU,UY
COOPT;AR,AT,DE,DO,KO,RR
COORS;BH,CH,CI,CO,DT,HI,HM,HT,HU,IM,IT,IU,MM,MU,OZ,TU,UU
COOST;AM,AV,BM,DE,DM,DO,DR,EI,ER,GI,IM,IR,MM,RU
COPPY;
COPRS;TY
COPRU;AL,DT,FL,NO,OT,RT,TU
COPSS;HY,RR
COPSU;AL,AO,AT,CK,IL,IO,KL,KM,NO,NT,OT
COPSW;AE,AN,AT,DE,EI,IL
COPSY;CL,EN,ET,IM,IT,MM,NN,RT
COPUY;LT
CORRU;AN,AT,CE,EE,EI,EL,EP,ET,PT
CORSS;HL,LL,LY,PR
CORST;BH,DO,HO,PY
CORSU;KO,OU
CORSW;HI
CORTU;BL,DP,FN,IN,KW,MW,NN,PR,PU
CORWY;
COSST;HW
COSSU;AB,AM,FU,HH,IN,IV,LN
COSSW;HT
COSTT;CI,DI,IR,NO,OY
COSTU;DE,DY,EQ,OP
COTTU;BK,BO,FK,IY,KP
CPPUY;
CPRTY;AL,CI,DE,EI,EN,II,IT
CPSSU;ER,ET,HT,HY,MR
CPSUY;EE,EL,HS
CPTUU;AJ,HK,HO,KO,MN,OR
CRRSU;AA,AN,AT
CRRUY;EM
CRSSU;IP
CRSTU;
CRSUY;BB,CO,EK,LO,MM
CRUVY;IP,IT
CSSTU;HP,HY,LP
CSSTY;AE,AH,DI,EH,EN,HU,IM,IU,OO
CSUZZ;
CTTUY;IO
DDDEU;CE,CL,CS,EL,EN,FL,GL,HL,HT,LP,OQ,PS,ST
DDDIY;
DDDOY;AH,ER
DDDUY;ER
DDEEG;IN,NU
DDEEK;AN,AR,DS,KO
DDEEL;CK,ET,OY
DDEEN;CO,OZ
DDEER;CU,MU,SS
DDEES;AB,AC,AH,AM,AR,BR,DH,DK,HR,PR,RR,RS,RW
DDEEW;CU
DDEEY;AC,AE,AL,AN,CO,EW,IL,IN,LO,NS
DDEGO;
DDEHI;DW,GT,OW
DDEII;BR,CE,DG,DR,EF,GN,GR,LN,ZZ
DDEIK;
DDEIL;BB,BU,CH,QU
DDEIN;IV,OP
DDEIO;AN,AR,DR,FR,GM,GN,GR,HW,MO,MR,NR,NW,RW,RZ,WW
DDEIR;FO,FU,IV,MO,MU,OS,OV,OZ,SU
DDEIS;BR,BU,DR,DU,FU,PR,PU,RR,RU,RW,TU,UW
DDEIT;MS
DDEIV;AN,AS,EL,ER,ES,PU
DDEKU;GL
DDEKY;
DDELO;EW
DDEMO;AP,IS,KU,NS,NT,NU
DDENY;AE,EI,GI
DDEOP;AC,AM,AT,ES,OR,RR,RW
DDEOR;BU,IP,IZ,KU,PP
DDEOS;BL,CL,HL,LP
DDEOT;EM,EN,EV,EX,MN
DDEOV;EN,ET
DDEOW;EL,HI,IW
DDEOX;ET,II
DDEOZ;EN,II,IR
DDEPU;AT,DS,ET,IS,IV
DDERS;BE,BI,DI,EG,EH,EI,EL,EN,ER,ES,ET,EW,HI,HY,IK,IL,IR,IW
DDERU;ET,FI,KO,OO
DDERY;DO,DU,HS,JU
DDEST;AB,AH,AI,AL,AM,AP,AR,II,IL,IM,IN
DDESU;AC,CD,CI,CL,DI,DP,FI,FL,GL,GM,IM,IP,IW,LM,LP,MM
DDETY;AL,IL
DDFUY;
DDGIY;EN,IL,PU
DDGOY;ER
DDHUU;
DDIIO;CI,CP,CY,IO,LP
DDIKO;CP
DDIKY;AT
DDILO;IP,WY
DDIMY;LU
DDINU;
DDIOR;AE,AM,AN,BG,CH,DE,EG,EL,EM,EN,EP,EV,EW,EZ,GN,HY,TU
DDIOS;GN,MO,MY,NT
DDIRU;BE,CI,DE,EF,EN,EP,ER,GN,LY,OT,RY
DDIST;AA,AC,AE,AF,AK,AQ,AZ,EE,EI,EL,EM,EN,EO,EU,NO
DDITY;AH,AK
DDIWY;LO,LT
DDLOY;IS,IW
DDMUY;
DDNOY;
DDNUY;
DDOOS;AD,AG,AH,AL,AM,AR,GM,IK,IM,OO
DDOOY;EW
DDOPY;
DDOSW;NR
DDOSY;EN,IL,IM,RT
DDOTY;AH,RS
DDOVY;
DDOWY;EO,IL
DDPUY;GI
DDRSU;MU
DDRUY;DE,EJ,IL,IR
DDSSU;AH,BI,IM,IR
DDUWY;
DEEER;AX,BZ,QU
DEEEV;CI,OT,TT
DEEFF;AC,CH,FO,IN,ST,SU
DEEFL;CE,CH,CK,ER
DEEFR;CO,GU,LU,MO,OV,OZ
DEEFS;CT,DN,FT,TT
DEEFT;FS,IN,IS
DEEFU;AG,GR,RT
DEEFX;BO,DE,ES,IN,IR
DEEFY;AE
DEEGG;
DEEGH;AA,AG,IN,IW,OW
DEEGK;IN,MO
DEEGL;EK,ET
DEEGO;AT,BR,BY,CN,CO,HW,KM,LY,NN,NR,RR,TU
DEEGR;BO,FU,JU,OR,RU
DEEGS;AM,ET
DEEGW;HO,MU
DEEHL;FS,FU,KW,NU,SW
DEEHR;MO,MU,OT,OV,TW
DEEHS;AB,AD,AF,AH,AJ,AL,AN,AS,AT,AV,AX,AY,CE,CI,CT,DD,DL,EL,EN,ET,FL,IL,IT,LL,LV,OY,YY
DEEHT;BR,EK,ES,ET,IL,IR,IS,IV,OR
DEEHW;AB,EL,EP,EZ,GI,GO,KL,LM,LP
DEEHX;MU
DEEHY;AS,NO,NU,OS
DEEIK;BL,BN,GN,GR,HV,LL,LN,MS,MW,NR,NS,OV
DEEIL;EJ,GN,JL,KL,KN,NO,NT,TU
DEEIN;KL,LO,LY,WZ
DEEIR;ER
DEEIS;HT,IT,TT
DEEIX;BM,DN,FN,FR,MR,NR,NV,OP,PR
DEEJW;EL
DEEKN;AD,AP,AS,AW,BI,GI,IL,IS,LL,MS,SY
DEEKR;KT,LS,MO,MS,RS,SU,TW
DEEKS;AB,AN,AR,BC,CL,CN,CO,CP,CR,DD,EL,ER,ET,IN,LP,LR,NN,PP,RR,RU,TT
DEEKU;BR,PR,RS
DEEKW;AN,AR,AT,AY,CR,EN,IM,RT
DEEKY;AW,OV
DEELM;CM,NO
DEELN;CI,FI,FU,HU,IK,IO,IV,KL,MO,PU
DEELR;BT,CK,FY,LY,OY
