AABB;HHIOOPT
HOTW;
HOWW;
HPRU;DHLLSYY,GNOOOOS
HPSU;
HPSY;
HPTU;
HPUW;
HRSU;
HRTU;
HSSU;
HSTU;
HSWY;
IIKP;
IIKT;AABLLTY
IIKW;ABLORTY,AGHLLLN,EGNORRW,ELNNNPY
IILP;AAHMMXY,ACHHIMP,BMOOPTY
IILR;AACCGHR,ACCGHRU,CCMORUU,CGGHOOP,CILMMNO,ILOPSSS
IILW;DMNOTUW,EKNNNPY
IIMN;
IIMP;AACHHPT,AAHLMXY,ACCHIMT,ACHHILP,AHOOPPT,BLOOPTY,HLNNOOY
IIMR;BGHHOSW,BLORTUU,CCCMOOS,CCLORUU
IIMS;
IINS;
IINT;
IIPP;
IIPT;AAEETVX,ACCHIMM,BDDNUUY
IIRS;EELQRRU,LOOPRVY
IIST;
IISW;BGHHMOR,CEORSSS
IITT;CEEFFVY,CEFINVY
IITZ;AACGLNU,AACILNO,AADLNOY,AADNNOO,AAGLNNT,AAKNNOY,AAMNOOT,ACCLNOY,ACGIILN,ACGILMN,ACGNNNO,AEGGMNN,AEIMNOT,AGLMNUU,AGNNNOW,AILNOTU,AINNOTU,BCEEJOV,CCGIILN,CCGIINR,CDEHMOO,CDEMMOO,CGGHINO,CGIIMNV,CGINPRU,DEGHMNO,EEGNPRX,EGINNRW,EHNOOOP,GHNNOPY
IJKN;
IJKO;
IJLL;
IJLT;AACDGMU,BCEEOVY
IJMP;
IJMS;AAAHIRY,GLOTUUU
IJNN;GGLMOPU
IJNO;
IJNS;
IJNX;
IJOR;GGNOTTT
IJOS;
IJVY;
IJZZ;
IKKL;
IKKN;AABCCGP,ACDGLUW,CEEFOPT,CIIIKLL
IKKR;
IKLL;
IKLM;
IKLN;
IKLO;
IKLP;
IKLR;
IKLS;
IKLT;
IKMN;AABCDDO
IKMO;
IKMR;
IKMS;
IKNO;
IKNP;
IKNR;
IKNS;
IKNT;
IKNW;
IKNY;
IKOS;
IKPP;
IKPS;
IKRS;
IKRU;
IKRY;
IKSS;
IKST;
IKTU;
ILLL;AACGGOO,ABDIINY,ABINRTY,AEEFNNR,BCCEEOT,BEENTUY,CEINOOV,CENOOOV,CENOORT,DFIMNOO,EEEHHNP,EEFGORW,EEGNPRY,EFGIORW
ILLM;
ILLN;CIIIKKK
ILLO;AACCLVY,BBCIIOP
ILLP;BBCIIOO,EEETVXY
ILLR;
ILLS;
ILLT;
ILLV;CELNOOO,EMMOTUU
ILLW;
ILLY;
ILLZ;DGINRYZ,EEGHINN,EEGINPT,EEGNPRT,EGINRTU
ILMN;
ILMO;
ILMP;CGHOOOR
ILMS;
ILMT;EEENNNV,EEENNTT
ILMU;
ILMY;
ILNN;COOOTUV
ILNO;
ILNR;
ILNS;
ILNT;
ILNY;
ILOO;
ILOP;
ILOR;
ILOS;
ILOT;
ILOV;
ILOY;AACCLLV,ACELQUV,CEHHITT
ILPR;CGHMOOO,GHHOTTT
ILPS;
ILPU;
ILPY;EEELTVX
ILRT;
ILRV;
ILST;
ILSY;
ILTT;
ILTU;
ILTW;DIMNOUW
ILWY;EIKNNNP
IMMO;
IMMY;AABFLLN,ABEELPR,ABGIILT,ADEEILT,AEHNNNR,AFILLTU,EELNTUZ
IMNO;
IMNS;
IMNT;
IMNU;
IMNX;ACIILLO,ACILLOY
IMNY;
IMOO;AAETTUX,AHIPPPT,AHOPSST,CGHPRYZ,CHHPPRY,DHISTTW,GHOSSYZ,HPSTTTY
IMOR;
IMOS;
IMOT;
IMOX;
IMPP;AACHLOP,ACHHIIL,AENNOTT,AHIOOPT
IMPR;
IMPS;
IMPU;
IMPW;
IMQU;BEIILRU
IMRS;
IMRT;
IMRU;
IMRV;ACILLOR,CEGOOOR,EEEORRR,IIIPTTY
IMRY;AAMNNOO
IMSS;
IMST;
IMSU;
IMSV;IIINTTU,IILPTUY
IMSW;
IMTT;ACDHIIR,ACHPRRY,CHHIRYY,IIIPRVY
IMTU;
IMTX;
IMTY;IIIPRTV
IMXY;AAEHILT,AAHILMP,ACILLNO,AEELLPR,AEHLNOT,AEMRSTY,AMOOSST
IMZZ;
INNO;
INNS;
INNW;
INOP;
INOR;
INOS;
INOT;
INOV;
INOW;
INOY;AAIKNTZ
INPR;
INPS;
INPT;
INPY;
INQS;
INQU;
INRS;
INRT;
INRU;
INSS;
INST;
INSU;
INSV;
INSW;
INSY;
INSZ;BBIKKTU
INTT;
INTU;
INTV;CGIIIMZ
INTW;
INTY;
INVY;AACDOPR
INWY;
INXY;CEEINST,DEEELPT,DEEIRTT,DEHORYZ,DHMOORU,HLOOPST
IOPS;
IOPT;
IOPV;CDEHINO
IOPY;AAGGHHR,CCCCORT
IORS;
IORT;
IORV;
IORZ;
IOSS;
IOTT;AALORTZ,ABCEEJV,ABILQUY
IOVV;AAPPRSU,ACEEEHR,ACIIMSS,AEENNRS,AEINNNS,BEOORSU,CCELMRU
IPPR;ACCGHOO,ACHOOTT,CHOOOTT
IPPS;
IPPY;
IPQU;
IPRS;
IPRT;
IPRU;
IPSS;
IPST;
IPSV;IIIMMRT,IIIMRTT,IILMTUY
IPSW;AAAAKKW
IPSY;
IPSZ;ADIINOR,DGILNOO,GHIILNY,GINNOSY,HHMOORR,HMMOOOR
IPTT;IIIMRVY
IPTU;
IPTY;BDDINUU
IPXY;AAHILMM,ACNOORT
IQTU;
IQUZ;DGIIILN
IRRT;AAFIILL,AALLUVV,AFILLNU,AHIMNNU
IRRY;ACDGHRY,CCDHHOO,GLMMNUU
IRSS;
IRST;
IRTT;
IRTW;
IRTZ;CCGIIIN,CEGIIMN,CEGIINN,CGIINPU,EEGINPX,EEGLLNP,EGIINNW,GGHIINS
IRWY;AFHHOTT
ISSS;
ISST;
ISSW;
ISTT;
ISTU;
ISTW;
ISTZ;
ISWY;
ISWZ;AGIMNNO
ISYZ;BGILMNO,CEGINNO,DEHINOP,EEHHOPT,EGGINNR,GGILLNO,GHIILNP,GINNNOT
ITTW;
ITVY;AEEGHHW,BCEIJOT,CEEFFIT
ITZZ;
IVYZ;CEENOOR
IZZZ;
JJUU;
JKNU;
JKOO;
JKOU;
JKOY;
JKUU;
JLLO;
JLOS;IINRUUY
JLOT;
JLOW;
JMOO;
JMPU;
JNXY;
JORS;
JORU;
JOSS;
JOST;
JOSU;
JOSW;
JOSY;AHIMRUU,CDIILUU,IILNRUU
JRUY;
JSTU;
KKNO;
KKOO;ABCCCHL,EERRRTV
KKUU;
KLNU;
KLOO;
KLOP;
KLOS;
KLOU;ACEQRRW
KLOV;GINOPRY
KLOY;
KLPU;
KLRU;ACIPTTY,EEIMPTT
KLSU;
KMNO;AAAELOT,AABCDDI,AAEILPT,AEGIIMV,DEERRTU
KMOO;
KMOS;
KMRU;EEILPTT
KMSU;
KNOO;CEEHPPT
KNOP;CEEHOPT
KNOR;
KNOS;
KNOT;
KNOW;
KNOZ;AAIINTY,ACDIIOT,AELOPRT,ALNOOPT
KNPU;
KNRU;
KNSU;
KNTU;
KOOP;
KOOR;
KOOS;
KOOT;AABHNRT,AAHNRTV,ALNNOPZ,CEEHNPP
KOPR;
KOPS;
KOPU;
KOPY;
KORS;
KORU;
KORW;
KORY;
KOSS;
KOSU;
KOSW;EEFLLOY
KOSY;
KOTU;
KOUY;
KOUZ;
KPUU;BCGIJMN
KPUY;
KRSU;
KRSY;
KRTU;EEILMPT
KRUU;FFFGILN
KSST;
KSSU;
KSTU;
KSUY;
KTUU;
KUUZ;
KUYY;
LLLO;ABCEEMP,ABCEIQU,ABCEMNO,AFIIMPR,BCCEEIT,CEIINOV,CEINOOV,DFIIMNO
LLLU;AAACEMP,AABENOW,AACINTY,AADGNRY,AAGNNTY,ABCEIOQ,ABCEKKN,ACCETUY,AEIIMNT,AINOOPR,AINOPTU,BEEINTY
LLMO;DEFHTUU
LLMU;BHOPRYY
LLNO;
LLNU;CCCEFOY,EEEGNTY,FHRTUUY,GMOOOPY
LLOP;AAEIKKU
LLOR;
LLOT;
LLOZ;ABBEIIM,ABEPRYY,ACGIMOY,ACGITYY,ACIMTYY,AEGPRUY,EIIOQSU
LLPU;
LLUU;AABCCEM,AACIRRY,CIMOORT,DEFHMOT,DFIMNNY,EFFIRRT
LLUW;
LLUZ;AEGOPRY,EGIINRT,EIIOOQS
LMOO;
LMOS;
LMOT;
LMOY;
LMPU;
LMRU;CCIIORU
LMSU;
LMSY;
LNOO;
LNOR;BMSSUUU
LNOU;
LNOW;
LNOY;
LNRU;FHIITTY
LNSU;
LNTU;
LNUV;
LNUY;EFHLLPU,EMMOOST,EMOOPSY,EOOPPRT,IIIINQT,IOOORST,MOOOPSY,MOOOSST,MOORSST
LNXY;HIOOPST
LOOP;
LOOR;ALSTWWW
LOOS;
LOOT;AADHPRR
LOOW;ACEGGHK,GGINORW
LOPP;
LOPS;
LOPT;
LOPU;
LOPW;
LOPY;
LORT;
LORU;
LORY;
LOSS;
LOST;
LOSU;
LOSV;
LOSW;
LOSY;
LOSZ;BGIIMNY,EHIILPY,FGIIINS,HIKKKNO
LOTT;
LOTU;
LOTV;
LOTW;DIIMNUW
LOWY;
LPPU;
LPRU;
LPSU;
LPUU;AEOOPTT
LPUY;
LRSU;
LRUY;
LSTU;
LSUU;DDDEKRY,MMORRUY
LSUV;CEIISTX,CEIITXY,IIIMPTY
LTUZ;AACGIIN,ABGIINR,AEEEINV,AGIIMNU,AIIINOT,BCEEIRU,EEIMMNY
LUUZ;ADEEFIN,AEGINRV,AEGIRTT,AGIIMNT,BCEEIRT,BFGIMNZ
MMMU;
MMOS;
MMPU;
MMSU;
MMUU;DEIINNZ
MNOO;
MNOR;
MNOS;
MNOU;ACCEEPP
MNOW;
MNOY;
MNSU;
MNTU;
MOOP;BIILPTY
MOOR;ACCCCIL
MOOS;
MOOT;
MOOV;
MOOZ;AILPRUY,EEGILTY
MOPP;AACHILP,AFIILLR,CDHIIOR
MOPR;
MOPS;
MOPU;
MOPY;IINRTTU
MORS;
MORT;
MORU;
MORW;
MOSS;
MOST;
MOSU;
MOSV;CIILLRU,CILMPUU,DIIIINS
MOSW;
MOSY;
MOTT;
MOTU;
MOUV;ACEIMTT,ACEIPTT,ACFILRS,CEHIISS,CIILLRS
MOXY;AEEPRRT
MOZZ;ABDORRU
MPPU;ACCEENO
MPRU;
MPSU;
MPTU;CCINNOO
MPTY;BIILOOP,CCHIIOR,CCHILOY,CHHOOOR,HOOOPRR,IIIIRTV
MPUY;
MRRU;
MRSU;
MRTU;
MSSU;
MSTU;
MSUU;
MSUV;IIIINTT,IIILPTY
MSUW;
MSUY;
MTTU;
MUZZ;ABDOORR
NNOO;AAEFMTU,EEELMPY
NNOU;
NNOW;
NNSU;
NNWY;ABIIILT,GIILLLU
NOOP;
NOOR;
NOOS;
NOOT;
NOOW;EJKRRUY
NOOZ;
NOPR;
NOPS;
NOPT;
NOPU;ABCHLMR
NOPW;EEEMMRT
NOPY;
NORS;
NORT;
NORU;
NORW;
NORZ;AAABIIT,AAAHINT,AADHSUU,AAINNPT,ADIIIIT,AHHISTU,DGHILYY,FGIILMU,GIIILLP
NOSS;
NOST;
NOSU;
NOSW;
NOSY;
NOTT;
NOTU;
NOTW;
NOTY;
NOWY;
NOXY;ACCDEHL,ACCEEHL,AHHPPRY,CHHRSUY,DEHIRYZ,DHIMORU,DHOORTU,HILOPST
NPSU;
NPSW;EEIIKLR,EIIIKLN
NPTU;
NPUY;EEFLLLS,EFHLLLU
NRRU;AAGHOPY,AFIILLT,BCIOOTT
NRSU;
NRTU;
NSSU;
NSTU;
NSWY;
NTUY;
NUXY;ABEELRT,AEILLTU,AILLRTU,CHHORSY,DHIMOOR,DHOOORT
OOPP;
OOPR;
OOPS;
OOPT;
OOPY;CCIINTT
OORS;
OORT;
OORZ;
OOST;
OOSW;
OOSY;ACILRUV,ACLLRUU
OOSZ;
OOTT;
OOTW;EELNPPS
OOTY;CGIILMV,CIIOTTX
OOTZ;AKLNNOP,CDEHIIM,CDEIIMM
OOUZ;ABDMRRZ,AEGILTT,AEGINRT,AILMPRY,CGIILNR,DDEIMNR,DGIIMNO,EGILMNO
OOYZ;CGHIMPR
OPPR;CDHIIMO
OPPS;
OPQU;AADHNRY,ADHNORY
OPRS;
OPRT;
OPRU;
OPRW;
OPRY;
OPSS;
OPST;
OPSU;
OPSW;
OPSY;
OPTT;
OPTU;
OPTY;
OPXY;AGHLOSU
OPZZ;DGIILNO
ORRT;
ORRY;
ORST;
ORSU;
ORSV;
ORSW;
ORSY;
ORTT;
ORTU;
ORTV;
ORTW;
ORTY;
ORUV;
ORUX;ABDFNOU,ACDEISY,ACELNTT,ACELPTY,ACLOPSY,ADEHRYY,AEEHINT,AEGINPT,AEINOSV,AGHHOTW,BCDIINO,CCFIIIN,CHHNSYY,CILOPRT,DDEIIIN,EHILOPS,EIINPSS,EILLMPT
ORUY;
ORVW;ACDGINO,ACGIIMN
ORXY;AACELMT,ABEIILT,ADHHORT,AEHORTT,CHHNSUY,EEFGLLO,EEIIRTT,EELRTTV,ILLSUUU
OSSS;AACDNRR
OSST;
OSSU;
OSSV;
OSSW;
OSSY;
OSTT;
OSTU;
OSTW;
OSTY;
OSUY;
OSVW;
OSWW;ADEEEMT,BNORRTU,DEEELLY
OSWY;
OTTU;
OTTW;EEINRRV
OTWY;
PPSU;BIOOORR
PPTY;
PPUU;ADELNOT,AELOOTT
PRRU;
PRSU;
PRSY;
PRTY;
PSST;
PSSU;
PSTU;
PSUY;
PTTU;
PTUZ;
PTYY;AABIILL,AACCDHL,AACGHHR,ACDHIIO,ACGHORS,ACHHOPS,ACHIILS,ACHLNOR,AGHLORS,AGIKNOR,CCGHILO,CCHILMO,CDHHIOR,CGHHIOR,DGHILOR,DHHIOOR,DHHNOOR,HILOORS,HIOOPSS
QSSU;
RRTU;AAILLVV,AFIILLN,AHIIMNN
RRUU;AABCCEY,AAGINOT
RSTU;
RSUU;
RSUY;
RTUY;
SSSU;
SSUU;AADEEGM,CDEENOT,DEGMNNU
SSUW;GIMMMPU
STTU;
STUU;
STXY;
SZZZ;
TTUU;ACFGINR,ACGINNP,ACILNPY,CEIILRV,GGINNOO
TUYZ;EEILMMN
TUZZ;ADGILNO
UUYZ;
